StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.029,0.02,0.125,0.002,False,1.8151588496579675810915368427
0.030,0.02,0.124,0.002,False,1.7864448655110701268912138559
0.020,0.03,0.104,0.007,False,1.7774540488464479876543777109
0.030,0.02,0.124,0.001,False,1.7714777069323309180827861728
0.030,0.02,0.123,0.001,False,1.7658150678356989166364258850
0.031,0.02,0.105,0.010,False,1.7597379101965468472341250733
0.030,0.03,0.125,0.002,False,1.7594968375994291947366938655
0.030,0.03,0.124,0.002,False,1.7549638916373483828606776789
0.030,0.03,0.125,0.001,False,1.7445284985814832214234997840
0.030,0.03,0.123,0.001,False,1.7399955526194024095474835974
0.030,0.03,0.124,0.001,False,1.7399955526194024095474835974
0.026,0.01,0.128,0.013,False,1.7377624414560493155826932536
0.026,0.01,0.128,0.012,False,1.7312901411032501067577184285
0.034,0.04,0.099,0.006,False,1.7295350957617091011071984717
0.026,0,0.128,0.013,False,1.7287820423617852790127816874
0.026,0,0.128,0.012,False,1.7223117812566094196275283922
0.033,0.01,0.121,0.010,False,1.7219205534865082516418851526
0.030,0.02,0.122,0.002,False,1.7143255606792676141810469724
0.030,0.02,0.123,0.002,False,1.7143255606792676141810469724
0.033,0.01,0.120,0.010,False,1.7141171091134808241277892123
0.028,0.02,0.126,0.003,False,1.7086201666059120653252114003
0.034,0.03,0.095,0.006,False,1.7073494391473966645536639092
0.034,0.05,0.097,0.006,False,1.7009630656491874732303430742
0.034,0.05,0.098,0.006,False,1.7009630656491874732303430742
0.027,0.02,0.127,0.012,False,1.7006162499650770383257531668
0.030,0.02,0.122,0.001,False,1.6993990465025642170849995611
0.034,0.02,0.096,0.007,False,1.6953553628343444807674161876
0.034,0.01,0.120,0.010,False,1.6934164407597836179674241501
0.030,0.03,0.121,0.002,False,1.6872336970821850194967541058
0.030,0.03,0.122,0.002,False,1.6872336970821850194967541058
0.030,0.03,0.123,0.002,False,1.6872336970821850194967541058
0.028,0.02,0.126,0.005,False,1.6827690727079817722474920733
0.034,0.02,0.096,0.006,False,1.6791158583309862637916331024
0.028,0.02,0.126,0.004,False,1.6788912939346902628211651658
