StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.037,0.02,0.058,0.010,False,1.5800846606627593175326696407
0.037,0.01,0.058,0.010,False,1.5778258145337090483584739879
0.036,0.02,0.058,0.010,False,1.5742534563724975259616933585
0.037,0.02,0.058,0.009,False,1.5725019180524727461488027183
0.037,0.01,0.058,0.009,False,1.5700231863536598528275006084
0.037,0.03,0.058,0.010,False,1.5687560922073176356265179320
0.036,0.02,0.058,0.009,False,1.5658941315105087937621897558
0.036,0.03,0.058,0.010,False,1.5626530102743885345309964515
0.037,0.03,0.058,0.009,False,1.5609545300431499513051273095
0.036,0.03,0.058,0.009,False,1.5540748658585186893939691487
0.038,0,0.057,0.010,False,1.5289522661133223228559433348
0.037,0.04,0.058,0.010,False,1.5239630064405851561539894665
0.036,0.04,0.058,0.010,False,1.5198218936481234429371792670
0.035,0.03,0.058,0.010,False,1.5197032530395335354096839621
0.037,0.04,0.058,0.009,False,1.5165663388925292877373414047
0.036,0.04,0.058,0.009,False,1.5114157617132143209367791004
0.035,0.03,0.058,0.009,False,1.5103803021124688417916330826
0.035,0.04,0.058,0.010,False,1.5060329057575960800663527442
0.034,0.01,0.059,0.010,False,1.5004498482387833378092245392
0.035,0.04,0.058,0.009,False,1.4968203930081753769368590795
0.038,0,0.059,0.010,False,1.4750176436480752003058512025
0.038,0,0.059,0.009,False,1.4708105475854665913291821002
0.036,0.01,0.059,0.010,False,1.4641950074285233530316518971
0.034,0.02,0.059,0.010,False,1.4634416341734577040530928806
0.037,0.01,0.057,0.010,False,1.4614882700984339974282845180
0.037,0.01,0.057,0.009,False,1.4538426093002692128057976273
0.029,0.01,0.059,0.010,False,1.4529268586087532546411643963
0.036,0.02,0.059,0.010,False,1.4527719628348673166640394127
0.037,0.03,0.057,0.010,False,1.4524185477720425846963284621
0.034,0.03,0.059,0.010,False,1.4519592966792917333195817595
0.038,0.01,0.056,0.010,False,1.4513349659633058815304742444
0.034,0,0.059,0.010,False,1.4504769967457826917895758799
0.037,0.02,0.057,0.010,False,1.4499196863769249264057274566
0.029,0,0.059,0.010,False,1.4498340383187034493302374820
0.035,0.01,0.059,0.010,False,1.4494389734219801952162575479
0.030,0.01,0.059,0.010,False,1.4478230667140146515234427252
0.037,0.03,0.057,0.009,False,1.4447739529897593112834243284
0.036,0.03,0.057,0.010,False,1.4441320833567064293706363531
0.037,0.02,0.057,0.009,False,1.4424939111485227659303470230
0.036,0.03,0.059,0.010,False,1.4411715167367583252333425057
0.036,0.02,0.058,0.007,False,1.4352299462118194747831372934
0.033,0.02,0.059,0.001,False,1.4337166358795559656703963450
0.037,0.02,0.058,0.008,False,1.4261206804548149776177552855
0.036,0.03,0.058,0.007,False,1.4248061713264113384473284413
0.037,0.01,0.058,0.008,False,1.4225463985551380396035692760
0.037,0.02,0.058,0.007,False,1.4203073304351592524456451229
0.036,0.02,0.058,0.008,False,1.4182674214369399382165253511
0.037,0.01,0.058,0.007,False,1.4167330485354823144314591134
0.037,0.03,0.058,0.008,False,1.4158496260878099532051528460
0.034,0.01,0.059,0.007,False,1.4141757824671317995965317090
0.037,0.03,0.058,0.007,False,1.4100362760681542280330426834
0.036,0.03,0.058,0.008,False,1.4078436465515318018807164990
0.034,0.01,0.059,0.008,False,1.3922783442228819220856203256
0.020,0.10,0.049,0.011,False,1.3857716258939708499421543442
0.036,0.01,0.059,0.007,False,1.3786619835350437797507899750
0.028,0.26,0.040,0.015,False,1.3621584737274260720472721023
0.038,0.03,0.053,0.007,False,1.3567918027153031998922825222
0.038,0.02,0.053,0.007,False,1.3557136247306060666414367179
0.014,0.13,0.052,0.002,False,1.3530358861961753752069801299
0.038,0.01,0.054,0.007,False,1.3526924600264303808575127319
0.014,0.14,0.052,0.002,False,1.3497171797995114496707578196
0.037,0.01,0.055,0.007,False,1.3490620156960992494158605072
0.038,0.04,0.053,0.007,False,1.3451525037270316176760634083
0.038,0.02,0.054,0.007,False,1.3443500050570970851099093891
0.037,0.02,0.055,0.007,False,1.3399101757432857671820246110
0.016,0.12,0.049,0.002,False,1.3364884518468807276141449360
0.038,0.03,0.054,0.007,False,1.3347798376604608951552480154
0.002,0.26,0.036,0.013,False,1.3333624008893124369596684932
0.037,0.05,0.058,0.010,False,1.3326497005418674243350405688
0.037,0.03,0.055,0.007,False,1.3307464116003566392269394370
0.038,0.05,0.053,0.007,False,1.3304655043821875494203861864
0.038,0.01,0.055,0.006,False,1.3277744808929598573861299275
0.014,0.12,0.049,0.002,False,1.3267374576830564633511801046
0.038,0.04,0.054,0.007,False,1.3250495798138162479876139383
0.038,0.01,0.055,0.007,False,1.3236976793617723214770626452
