StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.04,0.190,0.013,False,1.3594763619140070505647746287
0,0.03,0.190,0.013,False,1.3466951190647894781696827159
0,0.04,0.191,0.013,False,1.2617339776531390663645091642
0,0.04,0.192,0.013,False,1.2617339776531390663645091642
0,0.03,0.191,0.013,False,1.2489527348039214939694172514
0,0.03,0.192,0.013,False,1.2489527348039214939694172514
0.022,0,0.161,0.027,False,1.2437733198594540990361009419
0,0.05,0.190,0.013,False,1.2431243879724184148765670038
0,0.05,0.191,0.013,False,1.2431243879724184148765670038
0,0.05,0.192,0.013,False,1.2431243879724184148765670038
0.022,0,0.161,0.026,False,1.2405472743831649877398259818
0.001,0.03,0.173,0.012,False,1.2331219976685774779498821350
0.001,0.03,0.174,0.012,False,1.2331219976685774779498821350
0.001,0.09,0.193,0.012,False,1.2285078421544814828325042870
0.001,0.09,0.194,0.012,False,1.2285078421544814828325042870
0.001,0.09,0.195,0.012,False,1.2285078421544814828325042870
0.001,0.09,0.184,0.012,False,1.2052015389067489197582490798
0,0.10,0.200,0.013,False,1.2024258350539931795544555943
0.018,0,0.161,0.019,False,1.1760073010754540775341340275
0.001,0.03,0.172,0.012,False,1.1704651019406728564236397533
0.025,0.12,0.190,0.025,False,1.1674681324366272332754182706
0.025,0.12,0.191,0.025,False,1.1674681324366272332754182706
0.001,0.10,0.193,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.194,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.196,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.197,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.198,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.195,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.199,0.012,False,1.1669208930561180643834752288
0.001,0.10,0.200,0.012,False,1.1669208930561180643834752288
0.035,0.14,0.182,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.183,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.184,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.186,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.187,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.185,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.180,0.030,False,1.1637257841996023080870109669
0.035,0.14,0.181,0.030,False,1.1637257841996023080870109669
0.036,0.14,0.180,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.181,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.182,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.183,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.185,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.186,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.187,0.030,False,1.1492089330221514839482594456
0.036,0.14,0.184,0.030,False,1.1492089330221514839482594456
0.037,0.14,0.180,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.181,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.182,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.183,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.184,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.185,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.186,0.028,False,1.1441897101222346658012597142
0.037,0.14,0.187,0.028,False,1.1441897101222346658012597142
0.036,0.14,0.180,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.181,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.182,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.183,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.184,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.185,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.186,0.029,False,1.1440369572130561765937956580
0.036,0.14,0.187,0.029,False,1.1440369572130561765937956580
0.026,0.12,0.190,0.025,False,1.1358836904706678911832719414
0.037,0.14,0.183,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.181,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.180,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.184,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.185,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.186,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.182,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.187,0.030,False,1.1345380119461916745909326523
0.037,0.14,0.176,0.028,False,1.1324723075276509232935922841
0.037,0.14,0.177,0.028,False,1.1324723075276509232935922841
0.037,0.14,0.178,0.028,False,1.1324723075276509232935922841
0.037,0.14,0.179,0.028,False,1.1324723075276509232935922841
0.037,0.14,0.175,0.028,False,1.1324723075276509232935922841
0.037,0.14,0.174,0.028,False,1.1324723075276509232935922841
0.036,0.14,0.175,0.029,False,1.1323743985204910794366036907
0.036,0.14,0.176,0.029,False,1.1323743985204910794366036907
0.036,0.14,0.177,0.029,False,1.1323743985204910794366036907
0.036,0.14,0.178,0.029,False,1.1323743985204910794366036907
0.036,0.14,0.179,0.029,False,1.1323743985204910794366036907
0.037,0.14,0.181,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.182,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.183,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.184,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.180,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.185,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.186,0.029,False,1.1293642219718638127368364699
0.037,0.14,0.187,0.029,False,1.1293642219718638127368364699
0.025,0.03,0.161,0.025,True,1.1259392488564904210798332627
0.025,0,0.171,0.023,False,1.1235458361098113646548676773
0.001,0.03,0.171,0.012,False,1.1208195765943345929520464098
0.037,0.14,0.175,0.029,False,1.1176393903065950861350269255
0.037,0.14,0.176,0.029,False,1.1176393903065950861350269255
0.037,0.14,0.177,0.029,False,1.1176393903065950861350269255
0.037,0.14,0.178,0.029,False,1.1176393903065950861350269255
0.037,0.14,0.179,0.029,False,1.1176393903065950861350269255
0.002,0.03,0.174,0.013,True,1.1162674323551009955565544631
0.002,0.03,0.175,0.013,True,1.1162674323551009955565544631
0.002,0.03,0.176,0.013,True,1.1162674323551009955565544631
0.001,0.04,0.171,0.012,False,1.1156220346244663284888082869
0,0.08,0.200,0.013,False,1.1153689296019614719638342442
0.025,0.01,0.173,0.023,False,1.1123084078073598927366217621
0.025,0.01,0.171,0.023,False,1.1123084078073598927366217621
0.025,0.01,0.172,0.023,False,1.1123084078073598927366217621
0.025,0,0.172,0.023,False,1.1095462369092499144517066006
0.025,0,0.173,0.023,False,1.1095462369092499144517066006
0.023,0.03,0.161,0.025,True,1.1075145212393103296272917501
0.001,0.04,0.173,0.012,False,1.1062246757547304260322008679
0.001,0.04,0.174,0.012,False,1.1062246757547304260322008679
0.018,0,0.161,0.018,False,1.1053399795335972175319359410
0,0.01,0.190,0.012,False,1.1051761679330864644232800310
0,0.01,0.191,0.012,False,1.1051761679330864644232800310
0,0.01,0.192,0.012,False,1.1051761679330864644232800310
0.026,0.03,0.161,0.025,True,1.1038294913950566911664561727
0.022,0.11,0.180,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.181,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.182,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.183,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.184,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.185,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.187,0.025,False,1.1030333743588152866365363885
0.022,0.11,0.186,0.025,False,1.1030333743588152866365363885
0.018,0,0.161,0.017,False,1.1004011575544630584093781724
0.022,0.10,0.179,0.025,False,1.1002939914119455106050506384
0.022,0.11,0.179,0.025,False,1.1002939914119455106050506384
0.040,0.06,0.193,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.194,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.196,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.197,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.198,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.199,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.195,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.200,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.190,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.191,0.021,False,1.0999412242040530956124344670
0.040,0.06,0.192,0.021,False,1.0999412242040530956124344670
0.021,0,0.161,0.027,False,1.0991374752133183065764847244
0.022,0.01,0.163,0.025,False,1.0989869611750962827901945513
0.022,0.04,0.161,0.018,True,1.0927027048251643968436408166
0,0.03,0.185,0.013,False,1.0912000245388105782695288702
0,0.03,0.186,0.013,False,1.0912000245388105782695288702
0,0.03,0.187,0.013,False,1.0912000245388105782695288702
0,0.03,0.188,0.013,False,1.0912000245388105782695288702
0,0.03,0.189,0.013,False,1.0912000245388105782695288702
0.019,0.12,0.170,0.027,False,1.0891727972539533467091512590
0.001,0.06,0.174,0.012,False,1.0891307824063724698128523878
0,0.05,0.194,0.013,False,1.0888641842478537478879376168
