StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.022,0.09,0.054,0.008,False,2.0082917620696187745983944730
0.023,0.09,0.054,0.008,False,1.9258760474965458351121502951
0.026,0.11,0.055,0.008,False,1.8587492838685225552037254478
0.026,0.09,0.055,0.008,False,1.8128222967087530313473825358
0.022,0.10,0.054,0.008,False,1.8118493352487360791380796407
0.038,0.09,0.059,0.011,False,1.8051154543019617276514739576
0.026,0.12,0.055,0.008,False,1.8017999146488040350180239779
0.038,0.10,0.059,0.011,False,1.7992407995518556549923181812
0.026,0.10,0.055,0.008,False,1.7900260059978518828833260863
0.024,0.09,0.054,0.008,False,1.7814867109066563696509196538
0.038,0.11,0.059,0.011,False,1.7722107926506380160194555311
0.022,0.11,0.054,0.008,False,1.7671594852107915907087841046
0.039,0.12,0.059,0.009,False,1.7595622146223617435353985929
0.039,0.09,0.059,0.009,False,1.7576106936368855598731516953
0.038,0.09,0.059,0.012,False,1.7554657704109726048778201768
0.003,0,0.075,0.012,False,1.7547426521809679139985417118
0.040,0.11,0.057,0.001,False,1.7533168874532562998137210285
0.040,0.10,0.057,0.001,False,1.7527295831532802537572353558
0.039,0.10,0.059,0.009,False,1.7512254829558430048905971788
0.025,0.09,0.054,0.008,False,1.7497747696375824109752454722
0.025,0.10,0.051,0.009,False,1.7364313857124304978340045377
0.038,0.10,0.059,0.012,False,1.7360984934346963534302508363
0.039,0.11,0.059,0.009,False,1.7330586591900134755707641103
0.038,0.12,0.059,0.011,False,1.7271470821732681654893510549
0.018,0.09,0.054,0.025,True,1.7250471169135472609554576681
0.040,0.10,0.059,0.001,False,1.7246469425117284046505907314
0.040,0.09,0.059,0.011,False,1.7231438688981781605698441440
0.040,0.10,0.059,0.011,False,1.7173929159344141630579029789
0.040,0.09,0.058,0.015,False,1.7164950007748381437008164560
0.040,0.09,0.059,0.010,False,1.7161245074058713383231605451
0.040,0.09,0.054,0.011,False,1.7129944253603559493051827999
0.038,0.11,0.059,0.012,False,1.7116068274210997902238358248
0.040,0.09,0.057,0.009,False,1.7107643368385551369023184715
0.040,0.10,0.059,0.010,False,1.7101574598729548087615506536
0.040,0.11,0.059,0.001,False,1.7084933294679058451619641048
0.040,0.12,0.057,0.001,False,1.7078025987762909848996776734
0.040,0.12,0.058,0.001,False,1.7078025987762909848996776734
0.040,0.12,0.058,0.015,False,1.7074232722700976837428754273
0.040,0.09,0.059,0.009,False,1.7070546568983945837340413474
0.023,0.09,0.053,0.008,False,1.7066157299608074952283254317
0.040,0.09,0.054,0.010,False,1.7059624430663094007158372538
0.040,0.11,0.057,0.009,False,1.7057824826650616733112871201
