StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.20,0.02,0.011,True,0.3953764497379788007857636179
0.020,0.20,0.02,0.011,False,0.3951495216597193703441217478
0.020,0.20,0.02,0.010,True,0.3944021307977147820015662506
0.020,0.20,0.02,0.010,False,0.3941518032672332058124509020
0.020,0.20,0.02,0.009,True,0.3934297047963516244884580306
0.020,0.20,0.02,0.009,False,0.3931560629048669583397246851
0.020,0.20,0.02,0.007,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.006,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.005,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.004,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.003,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.002,True,0.3916503128078652043761684345
0.020,0.20,0.02,0.008,True,0.3916503128078652043761684345
0.021,0.20,0.02,0.011,True,0.3832791356262528157175012131
0.021,0.20,0.02,0.011,False,0.3830689310043037340788214216
0.021,0.20,0.02,0.010,True,0.3823077349731407839702143090
0.021,0.20,0.02,0.010,False,0.3820712126118175695471505758
0.021,0.20,0.02,0.009,True,0.3813382196757004438619121810
0.021,0.20,0.02,0.008,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.002,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.003,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.004,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.006,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.005,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.007,True,0.3811445423759747584429089110
0.021,0.20,0.02,0.009,False,0.3810754722494513220744243589
0.018,0.20,0.02,0.006,True,0.3757660970617036538404306126
0.018,0.20,0.02,0.007,True,0.3748063268982194634591598885
0.018,0.20,0.02,0.008,True,0.3737571478338015971555923574
0.018,0.20,0.02,0.004,True,0.3713966811361952738447783143
0.018,0.20,0.02,0.005,True,0.3704369064953781224573424883
0.020,0.20,0.02,0.012,True,0.3704034519776236981058046266
0.018,0.20,0.02,0.010,True,0.3701814833753780379388971141
0.018,0.20,0.02,0.009,True,0.3701744206274986855368737521
0.018,0.20,0.02,0.011,True,0.3688783408583801461214591808
0.020,0.20,0.02,0.001,False,0.3650241233839098484324791295
0.020,0.20,0.02,0.007,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.006,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.005,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.004,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.003,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.002,False,0.3637798995276562730679006989
0.020,0.20,0.02,0.008,False,0.3637798995276562730679006989
0.019,0.20,0.02,0.006,True,0.3623381746070455895728782706
0.019,0.20,0.02,0.007,True,0.3613784044435613991916075465
0.019,0.20,0.02,0.008,True,0.3603292253791435328880400154
0.021,0.20,0.02,0.012,True,0.3603095259095316278155156222
0.024,0.20,0.02,0.012,False,0.3598101458295442045626936873
0.020,0.20,0.02,0.013,False,0.3597048896323110287908658279
0.020,0.20,0.02,0.012,False,0.3595918815661710936714523501
0.020,0.20,0.02,0.014,False,0.3589499911026610473871179036
0.019,0.20,0.02,0.004,True,0.3579687586815372095772259723
0.018,0.20,0.02,0.002,True,0.3578098512023411005401634002
0.018,0.20,0.02,0.003,True,0.3572274620605596619604361637
0.019,0.20,0.02,0.005,True,0.3570089840407200581897901463
0.019,0.20,0.02,0.010,True,0.3567500554521546317556482173
0.019,0.20,0.02,0.009,True,0.3567459146887578050422362501
0.019,0.20,0.02,0.011,True,0.3556339671219445084178598952
0.021,0.20,0.02,0.001,False,0.3550041912806395901642573905
0.021,0.20,0.02,0.008,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.002,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.003,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.004,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.005,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.007,False,0.3517341752318869454703193522
0.021,0.20,0.02,0.006,False,0.3517341752318869454703193522
0.022,0.20,0.02,0.012,True,0.3505897784661528162750672887
0.025,0.20,0.02,0.012,False,0.3504171674663111235536371945
0.021,0.20,0.02,0.013,False,0.3499632326554265696717845892
0.021,0.20,0.02,0.012,False,0.3494591096020953975733993816
0.021,0.20,0.02,0.014,False,0.3492183890728438511522005854
0.022,0.20,0.02,0.002,False,0.3454949898060024028409096682
0.020,0.21,0.02,0.012,True,0.3453523170232393609763412725
0.022,0.20,0.02,0.001,False,0.3450774026035840965571378957
0.022,0.20,0.02,0.004,False,0.3448439123908146317954816855
0.019,0.20,0.02,0.002,True,0.3443819287476830362726110582
0.022,0.20,0.02,0.003,False,0.3438871645874487746202204368
0.018,0.20,0.02,0.023,False,0.3438219937445441369728371123
0.019,0.20,0.02,0.003,True,0.3437995396059015976928838217
0.016,0.20,0.02,0.012,True,0.3435187179409001350451811863
0.018,0.20,0.02,0.022,False,0.3427998410565959743411904785
0.022,0.20,0.02,0.011,True,0.3412590311749333957849429632
0.022,0.20,0.02,0.011,False,0.3410655176614738441716280387
0.018,0.20,0.02,0.012,True,0.3405933254402678476300906145
0.022,0.20,0.02,0.013,False,0.3404127355150624057595941315
0.022,0.20,0.02,0.010,True,0.3402905431796668040418893627
0.022,0.20,0.02,0.010,False,0.3400677992689876796399571929
0.022,0.20,0.02,0.012,False,0.3397024031476148310707641180
0.022,0.20,0.02,0.009,True,0.3393239329786829148955616648
0.022,0.20,0.02,0.014,False,0.3392992342538648732091857503
0.022,0.20,0.02,0.008,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.002,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.003,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.004,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.006,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.007,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.005,True,0.3391308357933075550370365378
0.022,0.20,0.02,0.009,False,0.3390720589066214321672309760
0.020,0.20,0.02,0.001,True,0.3387381539741099317790857636
0.022,0.20,0.02,0.006,False,0.3386247572287545410112891097
0.019,0.20,0.02,0.023,False,0.3380548489941316127600916980
0.019,0.20,0.02,0.022,False,0.3370326963061834501284450642
0.019,0.20,0.02,0.021,False,0.3360938196008568665182441158
0.023,0.20,0.02,0.001,False,0.3353523742422986852328106940
0.021,0.21,0.02,0.012,True,0.3351251374456546338838911425
0.021,0.22,0.02,0.012,True,0.3344016886628938877102879854
0.023,0.20,0.02,0.002,False,0.3336256614273061488712789988
0.017,0.20,0.02,0.012,True,0.3335464304051683253301973152
0.023,0.20,0.02,0.004,False,0.3329745840121183778258510161
0.010,0.26,0.02,0.006,False,0.3323610102159064294524992525
0.020,0.20,0.02,0.020,True,0.3323607409728414939061126204
0.020,0.20,0.02,0.023,False,0.3322661586922785086548566252
0.023,0.20,0.02,0.003,False,0.3320178362087525206505897674
0.020,0.20,0.02,0.019,True,0.3313636828572206639811945173
0.020,0.20,0.02,0.022,False,0.3312440060043303460232099914
0.010,0.27,0.02,0.006,False,0.3308471642117776522015543027
0.023,0.20,0.02,0.013,False,0.3305107646754537929869899038
0.020,0.20,0.02,0.021,False,0.3303051292990037624130090430
0.020,0.20,0.02,0.018,True,0.3301824279485442141730017228
0.023,0.20,0.02,0.012,False,0.3299656708178813499482878737
0.023,0.20,0.02,0.011,True,0.3297262135489738574643685008
0.023,0.20,0.02,0.014,False,0.3295893819177202616468925029
0.021,0.20,0.02,0.001,True,0.3291802491732935265239231642
0.020,0.20,0.02,0.017,True,0.3290994430833749184426185688
0.019,0.20,0.02,0.012,True,0.3288004739479926301398593003
0.023,0.20,0.02,0.010,True,0.3287606326040863392827165422
0.020,0.20,0.02,0.016,True,0.3281087636828317384220980065
0.023,0.20,0.02,0.009,True,0.3275972476813540878366842616
0.023,0.20,0.02,0.008,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.002,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.003,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.004,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.005,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.006,True,0.3274047877276018539578031929
0.023,0.20,0.02,0.007,True,0.3274047877276018539578031929
0.020,0.20,0.02,0.015,True,0.3271200455661927917360849864
