StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.03,0.061,0.001,False,0.4785803512514473141485225511
0.034,0.03,0.061,0.001,False,0.4746978333904855784257543823
0.035,0.03,0.061,0.001,False,0.4707635754339018996788837380
0.028,0.10,0.061,0.001,False,0.4700315659885721680484808786
0.029,0.10,0.061,0.001,False,0.4675132883325085570354956558
0.034,0,0.067,0.001,False,0.4644520708041927489605455056
0.034,0,0.068,0.001,False,0.4644520708041927489605455056
0.034,0,0.069,0.001,False,0.4644520708041927489605455056
0.034,0,0.070,0.001,False,0.4644520708041927489605455056
0.035,0,0.066,0.001,False,0.4625873083156027304707256431
0.035,0,0.067,0.001,False,0.4625873083156027304707256431
0.035,0,0.068,0.001,False,0.4625873083156027304707256431
0.035,0,0.069,0.001,False,0.4625873083156027304707256431
0.035,0,0.070,0.001,False,0.4625873083156027304707256431
0.036,0,0.066,0.001,False,0.4605339871600224096524758038
0.036,0,0.067,0.001,False,0.4605339871600224096524758038
0.036,0,0.068,0.001,False,0.4605339871600224096524758038
0.036,0,0.069,0.001,False,0.4605339871600224096524758038
0.036,0,0.070,0.001,False,0.4605339871600224096524758038
0.034,0.01,0.068,0.001,False,0.4601072119393561321194298650
0.034,0.01,0.069,0.001,False,0.4601072119393561321194298650
0.034,0.01,0.070,0.001,False,0.4601072119393561321194298650
0.037,0,0.066,0.001,False,0.4584784775279886226307489677
0.037,0,0.067,0.001,False,0.4584784775279886226307489677
0.037,0,0.068,0.001,False,0.4584784775279886226307489677
0.037,0,0.069,0.001,False,0.4584784775279886226307489677
0.037,0,0.070,0.001,False,0.4584784775279886226307489677
0.030,0.11,0.061,0.001,False,0.4581660173577487202840075013
0.035,0.01,0.067,0.001,False,0.4580576963671331681354734861
0.035,0.01,0.068,0.001,False,0.4580576963671331681354734861
0.035,0.01,0.069,0.001,False,0.4580576963671331681354734861
0.035,0.01,0.070,0.001,False,0.4580576963671331681354734861
0.033,0.03,0.061,0.013,True,0.4567424561454494007813657876
0.038,0,0.066,0.001,False,0.4566079273082269302513925372
0.038,0,0.067,0.001,False,0.4566079273082269302513925372
0.038,0,0.068,0.001,False,0.4566079273082269302513925372
0.038,0,0.069,0.001,False,0.4566079273082269302513925372
0.036,0.01,0.066,0.001,False,0.4561926105235719720728112827
0.036,0.01,0.067,0.001,False,0.4561926105235719720728112827
0.036,0.01,0.068,0.001,False,0.4561926105235719720728112827
0.036,0.01,0.069,0.001,False,0.4561926105235719720728112827
0.036,0.01,0.070,0.001,False,0.4561926105235719720728112827
0.033,0.03,0.061,0.014,True,0.4557232846995315666483861714
0.031,0.11,0.061,0.001,False,0.4546907599512757208096759942
0.034,0.02,0.068,0.001,False,0.4546569892884380311805994551
0.034,0.02,0.069,0.001,False,0.4546569892884380311805994551
0.039,0,0.066,0.001,False,0.4545482198192010555660955466
