StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0,0.126,0.007,False,1.4523862348298452307008573055
0.030,0,0.127,0.007,False,1.4523862348298452307008573055
0.030,0,0.126,0.004,False,1.4407731605690129453446514553
0.030,0,0.127,0.004,False,1.4407731605690129453446514553
0.030,0,0.126,0.006,False,1.4385854250589044326047795078
0.030,0,0.127,0.006,False,1.4385854250589044326047795078
0.031,0,0.126,0.007,False,1.4262723852451021992180040022
0.031,0,0.127,0.007,False,1.4262723852451021992180040022
0.030,0,0.126,0.005,False,1.4242193148795252608238811649
0.030,0,0.127,0.005,False,1.4242193148795252608238811649
0.031,0,0.126,0.004,False,1.4185658612095642437010715087
0.031,0,0.127,0.004,False,1.4185658612095642437010715087
0.031,0,0.126,0.006,False,1.4123755211010557841524542071
0.031,0,0.127,0.006,False,1.4123755211010557841524542071
0.030,0,0.126,0.003,False,1.4020099758442165552147048562
0.030,0,0.127,0.003,False,1.4020099758442165552147048562
0.031,0,0.126,0.005,False,1.3980120938148198565693098692
0.031,0,0.127,0.005,False,1.3980120938148198565693098692
0.030,0.03,0.129,0.012,True,1.3978844006087244491217202159
0.030,0.03,0.130,0.012,True,1.3978844006087244491217202159
0.012,0.08,0.129,0.005,False,1.3848339280660220980562527965
0.012,0.08,0.130,0.005,False,1.3848339280660220980562527965
0.031,0.03,0.129,0.012,True,1.3785453122324023061361126068
0.031,0.03,0.130,0.012,True,1.3785453122324023061361126068
0.012,0.09,0.129,0.005,False,1.3778562194541000454443300611
0.012,0.09,0.130,0.005,False,1.3778562194541000454443300611
0.031,0,0.126,0.003,False,1.3758108701626356122108539597
0.031,0,0.127,0.003,False,1.3758108701626356122108539597
0.032,0,0.126,0.003,False,1.3692276373399332544863821909
0.026,0,0.127,0.004,False,1.3587018993121563067245533851
0.032,0.03,0.129,0.012,True,1.3574535212303261958897214511
0.011,0.08,0.129,0.005,False,1.3555359255662967809313300574
0.011,0.08,0.130,0.005,False,1.3555359255662967809313300574
0.011,0.09,0.129,0.005,False,1.3485598385656603301866045289
0.011,0.09,0.130,0.005,False,1.3485598385656603301866045289
0.011,0.01,0.121,0.010,False,1.3425271418953695571741068479
0.013,0.08,0.129,0.005,False,1.3385484062888224944297522196
0.013,0.08,0.130,0.005,False,1.3385484062888224944297522196
0.012,0.08,0.129,0.004,False,1.3350022812025608574683161595
0.012,0.08,0.130,0.004,False,1.3350022812025608574683161595
0.027,0,0.126,0.004,False,1.3338956412600653653735520900
0.013,0.09,0.129,0.005,False,1.3315690733547249601508202054
0.013,0.09,0.130,0.005,False,1.3315690733547249601508202054
0.012,0.09,0.129,0.004,False,1.3280245725906388048563934241
0.012,0.09,0.130,0.004,False,1.3280245725906388048563934241
0.012,0.01,0.121,0.010,False,1.3156635512620963391436827341
0.012,0.01,0.122,0.010,False,1.3143280013142943318068253246
