StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0,0.093,0.009,False,1.1542642995543620439027167353
0.010,0.11,0.098,0.010,False,1.1505587659630500727565223750
0.010,0.11,0.099,0.010,False,1.1505587659630500727565223750
0.010,0.11,0.100,0.010,False,1.1505587659630500727565223750
0.026,0,0.097,0.039,False,1.1451089259400072662633993153
0.026,0,0.098,0.039,False,1.1451089259400072662633993153
0.026,0,0.097,0.038,False,1.1434738177110868801394135232
0.026,0,0.098,0.038,False,1.1434738177110868801394135232
0.007,0,0.091,0.010,False,1.1386246499832045473180374976
0.007,0,0.091,0.009,False,1.1234450017644443667656520674
0.006,0,0.091,0.010,False,1.1144584746132793839018931210
0.006,0,0.092,0.011,False,1.1080903295451691834888792313
0.007,0,0.092,0.009,False,1.1014296536045220966634356604
0.034,0.17,0.093,0.022,False,1.0955121105850130491586407042
0.034,0.17,0.094,0.022,False,1.0955121105850130491586407042
0.034,0.17,0.095,0.022,False,1.0955121105850130491586407042
0.034,0.17,0.096,0.022,False,1.0955121105850130491586407042
0.034,0.17,0.093,0.021,False,1.0933552231444122024528521539
0.034,0.17,0.094,0.021,False,1.0933552231444122024528521539
0.034,0.17,0.095,0.021,False,1.0933552231444122024528521539
0.034,0.17,0.096,0.021,False,1.0933552231444122024528521539
0.006,0,0.091,0.009,False,1.0888911526795331152374497757
0.006,0,0.092,0.009,False,1.0888911526795331152374497757
0.006,0,0.091,0.011,False,1.0875185461728743429642779684
0.006,0.11,0.091,0.009,False,1.0862465776096954271160773358
0.006,0.11,0.092,0.009,False,1.0862465776096954271160773358
0.008,0.10,0.098,0.010,False,1.0843209960330666506382097290
0.008,0.10,0.099,0.010,False,1.0843209960330666506382097290
0.008,0.10,0.100,0.010,False,1.0843209960330666506382097290
0.035,0.17,0.092,0.022,False,1.0742965655952298563747222351
0.035,0.17,0.093,0.022,False,1.0742965655952298563747222351
0.035,0.17,0.094,0.022,False,1.0742965655952298563747222351
0.035,0.17,0.095,0.022,False,1.0742965655952298563747222351
0.035,0.17,0.096,0.022,False,1.0742965655952298563747222351
0.010,0.11,0.096,0.008,False,1.0732905767858936897244851391
0.010,0.11,0.097,0.008,False,1.0732905767858936897244851391
0.010,0.11,0.098,0.008,False,1.0732905767858936897244851391
0.010,0.11,0.099,0.008,False,1.0732905767858936897244851391
0.010,0.11,0.100,0.008,False,1.0732905767858936897244851391
0.006,0.10,0.091,0.009,False,1.0727924124102891298246240482
0.006,0.10,0.092,0.009,False,1.0727924124102891298246240482
0.010,0.10,0.096,0.008,False,1.0721819427665549758177641212
0.010,0.10,0.097,0.008,False,1.0721819427665549758177641212
0.010,0.10,0.098,0.008,False,1.0721819427665549758177641212
0.010,0.10,0.099,0.008,False,1.0721819427665549758177641212
0.010,0.10,0.100,0.008,False,1.0721819427665549758177641212
0.035,0.17,0.092,0.021,False,1.0718519364350944776967865739
0.035,0.17,0.093,0.021,False,1.0718519364350944776967865739
0.035,0.17,0.094,0.021,False,1.0718519364350944776967865739
0.035,0.17,0.095,0.021,False,1.0718519364350944776967865739
0.035,0.17,0.096,0.021,False,1.0718519364350944776967865739
0.008,0.06,0.095,0.010,False,1.0712979158922734060238303294
0.034,0.05,0.100,0.009,False,1.0681628559604072022798374909
0.006,0,0.093,0.009,False,1.0673362793950941574227978468
0.010,0,0.092,0.010,False,1.0668619073329570766242670360
0.034,0.29,0.091,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.092,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.093,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.094,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.095,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.096,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.097,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.098,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.099,0.022,False,1.0648260043992224939208550038
0.034,0.29,0.100,0.022,False,1.0648260043992224939208550038
0.005,0.05,0.092,0.010,False,1.0636693020309603939675555030
0.038,0.24,0.098,0.025,False,1.0634169863958498103008783624
0.038,0.24,0.099,0.025,False,1.0634169863958498103008783624
0.038,0.24,0.100,0.025,False,1.0634169863958498103008783624
0.038,0.24,0.098,0.024,False,1.0607830016954675142133263910
0.038,0.24,0.099,0.024,False,1.0607830016954675142133263910
0.038,0.24,0.100,0.024,False,1.0607830016954675142133263910
0.010,0.01,0.092,0.010,False,1.0605717119863185329251391934
0.004,0.05,0.093,0.010,False,1.0601338409248914035223670710
0.004,0.05,0.094,0.010,False,1.0601338409248914035223670710
0.004,0.05,0.095,0.010,False,1.0601338409248914035223670710
0.010,0,0.093,0.010,False,1.0586924901607641131152257766
0.038,0.24,0.098,0.023,False,1.0580147071703595770539516754
0.038,0.24,0.099,0.023,False,1.0580147071703595770539516754
0.038,0.24,0.100,0.023,False,1.0580147071703595770539516754
0.008,0.11,0.098,0.010,False,1.0577694425384427012874778553
0.008,0.11,0.099,0.010,False,1.0577694425384427012874778553
0.008,0.11,0.100,0.010,False,1.0577694425384427012874778553
0.009,0.12,0.098,0.010,False,1.0577040460976582060325907666
0.009,0.12,0.099,0.010,False,1.0577040460976582060325907666
0.009,0.12,0.100,0.010,False,1.0577040460976582060325907666
0.035,0.29,0.091,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.092,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.093,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.094,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.095,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.096,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.097,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.098,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.099,0.023,False,1.0575827539807146729946730600
0.035,0.29,0.100,0.023,False,1.0575827539807146729946730600
0.009,0.11,0.098,0.010,False,1.0556633285446269546666156331
0.009,0.11,0.099,0.010,False,1.0556633285446269546666156331
0.009,0.11,0.100,0.010,False,1.0556633285446269546666156331
0.010,0.11,0.092,0.010,False,1.0551457404897626524209401806
0.010,0.11,0.093,0.010,False,1.0551457404897626524209401806
0.010,0.11,0.094,0.010,False,1.0551457404897626524209401806
0.010,0.11,0.095,0.010,False,1.0551457404897626524209401806
0.010,0.11,0.096,0.010,False,1.0551457404897626524209401806
0.010,0.11,0.097,0.010,False,1.0551457404897626524209401806
0.008,0.07,0.096,0.010,False,1.0549389049324562375417191880
0.035,0.29,0.091,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.092,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.093,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.094,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.095,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.096,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.097,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.098,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.099,0.022,False,1.0542401072358152146274453222
0.035,0.29,0.100,0.022,False,1.0542401072358152146274453222
0.039,0.24,0.097,0.025,False,1.0542094533421311295047464546
0.039,0.24,0.098,0.025,False,1.0542094533421311295047464546
0.039,0.24,0.099,0.025,False,1.0542094533421311295047464546
0.039,0.24,0.100,0.025,False,1.0542094533421311295047464546
0.010,0.01,0.093,0.010,False,1.0535088988602860628928352483
0.008,0.07,0.095,0.010,False,1.0533294526327826463334113828
0.034,0.05,0.100,0.008,False,1.0524399363551774661301480434
0.036,0.17,0.091,0.022,False,1.0522952783336190144594710937
0.036,0.17,0.092,0.022,False,1.0522952783336190144594710937
0.036,0.17,0.093,0.022,False,1.0522952783336190144594710937
0.036,0.17,0.094,0.022,False,1.0522952783336190144594710937
0.036,0.17,0.095,0.022,False,1.0522952783336190144594710937
0.036,0.17,0.096,0.022,False,1.0522952783336190144594710937
0.039,0.24,0.097,0.024,False,1.0515754686417488334171944832
0.039,0.24,0.098,0.024,False,1.0515754686417488334171944832
0.039,0.24,0.099,0.024,False,1.0515754686417488334171944832
0.039,0.24,0.100,0.024,False,1.0515754686417488334171944832
0.007,0,0.092,0.010,False,1.0508118322047959453247411894
0.007,0,0.093,0.010,False,1.0508118322047959453247411894
0.006,0.11,0.093,0.009,False,1.0505269246966292042270270242
0.004,0.04,0.092,0.010,False,1.0503906021761998524093004272
0.004,0.04,0.093,0.010,False,1.0503906021761998524093004272
0.004,0.04,0.094,0.010,False,1.0503906021761998524093004272
