StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.018,0.13,0.182,0.026,True,1.3074568421940178794710827466
0.018,0.13,0.183,0.026,True,1.3074568421940178794710827466
0.018,0.13,0.184,0.026,True,1.3074568421940178794710827466
0.018,0.13,0.185,0.026,True,1.3074568421940178794710827466
0.018,0.13,0.186,0.026,True,1.3074568421940178794710827466
0.018,0.13,0.187,0.026,True,1.3074568421940178794710827466
0.027,0.14,0.181,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.182,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.183,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.184,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.185,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.186,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.187,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.188,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.189,0.025,False,1.1135431238750846873900089394
0.027,0.14,0.190,0.025,False,1.1135431238750846873900089394
0.028,0.14,0.181,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.182,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.183,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.184,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.185,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.186,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.187,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.188,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.189,0.025,False,1.1023256444727331887682636951
0.028,0.14,0.190,0.025,False,1.1023256444727331887682636951
0.010,0.13,0.182,0.013,True,1.0980995748262002726004821491
0.010,0.13,0.183,0.013,True,1.0980995748262002726004821491
0.010,0.13,0.184,0.013,True,1.0980995748262002726004821491
0.010,0.13,0.185,0.013,True,1.0980995748262002726004821491
0.010,0.13,0.186,0.013,True,1.0980995748262002726004821491
0.026,0.18,0.181,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.182,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.183,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.184,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.185,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.186,0.025,False,1.0765257712316015266734820392
0.026,0.18,0.187,0.025,False,1.0765257712316015266734820392
