StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.004,0.10,0.069,0.012,False,1.4997671242525522198546956337
0.004,0.09,0.069,0.012,False,1.4815041822725766155709061333
0.004,0.08,0.069,0.012,False,1.4792816213240579955122362072
0.003,0.09,0.069,0.012,False,1.4362389301171742580863524297
0.003,0.10,0.069,0.012,False,1.4145005694620066463528057067
0.004,0.06,0.069,0.012,False,1.4005299173481894278769202451
0.004,0.07,0.069,0.012,False,1.3966094403825773394088041309
0.003,0.08,0.069,0.012,False,1.3938655325349117252190530840
0.004,0.10,0.068,0.012,False,1.3921195323266949880984286619
0.034,0.03,0.063,0.010,False,1.3745098196890540218892257455
0.004,0.09,0.068,0.012,False,1.3715052885795767201006553205
0.034,0.03,0.063,0.009,False,1.3669360762377929999335862377
0.034,0.04,0.063,0.010,False,1.3622461477257435501905213354
0.034,0.04,0.063,0.009,False,1.3546726176729331701238414569
0.004,0.04,0.069,0.012,False,1.3452824990811450642120856403
0.003,0.04,0.069,0.012,False,1.3424266450286357742387841076
0.035,0.05,0.063,0.008,False,1.3401394349812317652795999108
0.004,0.11,0.069,0.012,False,1.3382368968761956893117381144
0.004,0.12,0.068,0.012,False,1.3372605524792568719680024140
0.034,0.05,0.063,0.007,False,1.3363260417851820800331928451
0.004,0.04,0.068,0.012,False,1.3339521303543265602554660598
0.004,0.05,0.069,0.012,False,1.3328170769399851016062865692
0.035,0.03,0.063,0.010,False,1.3293035659265878009025273302
0.003,0.05,0.069,0.012,False,1.3292255784362257576281877468
0.004,0.13,0.069,0.012,False,1.3253258582503112759493720009
0.035,0.06,0.063,0.008,False,1.3233963813164953023551481340
0.004,0.05,0.068,0.012,False,1.3214867082131665976496669887
0.035,0.03,0.063,0.009,False,1.3213102297838512991065519803
0.035,0.04,0.063,0.010,False,1.3171219908166045020934710352
0.003,0.09,0.070,0.012,False,1.3155724226899055522020989287
0.004,0.08,0.068,0.012,False,1.3090039228384132049015592925
0.035,0.04,0.063,0.009,False,1.3089184049875320297538450038
0.035,0.03,0.063,0.008,False,1.3082600012211571034356076799
0.003,0.06,0.069,0.012,False,1.3009444218481861441860043832
0.035,0.04,0.063,0.008,False,1.2957477734136350006135122782
0.003,0.10,0.070,0.012,False,1.2949585922421327062553866723
0.036,0.05,0.063,0.008,False,1.2949547216015643992185768703
0.003,0.07,0.069,0.012,False,1.2939494683829759598367611494
0.004,0.06,0.068,0.012,False,1.2938389782027900630392025912
0.004,0.07,0.068,0.012,False,1.2899185012371779745710864770
0.003,0.08,0.070,0.012,False,1.2893458795391003993727637263
0.036,0.05,0.063,0.007,False,1.2852219796937410176001387234
0.034,0.04,0.063,0.007,False,1.2835473654325679472872261140
0.004,0.10,0.070,0.012,False,1.2788724948975198392329707520
0.036,0.06,0.063,0.008,False,1.2784847376439474812294010109
0.003,0.09,0.068,0.012,False,1.2764244730707684802369500922
0.036,0.06,0.063,0.007,False,1.2687532823888286776974428406
0.003,0.12,0.069,0.012,False,1.2655740573108084666255974824
