StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.022,0.09,0.051,0.008,False,1.9043878765117665048925389441
0.025,0.10,0.051,0.007,False,1.8481514247043398724561412174
0.022,0.09,0.051,0.009,False,1.8185193012679109649602362747
0.024,0.10,0.051,0.008,False,1.8178928587138702639912790754
0.024,0.10,0.051,0.007,False,1.8165396997482600047506191257
0.022,0.09,0.051,0.004,False,1.8133250561084367711458804552
0.026,0.11,0.055,0.007,False,1.8086409256860610293517689823
0.021,0.07,0.051,0.008,False,1.8007238521872915001363781200
0.026,0.10,0.055,0.007,False,1.7922160462937227858959466997
0.018,0.09,0.054,0.025,True,1.7854748911054285060579377595
0.026,0.08,0.055,0.007,False,1.7791529085976186143586495657
0.026,0.12,0.055,0.007,False,1.7778792634366518125002917155
0.020,0.01,0.051,0.010,False,1.7723430673394590711979803904
0.022,0.09,0.051,0.006,False,1.7714392272724554586647663685
0.022,0.09,0.051,0.007,False,1.7710924737539286967703286024
0.038,0.09,0.059,0.012,False,1.7694283797080616600206405254
0.018,0.09,0.054,0.026,True,1.7617108174298824010394069171
0.020,0.07,0.051,0.008,False,1.7612762900035057166139858529
0.026,0.09,0.055,0.007,False,1.7550162598368270276177931527
0.022,0.10,0.051,0.008,False,1.7530110151849737937740767165
0.038,0.10,0.059,0.012,False,1.7500611027317854085730711849
0.024,0.10,0.051,0.010,False,1.7487210354458037415790061766
0.018,0.09,0.054,0.027,True,1.7375401410030010213121614839
0.022,0.10,0.051,0.010,False,1.7364839500623967481562095278
0.024,0.10,0.051,0.009,False,1.7361928638151102759451457716
0.038,0.11,0.059,0.012,False,1.7255694367181888453666561734
0.040,0.09,0.057,0.011,False,1.7120419621240478819158513507
0.040,0.09,0.057,0.010,False,1.7118358456707224764724853039
0.018,0.09,0.053,0.025,True,1.7107199181827411309722571083
0.022,0.09,0.051,0.003,False,1.7086471003490501089398060528
0.040,0.11,0.057,0.010,False,1.7072976718544969070772239003
0.040,0.10,0.057,0.011,False,1.7070933224242685163353420121
0.040,0.09,0.056,0.011,False,1.7069342660093253485204958139
0.040,0.09,0.055,0.011,False,1.7069033469070469651483848788
0.040,0.10,0.057,0.010,False,1.7065426450418611008390288982
0.029,0.08,0.054,0.006,False,1.7055116367977387685363468571
0.040,0.09,0.056,0.010,False,1.7008771950051415658369752782
0.040,0.09,0.056,0.009,False,1.7008491432285681622629971160
0.040,0.09,0.055,0.010,False,1.7008462759028631824648643431
0.040,0.10,0.056,0.011,False,1.7007724132682994088486731277
0.040,0.10,0.055,0.011,False,1.7007414941660210254765621926
0.040,0.11,0.057,0.011,False,1.6976959647364663334088416371
0.025,0.10,0.051,0.009,False,1.6970675618221429209229775436
0.040,0.09,0.055,0.009,False,1.6949666465590017345314199840
0.040,0.10,0.056,0.010,False,1.6944986588594511432615467115
0.040,0.10,0.055,0.010,False,1.6944677397571727598894357764
0.040,0.10,0.056,0.009,False,1.6941255882028176487059011883
0.038,0.09,0.059,0.011,False,1.6919757853550167483066633211
0.020,0.01,0.051,0.009,False,1.6912462398508655646529058428
0.040,0.10,0.055,0.009,False,1.6883703815628814488280333190
0.038,0.10,0.059,0.011,False,1.6861011306049106756475075447
0.038,0.12,0.059,0.012,False,1.6831722670580410061082434444
0.040,0.11,0.056,0.010,False,1.6770742621746210753437765564
0.040,0.11,0.055,0.010,False,1.6770433430723426919716656213
0.040,0.11,0.056,0.009,False,1.6767569008760203266528038906
0.020,0.03,0.051,0.010,False,1.6737037147509296797390840478
0.040,0.11,0.056,0.011,False,1.6734778804426894279943242263
0.040,0.11,0.055,0.011,False,1.6734469613404110446222132912
0.040,0.09,0.057,0.012,False,1.6726154323871178501328121348
0.020,0.04,0.051,0.010,False,1.6720484703019678960348634304
0.040,0.09,0.059,0.012,False,1.6711315844147336837330297729
0.040,0.11,0.055,0.009,False,1.6708432570838218152291466417
0.040,0.09,0.056,0.012,False,1.6675077362723953167374565980
0.022,0.10,0.051,0.009,False,1.6671764410478584403862136580
0.040,0.10,0.057,0.012,False,1.6627731900586451571376625319
0.040,0.09,0.058,0.015,False,1.6609622424926433829480510528
0.040,0.10,0.059,0.012,False,1.6606154951822058368097266842
0.038,0.11,0.059,0.011,False,1.6595180014876917084584887354
0.040,0.12,0.057,0.011,False,1.6582684101151094401139410828
0.040,0.12,0.058,0.011,False,1.6582684101151094401139410828
0.040,0.10,0.056,0.012,False,1.6564522809026760496509936475
0.040,0.11,0.057,0.012,False,1.6555977323135225335014444726
0.040,0.09,0.058,0.011,False,1.6553211686540843875428763563
0.040,0.12,0.057,0.010,False,1.6519943768529953460313148472
0.040,0.12,0.058,0.015,False,1.6518389898048984240900391701
0.023,0.09,0.051,0.007,False,1.6514609204485242633612975077
0.040,0.10,0.058,0.011,False,1.6491110183500150810964937054
0.021,0.07,0.051,0.006,False,1.6446251593652921312605872778
0.039,0.09,0.059,0.012,False,1.6441496996018215957673201605
0.040,0.10,0.058,0.015,False,1.6410138045157604897189084695
0.024,0.07,0.051,0.008,False,1.6408933280851122568290600703
0.039,0.12,0.059,0.012,False,1.6394501129886399059839353027
0.040,0.11,0.059,0.012,False,1.6366991200932846076283963256
0.027,0.08,0.054,0.008,False,1.6358540668129490183453166475
0.025,0.10,0.051,0.008,False,1.6351428594203734800852967373
0.040,0.12,0.055,0.011,False,1.6340106284085517527735653107
0.040,0.12,0.056,0.011,False,1.6340106284085517527735653107
0.021,0.03,0.051,0.009,False,1.6319769922690385201603458979
0.040,0.11,0.056,0.012,False,1.6313796480197456280869270618
0.040,0.09,0.059,0.015,False,1.6311870941473001524049143820
0.040,0.09,0.054,0.011,False,1.6310542180093964439193053508
0.021,0.04,0.051,0.009,False,1.6287377570190786329201269678
0.040,0.12,0.055,0.010,False,1.6277365951464376586909390751
0.040,0.12,0.056,0.010,False,1.6277365951464376586909390751
0.040,0.09,0.054,0.010,False,1.6250056741404787131264959355
0.018,0.09,0.054,0.001,False,1.6249982024606605766856030096
0.039,0.10,0.059,0.012,False,1.6244871129117640399718730017
0.017,0.01,0.054,0.002,False,1.6234657123892304797395595654
0.024,0.10,0.051,0.006,False,1.6232883456130094786420459598
0.020,0.01,0.051,0.008,False,1.6223848940277731607588894677
0.040,0.11,0.058,0.011,False,1.6223375207885907949500590490
0.022,0.08,0.051,0.008,False,1.6222048451524900775562019922
0.040,0.12,0.056,0.009,False,1.6216569739333214353995752423
