StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.022,0.01,0.152,0.027,False,1.3563972910575629654240787961
0.022,0,0.152,0.027,False,1.3537669469204840917794618103
0.022,0,0.151,0.027,False,1.3529524999268722196203697503
0.027,0.10,0.151,0.036,False,1.3218515811176533386870939789
0.027,0.10,0.152,0.036,False,1.3218515811176533386870939789
0.027,0.10,0.153,0.036,False,1.3218515811176533386870939789
0.019,0.03,0.153,0.013,False,1.3215762073232556177008135624
0.023,0,0.151,0.027,False,1.3164992362782384975516599425
0.021,0,0.158,0.017,False,1.3014430174176293098142762514
0.022,0.03,0.151,0.013,False,1.3009252792500798072430463107
0.022,0.03,0.152,0.013,False,1.3009252792500798072430463107
0.022,0.03,0.153,0.013,False,1.3009252792500798072430463107
0.020,0.03,0.152,0.013,False,1.2938428932875310135379616743
0.020,0.03,0.153,0.013,False,1.2938428932875310135379616743
0.022,0.01,0.151,0.026,False,1.2857721592500284214366359405
0.027,0.08,0.151,0.036,False,1.2848018121521909514870960517
0.027,0.08,0.152,0.036,False,1.2848018121521909514870960517
0.027,0.08,0.153,0.036,False,1.2848018121521909514870960517
0.027,0.08,0.154,0.036,False,1.2848018121521909514870960517
0.023,0.03,0.151,0.013,False,1.2730502005013665619028615858
0.023,0.03,0.152,0.013,False,1.2730502005013665619028615858
0.023,0.03,0.153,0.013,False,1.2730502005013665619028615858
0.021,0.03,0.152,0.013,False,1.2659691398298237988854255269
0.021,0.03,0.153,0.013,False,1.2659691398298237988854255269
0.022,0,0.151,0.026,False,1.2612168593111917521405302970
0.018,0,0.155,0.019,False,1.2596846654643194944078869576
0.013,0,0.158,0.013,False,1.2567668852316135209006923758
0.013,0.01,0.158,0.013,False,1.2567668852316135209006923758
0.034,0.16,0.153,0.024,False,1.2543597537965313999830089459
0.034,0.16,0.154,0.024,False,1.2543597537965313999830089459
0.034,0.16,0.155,0.024,False,1.2543597537965313999830089459
0.027,0.11,0.151,0.036,False,1.2522649881096588081602411898
0.027,0.11,0.152,0.036,False,1.2522649881096588081602411898
0.028,0.08,0.151,0.035,False,1.2514817606924242417554922852
0.028,0.08,0.152,0.035,False,1.2514817606924242417554922852
0.028,0.08,0.153,0.035,False,1.2514817606924242417554922852
0.028,0.08,0.154,0.035,False,1.2514817606924242417554922852
0.022,0,0.151,0.012,False,1.2477036471280949520687146546
0.035,0.16,0.153,0.024,False,1.2369518790845549697244055898
0.035,0.16,0.154,0.024,False,1.2369518790845549697244055898
0.035,0.16,0.155,0.024,False,1.2369518790845549697244055898
0.018,0.01,0.154,0.017,False,1.2365726271099194303742203735
0.018,0.01,0.155,0.017,False,1.2365726271099194303742203735
0.018,0.01,0.156,0.017,False,1.2365726271099194303742203735
0.018,0.01,0.157,0.017,False,1.2365726271099194303742203735
0.018,0.01,0.158,0.017,False,1.2365726271099194303742203735
0.019,0.01,0.151,0.013,False,1.2313762214735363215623848156
0.019,0.01,0.152,0.013,False,1.2313762214735363215623848156
0.019,0,0.151,0.013,False,1.2301943447995133705723585374
0.019,0,0.152,0.013,False,1.2301943447995133705723585374
0.023,0,0.151,0.012,False,1.2246032015420999961301378548
0.027,0.10,0.151,0.038,False,1.2203585717388376857760856235
0.027,0.10,0.152,0.038,False,1.2203585717388376857760856235
0.027,0.10,0.153,0.038,False,1.2203585717388376857760856235
0.036,0.16,0.153,0.024,False,1.2199782561543494482111582438
0.036,0.16,0.154,0.024,False,1.2199782561543494482111582438
0.036,0.16,0.155,0.024,False,1.2199782561543494482111582438
0.018,0.01,0.155,0.019,False,1.2152556951644907944150270174
0.027,0.06,0.151,0.038,False,1.2133781306900266550822459737
0.027,0.06,0.152,0.038,False,1.2133781306900266550822459737
0.027,0.06,0.153,0.038,False,1.2133781306900266550822459737
0.027,0.06,0.154,0.038,False,1.2133781306900266550822459737
0.021,0.04,0.152,0.015,False,1.2133435432796446390465308657
0.022,0,0.153,0.016,False,1.2120592793484257863669723702
0.022,0,0.154,0.016,False,1.2120592793484257863669723702
0.022,0,0.155,0.016,False,1.2120592793484257863669723702
0.022,0,0.156,0.016,False,1.2120592793484257863669723702
0.022,0,0.157,0.016,False,1.2120592793484257863669723702
0.020,0.03,0.151,0.013,False,1.2118694942501831148426801983
0.023,0,0.160,0.025,False,1.2115703580712469695122016085
0.020,0.01,0.151,0.013,False,1.2115653235184033608617451625
0.020,0.02,0.151,0.013,False,1.2115653235184033608617451625
0.013,0,0.155,0.013,False,1.2071046187532689760035530076
0.013,0.01,0.155,0.013,False,1.2071046187532689760035530076
0.013,0,0.156,0.013,False,1.2071046187532689760035530076
0.013,0.01,0.156,0.013,False,1.2071046187532689760035530076
0.013,0,0.157,0.013,False,1.2071046187532689760035530076
0.013,0.01,0.157,0.013,False,1.2071046187532689760035530076
0.033,0.14,0.160,0.030,False,1.2068662178311197776130672895
0.022,0.01,0.151,0.027,False,1.2029641454495756835514024510
0.023,0,0.160,0.027,False,1.2002228754268055835354296719
0,0.02,0.157,0.013,False,1.1974078605524090604900015104
0.023,0,0.160,0.026,False,1.1968585446374712955669060542
0.022,0,0.158,0.016,False,1.1959543097101274357739025561
0.016,0,0.158,0.015,False,1.1948969824587374381547777315
0.029,0.03,0.151,0.019,False,1.1944616162219527476865090624
