StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.025,0.09,0.049,0.007,False,2.1104607691508507274998464737
0.025,0.09,0.049,0.007,False,2.1104607691508507274998464737
0.025,0.09,0.050,0.007,False,2.1104607691508507274998464737
0.025,0.09,0.050,0.007,False,2.1104607691508507274998464737
0.025,0.09,0.049,0.008,False,2.0553097610482660048944903967
0.025,0.09,0.049,0.009,False,2.0064831147382498553678756343
0.020,0.07,0.049,0.008,False,1.9761064411598964707388557130
0.024,0.09,0.050,0.007,False,1.9442511874295496304306908808
0.024,0.09,0.050,0.007,False,1.9442511874295496304306908808
0.024,0.09,0.050,0.006,False,1.9165004742420695348749081489
0.022,0.09,0.049,0.006,True,1.9072223233469149944804307693
0.020,0.09,0.049,0.009,False,1.8898773265311076136168312180
0.021,0.07,0.050,0.008,False,1.8822592420530331123270039815
0.025,0.09,0.050,0.008,False,1.8767312301722021343479911127
0.020,0.09,0.049,0.010,False,1.8693973560730477176957496738
0.023,0.09,0.049,0.006,True,1.8678841330514871695527275904
0.022,0.11,0.049,0.006,True,1.8519248384965090402741920417
0.025,0.09,0.050,0.006,False,1.8518463927949171234461154429
0.020,0.01,0.050,0.010,False,1.8427759689287832087058694072
0.024,0.09,0.050,0.008,False,1.8398778977776500098085292678
0.020,0.07,0.049,0.009,False,1.8355281102975456950048939047
0.025,0.09,0.050,0.009,False,1.8265410171174250714701135452
0.024,0.09,0.049,0.007,False,1.8262777160178849869588532931
0.024,0.09,0.049,0.007,False,1.8262777160178849869588532931
0.023,0.11,0.049,0.006,True,1.8163184410009760280687407969
0.024,0.09,0.049,0.006,True,1.8136943780130941516482124687
0.022,0.10,0.049,0.006,True,1.8097534434072061820770510920
0.020,0.07,0.049,0.010,False,1.8084915050430566730458364278
0.024,0.09,0.049,0.008,False,1.8060629076447551903501892503
0.022,0.08,0.049,0.006,True,1.7992737840416059649591442050
0.024,0.09,0.049,0.004,False,1.7959378062590345272948382447
0.021,0.03,0.050,0.009,False,1.7892639311669716987925475067
0.021,0.04,0.050,0.009,False,1.7853911950288781513951767572
0.024,0.09,0.050,0.009,False,1.7828517178466616020307264291
0.023,0.10,0.049,0.006,True,1.7706577752138263023215799351
0.022,0.12,0.049,0.006,True,1.7649625747598151457454326218
