StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0,0.123,0.025,False,1.5243537202686607757583568425
0.011,0.17,0.121,0.008,False,1.5130649006381721815036397539
0.012,0.17,0.121,0.008,False,1.4596862409035572762702318696
0.030,0,0.126,0.007,False,1.4576826845004538370210362287
0.030,0,0.126,0.007,False,1.4576826845004538370210362287
0.030,0,0.127,0.007,False,1.4576826845004538370210362287
0.030,0,0.127,0.007,False,1.4576826845004538370210362287
0.024,0.09,0.121,0.005,False,1.4545235524090328826800145211
0.013,0.17,0.121,0.008,False,1.4260612324700241109049776664
0.031,0,0.126,0.007,False,1.3954590732661924335397168049
0.031,0,0.126,0.007,False,1.3954590732661924335397168049
0.031,0,0.127,0.007,False,1.3954590732661924335397168049
0.031,0,0.127,0.007,False,1.3954590732661924335397168049
0.021,0.18,0.121,0.023,False,1.3905134253114706890579134453
0.021,0.18,0.122,0.023,False,1.3905134253114706890579134453
0.021,0.18,0.123,0.023,False,1.3905134253114706890579134453
0.021,0.18,0.124,0.023,False,1.3905134253114706890579134453
0.021,0.18,0.125,0.023,False,1.3905134253114706890579134453
0.040,0.04,0.121,0.015,False,1.3797407851397043155265793106
0.020,0.04,0.128,0.016,False,1.3717385644221254029011241476
0.031,0,0.126,0.004,False,1.3674550739012822669277220317
0.031,0,0.127,0.004,False,1.3674550739012822669277220317
0.020,0.04,0.126,0.016,False,1.3626868437589576177409730210
0.020,0.04,0.127,0.016,False,1.3626868437589576177409730210
0.031,0,0.126,0.006,False,1.3626423061586275477330250596
0.031,0,0.127,0.006,False,1.3626423061586275477330250596
0.038,0.07,0.121,0.012,False,1.3622846595775517886723389548
0.014,0.17,0.121,0.008,False,1.3603016331564134557742711318
0.031,0,0.126,0.005,False,1.3532600264117709037819917834
0.031,0,0.127,0.005,False,1.3532600264117709037819917834
0.012,0.08,0.129,0.004,False,1.3530330913114032677900853182
0.012,0.08,0.130,0.004,False,1.3530330913114032677900853182
