StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.021,0.04,0.104,0.020,False,2.0025481782491798952502648530
0.021,0.04,0.103,0.020,False,2.0019540580420053284506319337
0.021,0.06,0.103,0.020,False,1.8059793734683590773552346527
0.021,0.05,0.103,0.020,False,1.8030156917163368145658619221
0.021,0.04,0.105,0.023,False,1.6722967943391671484314231790
0.021,0.04,0.106,0.023,False,1.6638270521302789065373063791
0.021,0.06,0.104,0.020,False,1.6153113680523907110025407587
0.003,0.21,0.085,0.012,False,1.6132223795925315939036843711
0.021,0.06,0.102,0.020,False,1.6118188675138687464621697190
0.021,0.05,0.104,0.020,False,1.6114102179836024356477086848
0.003,0.22,0.085,0.012,False,1.6089230606027391629187483389
0.021,0.05,0.102,0.020,False,1.6068722720218597140344196197
0.003,0,0.081,0.012,False,1.5937074641827982916378913251
0.021,0.07,0.104,0.020,False,1.5893705366691006887623730547
0.021,0.04,0.105,0.022,False,1.5890281529233734741599175805
0.021,0.04,0.106,0.022,False,1.5818212709928135536994768533
0.021,0.07,0.103,0.020,False,1.5795115758457535097467337660
0.007,0.01,0.095,0.009,False,1.5759860213381277736761015656
0.021,0.01,0.105,0.023,False,1.5639556289274451889169362113
0.003,0.21,0.084,0.012,False,1.5583220130947485527728977877
0.021,0.01,0.106,0.023,False,1.5554858867185569470228194114
0.003,0.22,0.084,0.012,False,1.5531448389217850042412884705
0.003,0,0.082,0.012,False,1.5504192380438296749862447723
0.006,0.01,0.091,0.010,False,1.5369949169348282970210436030
0.007,0,0.095,0.009,False,1.5369607271165304604082041143
0.020,0.04,0.105,0.023,False,1.5336510332759446558070581485
0.021,0.04,0.104,0.022,False,1.5294268120727778944131027183
0.021,0.04,0.103,0.023,False,1.5288367564149592069608922578
0.003,0.08,0.081,0.012,False,1.5249768701146472695978809663
0.020,0.04,0.106,0.023,False,1.5249581781218008485961174385
0.030,0,0.123,0.025,False,1.5208162227954446851984215281
0.021,0,0.106,0.019,False,1.5157064356613392501569887826
0.003,0.21,0.083,0.012,False,1.5120762215681850754799521934
0.021,0,0.106,0.018,False,1.5109060603506307305390308165
0.011,0.17,0.120,0.008,False,1.5094525567430333642882408479
0.011,0.17,0.121,0.008,False,1.5094525567430333642882408479
0.003,0.21,0.092,0.012,False,1.5080737696028921798577632273
0.003,0.21,0.093,0.012,False,1.5080737696028921798577632273
0.003,0.21,0.094,0.012,False,1.5080737696028921798577632273
0.003,0.21,0.090,0.012,False,1.5069864493433713340515403659
0.003,0.21,0.091,0.012,False,1.5069864493433713340515403659
0.003,0.22,0.083,0.012,False,1.5068990473952215269483428762
0.001,0.14,0.081,0.012,False,1.5045782606504917125658561344
0.003,0.01,0.081,0.012,False,1.5037870205168049777262721598
0.003,0.22,0.090,0.012,False,1.5024940883117094318271476488
0.003,0.22,0.091,0.012,False,1.5024940883117094318271476488
0.035,0,0.093,0.009,False,1.4999740924144889682666837975
0.035,0,0.094,0.009,False,1.4999740924144889682666837975
0.003,0.23,0.090,0.012,False,1.4966755978690282412311217226
0.003,0.23,0.091,0.012,False,1.4966755978690282412311217226
0.003,0.21,0.081,0.012,False,1.4961629919133509477463824177
0.003,0.21,0.082,0.012,False,1.4961629919133509477463824177
0.035,0,0.095,0.009,False,1.4956624345601511679619373702
0.021,0.04,0.106,0.024,False,1.4955495453763204318940654731
0.003,0.22,0.081,0.012,False,1.4909858177403873992147731005
0.003,0.22,0.082,0.012,False,1.4909858177403873992147731005
0.021,0.04,0.105,0.020,False,1.4905725882747878472659357310
0.027,0.10,0.151,0.036,False,1.4897588889088345931467998605
0.027,0.10,0.152,0.036,False,1.4897588889088345931467998605
0.027,0.10,0.153,0.036,False,1.4897588889088345931467998605
0.003,0.22,0.092,0.012,False,1.4892091921886600461179253261
0.003,0.22,0.093,0.012,False,1.4892091921886600461179253261
0.003,0.22,0.094,0.012,False,1.4892091921886600461179253261
0.021,0.06,0.105,0.020,False,1.4875869589217191234271996979
0.023,0.01,0.102,0.018,False,1.4863502432379098841160312463
0.003,0.23,0.092,0.012,False,1.4855768016053565182324069331
0.003,0.23,0.093,0.012,False,1.4855768016053565182324069331
0.003,0.23,0.094,0.012,False,1.4855768016053565182324069331
0.023,0.01,0.102,0.019,False,1.4848481080030686869646639934
0.021,0.05,0.105,0.020,False,1.4847725354937433096756638767
0.021,0.03,0.106,0.020,False,1.4845380895503669564462525912
0.021,0.02,0.106,0.020,False,1.4844378085141127124429627743
0.021,0.04,0.106,0.020,False,1.4833657063442279268054950038
0.021,0.06,0.106,0.020,False,1.4809031036617728276733038293
0.021,0,0.106,0.025,True,1.4800767661328082706514797790
0.011,0.02,0.090,0.005,False,1.4785226589766665226781712178
0.001,0.17,0.081,0.012,False,1.4784626141123238170499799039
0.021,0.05,0.106,0.020,False,1.4775656535631833892152231495
0.001,0.21,0.081,0.012,False,1.4766140762779348321231020747
0.020,0.04,0.105,0.022,False,1.4760023675465383561089180538
0.021,0.05,0.105,0.023,False,1.4741683454088353758617199111
0.011,0.02,0.093,0.005,False,1.4733213289862614657323855984
0.021,0.01,0.106,0.020,False,1.4715437926022433709126647496
0.001,0.22,0.081,0.012,False,1.4696389660409437065706391964
0.005,0.06,0.085,0.012,False,1.4685937989248073530682030620
0.020,0.04,0.106,0.022,False,1.4685723726707228703316534165
0.011,0.02,0.092,0.005,False,1.4682323369642740226214311044
0.003,0.01,0.082,0.012,False,1.4675256644786309826237601708
0.021,0.06,0.105,0.023,False,1.4671637906171762139891024659
0.025,0,0.102,0.040,False,1.4670318243322885517580878549
0.021,0.04,0.103,0.022,False,1.4657958307230493388684471055
0.003,0.10,0.085,0.012,False,1.4651489153686985195684849531
0.006,0.03,0.091,0.010,False,1.4644047431961009714705503649
0.020,0.13,0.106,0.025,False,1.4611524345895867702067039616
0.018,0.10,0.110,0.023,False,1.4604560792205570455920156255
0.036,0,0.092,0.009,False,1.4598181626485856930790897928
0.036,0,0.093,0.009,False,1.4598181626485856930790897928
0.024,0.09,0.121,0.005,False,1.4579930210846871253445664640
0.003,0.01,0.084,0.012,False,1.4571895633146238252299781271
0.012,0.17,0.120,0.008,False,1.4560738970084184590548329636
0.012,0.17,0.121,0.008,False,1.4560738970084184590548329636
0.003,0.23,0.085,0.012,False,1.4559266958410911327606808248
0.003,0.02,0.084,0.012,False,1.4559112030589421290000774827
0.001,0.14,0.082,0.012,False,1.4557961703574852284686074918
0.036,0,0.095,0.009,False,1.4555133844771627934164012945
0.030,0,0.126,0.007,False,1.4541412497134458434968026964
