StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.04,0.044,0.003,False,1.4203549739493721917414159423
0.014,0.05,0.044,0.003,False,1.3933819433301247021597928528
0.016,0.05,0.044,0.003,False,1.3564201902759741058921630403
0.039,0.01,0.045,0.007,False,1.3509842590329274747999080069
0.015,0.04,0.044,0.003,False,1.3383075559207777260238071001
0.039,0.02,0.045,0.007,False,1.3306515714381306849883691895
0.016,0.04,0.044,0.003,False,1.3304159597765930918003711656
0.017,0.05,0.044,0.003,False,1.3288983590966158772832548267
0.016,0.06,0.044,0.003,False,1.3257450589014631380252083876
0.003,0.27,0.049,0.012,False,1.3217861474464391089216559106
0.017,0.04,0.044,0.003,False,1.3127444429726828553139468214
0.015,0.05,0.044,0.003,False,1.3115634009864148024455251467
0.039,0.03,0.045,0.007,False,1.3097679416047615016677341820
0.003,0.27,0.048,0.012,False,1.2995430032989092161475528865
0.039,0.01,0.045,0.006,False,1.2884253050735560107620326809
0.040,0.01,0.045,0.007,False,1.2877485269070990046007633314
0.039,0.01,0.046,0.007,False,1.2740483510315024249400061459
0.015,0.06,0.044,0.003,False,1.2738002501017642314607295265
0.039,0.02,0.045,0.006,False,1.2680966398700884438158620226
0.040,0.02,0.045,0.007,False,1.2671200811489210905310207102
0.015,0.29,0.046,0.004,False,1.2581696794232576852666783074
0.003,0.27,0.047,0.012,False,1.2542368420353450566616946889
0.039,0.02,0.046,0.007,False,1.2542346531619308782361446951
0.039,0.03,0.045,0.006,False,1.2470252766462072559903851506
0.040,0.03,0.045,0.007,False,1.2464614212334325309792574436
0.017,0.03,0.043,0.010,False,1.2354595417719688160582646477
0.016,0.04,0.045,0.003,False,1.2343167599930671208522942130
0.039,0.03,0.046,0.007,False,1.2331113663189193334293449212
0.014,0.06,0.044,0.003,False,1.2267073509052975479580226291
0.005,0.28,0.043,0.010,False,1.2264397466493101112022274088
0.040,0.26,0.048,0.010,False,1.2259656007171347439332511361
0.040,0.26,0.049,0.010,False,1.2259656007171347439332511361
0.014,0.04,0.044,0.004,False,1.2250790652287186927621311239
0.040,0.01,0.045,0.006,False,1.2235037447804617101281294860
0.015,0.07,0.044,0.003,False,1.2234823128084631527472645081
0.014,0.04,0.045,0.003,False,1.2225081568570024363068966346
0.019,0.18,0.045,0.007,False,1.2220078975667144505105062653
0.040,0.26,0.048,0.009,False,1.2218841811407624959714200649
0.039,0.01,0.046,0.006,False,1.2114789510069761422983782570
0.038,0.01,0.045,0.007,False,1.2092602140355685635236727380
0.039,0.04,0.045,0.007,False,1.2045243609538380755372863432
0.040,0.02,0.045,0.006,False,1.2028793778923648325422409208
0.014,0.04,0.044,0.005,False,1.2016854241712039205061657781
0.040,0.04,0.045,0.007,False,1.1977358046130179591153745074
0.014,0.05,0.044,0.004,False,1.1972535318465494235495046798
0.016,0.04,0.044,0.004,False,1.1953940835848388895936770774
0.039,0.02,0.046,0.006,False,1.1916589826156775810301896810
0.038,0.23,0.047,0.019,True,1.1909980039120306537256670397
0.038,0.23,0.048,0.019,True,1.1899812517127934453103876295
0.038,0.02,0.045,0.007,False,1.1895620138911100434325655735
0.016,0.07,0.044,0.003,False,1.1887023541117115524071285230
0.039,0.01,0.046,0.009,False,1.1875075510434457995476621105
0.039,0.10,0.045,0.007,False,1.1851344789435565818233761103
0.039,0,0.046,0.009,False,1.1847287881537667696338015388
0.038,0.23,0.047,0.020,True,1.1847025560784362496568946885
0.038,0.23,0.048,0.020,True,1.1836333850016693423865524068
0.040,0.03,0.045,0.006,False,1.1818402671116588198411921648
0.040,0.26,0.050,0.010,False,1.1792803041877360054215468958
0.014,0.05,0.044,0.005,False,1.1771491795730288613248604741
0.014,0.05,0.045,0.003,False,1.1757990116466191587758968171
0.016,0.05,0.044,0.004,False,1.1755274884283668671994516388
0.040,0.26,0.050,0.009,False,1.1754407431870738324005318970
0.014,0.04,0.046,0.003,False,1.1726171872965479726527415871
0.039,0.01,0.045,0.009,False,1.1713571913244142607284492326
0.039,0.03,0.046,0.006,False,1.1703634297018401333501234750
0.005,0.28,0.041,0.010,False,1.1693338397525776890295962900
0.005,0.28,0.042,0.010,False,1.1693338397525776890295962900
0.039,0.02,0.046,0.009,False,1.1654819377136753565260986476
