StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.10,0.049,0.011,False,1.3451483124057494653738882684
0.020,0.10,0.050,0.011,False,1.3372305503446893577920606585
0.020,0.09,0.049,0.011,False,1.3132468827738920982071960303
0.021,0.11,0.050,0.009,False,1.2906029939786749802026119791
0.016,0.12,0.049,0.002,False,1.2899479803559836050775705373
0.020,0.09,0.050,0.011,False,1.2898886315298720076194499274
0.015,0.12,0.049,0.003,False,1.2788076171140998844492146873
0.014,0.12,0.049,0.002,False,1.2716169836407540129928394826
0.023,0.14,0.049,0.008,False,1.2648586511714245115167440404
0.022,0.13,0.047,0.008,False,1.2608328077691750258210582549
0.015,0.10,0.049,0.003,False,1.2604751869474073855382418432
0.020,0.08,0.049,0.011,False,1.2590704613188298578327249804
0.014,0.14,0.050,0.003,False,1.2577886469641624410535376603
0.028,0.23,0.043,0.024,False,1.2524510058485428939482335359
0.014,0.11,0.049,0.002,False,1.2522650475497572057864539716
0.021,0.12,0.049,0.011,False,1.2519831497553319775568566998
0.020,0.08,0.050,0.010,False,1.2502700868663567041469750439
0.020,0.06,0.050,0.010,False,1.2492720755970025362048613444
0.027,0.27,0.041,0.014,False,1.2460588899555088511226081971
0.020,0.08,0.050,0.011,False,1.2435017721930862094968212515
0.015,0.11,0.049,0.003,False,1.2422223969247857164049420386
0.038,0,0.046,0.008,False,1.2418025069602697498798466994
0.022,0.09,0.049,0.017,False,1.2369057450678846800421897423
0.027,0.28,0.041,0.004,False,1.2346654865123012223098416889
0.020,0.05,0.050,0.010,False,1.2326441486331026464648898968
0.011,0.27,0.041,0.003,False,1.2289024950526329030476606562
0.022,0.12,0.046,0.008,False,1.2266024672310254286806030168
0.027,0.27,0.041,0.004,False,1.2235192040157455231185254385
0.020,0.07,0.050,0.010,False,1.2206721757779275060678339012
0.022,0.13,0.046,0.008,False,1.2200086196520869913604768239
0.022,0.10,0.049,0.017,False,1.2195936517462109564839045327
0.014,0.12,0.049,0.003,False,1.2188541632227565814731022368
0.030,0.30,0.048,0.005,True,1.2175438228105825439693595065
0.030,0.30,0.048,0.006,True,1.2167944350824950485926399628
0.027,0.28,0.041,0.003,False,1.2154991451430894230530004198
0.021,0.09,0.047,0.008,False,1.2152799991910092246661221841
0.020,0.09,0.050,0.009,False,1.2150566877311475036093999126
0.022,0.13,0.049,0.008,False,1.2100751105060978705181320762
0.014,0.12,0.050,0.003,False,1.2085589004417387698890015275
0.027,0.27,0.041,0.003,False,1.2047927098766943054585440101
0.015,0.12,0.049,0.002,False,1.2034199088007135819628852144
0.021,0.15,0.047,0.025,False,1.2003965902107940507367954692
0.017,0.12,0.048,0.002,False,1.1951454056946572957066934408
0.033,0.04,0.050,0.008,False,1.1951118288808238609622881092
0.022,0.14,0.048,0.008,False,1.1942613931412891779953323146
0.022,0.14,0.047,0.008,False,1.1921664947403540594759091931
0.021,0.12,0.049,0.008,False,1.1919463981726045529075910931
0.014,0.11,0.049,0.003,False,1.1906170430695734358886895008
0.022,0.11,0.050,0.008,False,1.1898058259816681312275295506
0.022,0.06,0.049,0.017,False,1.1895692001733560335851584890
0.016,0.11,0.049,0.002,False,1.1872998288286294353306539462
0.014,0.13,0.049,0.002,False,1.1862037990487282263587761235
0.020,0.04,0.050,0.010,False,1.1842476036290795186512199439
0.014,0.14,0.049,0.002,False,1.1840897676849932747859629060
0.015,0.09,0.049,0.003,False,1.1832263055437266547598997479
0.014,0.10,0.050,0.003,False,1.1813830354769123943083186822
0.021,0.10,0.049,0.011,False,1.1789455632971418478936437806
0.020,0.12,0.050,0.011,False,1.1784207813633665126808310761
0.020,0,0.050,0.010,False,1.1754241549339828348100581857
0.011,0.27,0.041,0.002,False,1.1748461334470765455562356067
0.014,0.14,0.050,0.002,False,1.1740498822628132883097573713
0.028,0.23,0.043,0.027,False,1.1725986605247498274726989554
0.027,0.27,0.041,0.008,True,1.1706246233682153913675706283
0.014,0.13,0.050,0.003,False,1.1701107511309554991486700672
0.020,0.08,0.050,0.009,False,1.1691790229944850829359439941
0.006,0.24,0.048,0.011,False,1.1682073955280954222114463522
0.015,0.11,0.049,0.002,False,1.1660469584935841927430510880
0.028,0.22,0.043,0.017,False,1.1650569493976127739858704009
0.028,0.23,0.043,0.017,False,1.1649665911974776150765729947
0.014,0.11,0.050,0.003,False,1.1644203973442388401242969013
0.020,0.09,0.048,0.008,False,1.1633021655341181451164396174
0.020,0.11,0.049,0.011,False,1.1584723278831475796979920434
0.040,0.10,0.050,0.008,False,1.1531318463230332886200780201
0.025,0.27,0.048,0.008,True,1.1518076695395569707358839535
0.018,0.03,0.046,0.009,False,1.1507184154235057492781966359
0.018,0.01,0.046,0.009,False,1.1506960197188195289142534083
0.020,0.09,0.049,0.008,False,1.1501915536778631698669783774
0.020,0.11,0.050,0.011,False,1.1498141970741347669977033324
0.027,0.30,0.048,0.007,False,1.1492950653671913482551667201
0.023,0.10,0.050,0.009,False,1.1486116535102671446464867282
0.026,0.28,0.041,0.004,False,1.1485663122424721594237263796
0.018,0.13,0.047,0.002,False,1.1483490733061501910952574184
