StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0.02,0.02,0.013,False,1.1121156921830727653805457564
0.016,0.01,0.02,0.013,False,1.1080330436869553279153168656
0.016,0.23,0.02,0.013,False,1.0654330270840581574414677997
0.016,0.29,0.02,0.014,False,1.0297701022642454439623602337
0.027,0.01,0.02,0.039,False,1.0239583683608686750717427997
0.027,0.02,0.02,0.038,False,1.0122044928966183825701675656
0.016,0.19,0.02,0.013,False,1.0104982349187664252916378267
0.027,0.02,0.02,0.037,False,1.0039253458239489370951717264
0.015,0,0.02,0.014,False,0.9819540912965080351546655502
0.010,0.10,0.02,0.009,False,0.9800709423345810109420032285
0.016,0.19,0.02,0.014,False,0.9742179580182146996175013094
0.027,0.01,0.02,0.038,False,0.9734442317409574392982805521
0.016,0.24,0.02,0.013,False,0.9722075630420313159416180899
0.016,0.03,0.02,0.013,False,0.9708433321711712107604697029
0.027,0.01,0.02,0.037,False,0.9671569355040330418341484350
0.027,0.02,0.02,0.039,False,0.9652179383432928276982565758
0.016,0,0.02,0.013,False,0.9640217044260083448685741012
0.028,0,0.02,0.027,False,0.9577805205124675652138719367
0.017,0.02,0.02,0.012,False,0.9541027334653223709683521554
0.027,0,0.02,0.027,False,0.9521140613294413147206124554
0.016,0.04,0.02,0.013,False,0.9514117115657335797731154935
0.028,0.01,0.02,0.027,False,0.9420735338376311593635323269
0.016,0.01,0.02,0.011,False,0.9385898866079939044620336318
0.027,0.01,0.02,0.027,False,0.9359916283617676700025663941
0.015,0,0.02,0.011,False,0.9357941377845055679483668724
0.015,0,0.02,0.012,False,0.9344805294595642485889341130
0.039,0.27,0.02,0.040,True,0.9308371262966854998149204020
0.034,0.18,0.02,0.039,False,0.9304332724014728433405193601
0.035,0.24,0.02,0.040,True,0.9199822773805754603898599547
0.023,0.30,0.02,0.028,False,0.9138747905017928990518296227
0.015,0,0.02,0.013,False,0.9107044658246837501417810685
0.010,0,0.02,0.010,False,0.9106366398139210910381565414
0.027,0.01,0.02,0.036,False,0.9098594544505292340836666009
0.015,0.02,0.02,0.012,False,0.9073148534969170711492576312
0.034,0.17,0.02,0.039,False,0.9072935804191862141570694953
0.016,0.02,0.02,0.011,False,0.8977133236710312321332968569
0.017,0.29,0.02,0.014,False,0.8905177527557832352852590023
0.035,0.26,0.02,0.040,True,0.8892546327358437754982073064
0.008,0.03,0.02,0.010,False,0.8891911223202280350441128918
0.015,0.01,0.02,0.012,False,0.8878390140203641050672507356
0.016,0,0.02,0.011,False,0.8858086361204283298987754137
0.015,0.02,0.02,0.013,False,0.8829066842403131848031372374
0.016,0.29,0.02,0.028,False,0.8786851501992244367623809969
0.015,0.01,0.02,0.013,False,0.8771167283181756324390315041
0.035,0.21,0.02,0.022,True,0.8761161726757940308114397306
0.035,0.25,0.02,0.040,True,0.8732878543872802358108260311
0.011,0.19,0.02,0.009,False,0.8718641354634094952264914844
0.016,0.30,0.02,0.003,False,0.8710359298326137802941492396
0.015,0.29,0.02,0.029,False,0.8671020414167434558014142914
0.015,0.23,0.02,0.013,False,0.8654436124928091437449765175
0.017,0.05,0.02,0.012,False,0.8652103718254175618682089349
0.008,0,0.02,0.010,False,0.8647513980325998533574263525
0.016,0,0.02,0.012,False,0.8640127693222642545907893065
0.035,0.21,0.02,0.039,False,0.8629098069447889546172462291
0.013,0.19,0.02,0.010,False,0.8628140536908335008676299940
0.027,0,0.02,0.026,False,0.8614636629397336428129066165
0.027,0.01,0.02,0.035,False,0.8589182195236069372716418045
0.017,0.03,0.02,0.012,False,0.8569201169092645307830940823
0.017,0.01,0.02,0.012,False,0.8558604661837180677599873362
0.007,0.23,0.02,0.011,False,0.8553133448911515441510476397
0.007,0.22,0.02,0.011,False,0.8545598926065823935330578766
0.018,0.12,0.02,0.011,False,0.8543492555298460215008269071
0.019,0.20,0.02,0.007,True,0.8534883345305812199454171300
0.029,0,0.02,0.030,False,0.8507211479722364665894538302
0.016,0.18,0.02,0.013,False,0.8499870729147755715545206694
0.018,0.21,0.02,0.006,True,0.8469262219177747311313190231
0.009,0,0.02,0.009,False,0.8464574188901387082780584568
0.027,0.01,0.02,0.026,False,0.8453292829562511052064112290
0.028,0.02,0.02,0.027,False,0.8451081535541604059732816650
0.008,0.01,0.02,0.010,False,0.8445526069082441958341321294
0.035,0.22,0.02,0.022,True,0.8430425933508511719615689827
0.016,0.02,0.02,0.012,False,0.8422428633085538190372164695
0.010,0.01,0.02,0.010,False,0.8419418649441999352608841944
0.017,0.04,0.02,0.012,False,0.8397499708787327977691093874
0.016,0.22,0.02,0.013,False,0.8397337461319047320740391462
0.010,0.26,0.02,0.009,False,0.8396410067012749213856503181
0.007,0.21,0.02,0.011,False,0.8394001094103754415427913409
0.015,0.29,0.02,0.014,False,0.8385130396047048226767654277
0.027,0.02,0.02,0.027,False,0.8382383083326858930399144898
0.016,0.30,0.02,0.028,False,0.8378335457375877951121842179
0.039,0.27,0.02,0.038,True,0.8358061006790420166316704583
0.016,0.11,0.02,0.013,False,0.8347243071537078887843209957
0.018,0.21,0.02,0.004,True,0.8346773326471889109699417935
0.035,0.25,0.02,0.024,True,0.8343854545942006238770289638
0.008,0.02,0.02,0.010,False,0.8339976570782185025998293360
0.029,0.01,0.02,0.030,False,0.8337874949267736592133367465
0.028,0.03,0.02,0.027,False,0.8308433733555721007405515068
0.018,0.10,0.02,0.011,False,0.8304045646260699545501226199
0.010,0.10,0.02,0.008,False,0.8282137227265630764103580362
0.016,0.29,0.02,0.029,False,0.8271405720475519031531791715
0.009,0.01,0.02,0.009,False,0.8252534535344155160955812985
0.016,0.01,0.02,0.012,False,0.8242809062404708770900018949
0.017,0.20,0.02,0.005,True,0.8223117308139375481500187714
0.027,0.02,0.02,0.036,False,0.8216084848384028596367895131
0.035,0.21,0.02,0.021,True,0.8189739306201514365488264435
0.016,0.06,0.02,0.013,False,0.8183396235413585573969930084
0.035,0.24,0.02,0.024,True,0.8181070205680979047803005661
0.011,0,0.02,0.010,False,0.8163843316679577753208981836
0.017,0.02,0.02,0.013,False,0.8163485384743689896688871117
0.027,0,0.02,0.025,False,0.8156693076993970389963823287
