StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.003,0.13,0.035,0.012,False,1.6037739384832065212093846455
0.024,0.19,0.035,0.018,True,1.5396481279597636287836704680
0.018,0.19,0.036,0.018,False,1.5289516448111459999766118618
0.024,0.19,0.036,0.018,True,1.5131980537906109564967294176
0.022,0.12,0.040,0.013,False,1.5013091994157790470625348877
0.020,0.19,0.036,0.018,False,1.4930362230336561926359764109
0.023,0.19,0.036,0.018,True,1.4890491981170885472906390778
0.022,0.10,0.040,0.006,True,1.4881517255018196838203888560
0.022,0.19,0.036,0.016,True,1.4852626856204184326045917648
0.023,0.12,0.040,0.011,False,1.4737554570257733993951425698
0.020,0.19,0.036,0.017,False,1.4669789053020228386832827949
0.018,0.27,0.039,0.028,False,1.4650928703940914228351014756
0.004,0.13,0.036,0.012,False,1.4586961986146946452201194972
0.009,0.14,0.039,0.015,False,1.4553817935686811686210601677
0.004,0.13,0.035,0.012,False,1.4536788850908467336707465005
0.020,0.27,0.038,0.028,False,1.4533504952979993254790627449
0.022,0.19,0.035,0.016,True,1.4525614766383491790028104329
0.023,0.19,0.036,0.017,True,1.4516733058189319760723545149
0.020,0.19,0.036,0.016,False,1.4485004956232035075421475936
0.020,0.19,0.036,0.015,True,1.4477400189379385174356258960
0.020,0.20,0.038,0.016,True,1.4411649815138215169598356262
0.022,0.09,0.040,0.006,True,1.4382109492351427948257903898
0.009,0.14,0.038,0.015,False,1.4357992877406476510319391771
0.021,0.19,0.036,0.015,True,1.4333117842967489408155814535
0.022,0.11,0.040,0.006,True,1.4304056426025069593480627736
0.022,0.10,0.040,0.007,True,1.4296688081162041315757187141
0.013,0.13,0.039,0.003,False,1.4232822753276137320424323591
0.009,0.14,0.037,0.015,False,1.4228972747870936585042483994
0.022,0.11,0.040,0.011,False,1.4224762537723120918426194162
0.022,0.19,0.038,0.014,False,1.4209488056823597560387091885
0.020,0.19,0.038,0.016,True,1.4194751326198336994787850180
0.022,0.10,0.040,0.005,True,1.4186654866655056893388160710
0.018,0.19,0.035,0.018,False,1.4125191238585837149506508593
0,0.15,0.036,0.012,False,1.4087772667239191153629287305
0.006,0.07,0.037,0.013,False,1.4087019497627979151112976348
0,0.15,0.035,0.012,False,1.4058543794737742966758061609
0.020,0.20,0.035,0.015,True,1.4056932371139738441455759331
0.011,0.12,0.038,0.005,False,1.4028051816722212745601487872
