StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.010,0.11,0.02,0.010,False,0.9516965543181308123912936117
0.008,0.10,0.02,0.011,False,0.8988611740002764309572739747
0.010,0.10,0.02,0.010,False,0.8834744136741429153223764892
0.010,0.12,0.02,0.010,False,0.8507045751914336786810272167
0.001,0.30,0.02,0.013,False,0.8336625709226549521408298102
0.012,0.07,0.02,0.010,False,0.8268259826401967734359500382
0.014,0.28,0.02,0.034,False,0.8241369340733977122980250670
0.008,0.11,0.02,0.011,False,0.8189407955177942494157872132
0.008,0.09,0.02,0.011,False,0.7974312521756619371607576147
0.004,0.20,0.02,0.012,False,0.7947740636141367836901033841
0.002,0.25,0.02,0.012,False,0.7892950307385522170441492588
0.015,0.29,0.02,0.034,False,0.7851845925118341202768324167
0.010,0.11,0.02,0.006,False,0.7754745387565468814852531037
0.001,0.26,0.02,0.013,False,0.7753004559006729810996852473
0.004,0.19,0.02,0.012,False,0.7746021686907211912126971781
0.015,0.28,0.02,0.034,False,0.7709018772030155906454143669
0.028,0.18,0.02,0.008,False,0.7698101801599283289382005838
0.014,0.27,0.02,0.034,False,0.7514679827487670616503818920
0.008,0.11,0.02,0.012,False,0.7387355732342830731374005285
0.015,0.29,0.02,0.033,False,0.7345845400049934901056172926
0.028,0.18,0.02,0.010,False,0.7321793621816875713830905078
0.003,0.27,0.02,0.010,False,0.7276949587383813741057900969
0.001,0.25,0.02,0.012,False,0.7273545526779320613754247791
0.015,0.27,0.02,0.034,False,0.7253413587041075979126509478
0.002,0.30,0.02,0.013,False,0.7241502805135942392833744229
0.012,0.08,0.02,0.010,False,0.7234602800901735609556250198
0.013,0.12,0.02,0.003,False,0.7211715945564302966538178975
0.015,0.28,0.02,0.036,False,0.7148774091229375375251988981
0.002,0.28,0.02,0.013,False,0.7140374512818831764946327938
0.008,0.15,0.02,0.011,False,0.7121718917792522598127098197
0.028,0.18,0.02,0.009,False,0.7110634864798787682545449758
0.016,0.18,0.02,0.003,False,0.7061144627382591375321560102
0.017,0.30,0.02,0.024,False,0.7056390063701385768154166219
0.039,0.04,0.02,0.038,False,0.7035454053464880506774840358
0.032,0.01,0.02,0.023,False,0.7033449500663247776605847560
0.017,0.30,0.02,0.023,False,0.7022354084971050530812128083
0.015,0.28,0.02,0.033,False,0.6989584938383666854863955005
0.032,0.02,0.02,0.023,False,0.6983491303002084860541056740
0.010,0.10,0.02,0.011,False,0.6982381902934094149554631892
0.040,0.04,0.02,0.039,False,0.6972441617490973497767809879
0.004,0.22,0.02,0.012,False,0.6925748670469566027624844886
0.029,0.18,0.02,0.017,False,0.6880179378898786176987688700
0.008,0.29,0.02,0.010,False,0.6869800518895808408920247680
0.015,0.27,0.02,0.036,False,0.6863722647766379011431057400
0.001,0.27,0.02,0.013,False,0.6858574837132130370845842230
0.012,0.09,0.02,0.010,False,0.6845544046596279613415320202
0.012,0.10,0.02,0.010,False,0.6803400737804078130953533774
0.004,0.18,0.02,0.012,False,0.6799606368948711169634456403
0.001,0.29,0.02,0.013,False,0.6758745786050763921126815923
0.013,0.11,0.02,0.003,False,0.6755935325901549337474971698
0.002,0.26,0.02,0.012,False,0.6713198501762385613235964413
0.004,0.21,0.02,0.012,False,0.6674705854076063664628084951
0.028,0.18,0.02,0.012,False,0.6657534039669590244583083451
0.012,0.10,0.02,0.011,False,0.6643993063141884003179374515
0.014,0.28,0.02,0.006,False,0.6641163432180224082784423028
0.031,0.01,0.02,0.023,False,0.6583431061248790705703754202
0.004,0.26,0.02,0.013,False,0.6557015266109359238531961199
0.015,0.27,0.02,0.033,False,0.6540325375047302879415595121
0.017,0.30,0.02,0.030,False,0.6533984354729475300795859238
0.016,0.27,0.02,0.019,False,0.6508627806702917395453376810
0.001,0.28,0.02,0.013,False,0.6508397095893879277226454590
0.040,0.04,0.02,0.038,False,0.6507715522322059013621458727
0.015,0.28,0.02,0.035,False,0.6492864896296869972695942788
0.010,0.18,0.02,0.010,False,0.6487131155323235282608751969
0.011,0.10,0.02,0.010,False,0.6482741882802836652222815473
0.013,0.27,0.02,0.036,False,0.6477925384278891301843478058
0.030,0.20,0.02,0.016,False,0.6434545089183355342661806970
0.002,0.24,0.02,0.012,False,0.6434410882940464186087156814
0.010,0.11,0.02,0.012,False,0.6411446009528245380284272317
0.040,0.04,0.02,0.037,False,0.6395640395847819715402297865
0.017,0.30,0.02,0.025,False,0.6387066296910624936547432332
