StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.024,0.05,0.103,0.006,True,1.7174515588624748420148227861
0.024,0.05,0.103,0.005,True,1.7045216073847340481416052674
0.024,0.06,0.103,0.006,True,1.7043610450840353077493304222
0.024,0.06,0.103,0.005,True,1.6915472246366186602317509361
0.025,0.05,0.102,0.006,True,1.6718125173290814050174065705
0.023,0.05,0.104,0.005,True,1.6716937727643852423856613334
0.023,0.06,0.104,0.005,True,1.6627814563359183012756104942
0.025,0.05,0.102,0.005,True,1.6589675877799253816236075545
0.025,0.06,0.102,0.006,True,1.6589505280062538550238613136
0.025,0.06,0.102,0.005,True,1.6462214592668724484000772867
0.023,0.05,0.103,0.005,True,1.6438866937305901726437037082
0.023,0.04,0.102,0.005,True,1.6415099554576733022582824442
0.023,0.04,0.103,0.005,True,1.6415099554576733022582824442
0.024,0.04,0.103,0.005,True,1.6397449819416392921879109923
0.040,0.17,0.102,0.025,False,1.6237702815432913863459768281
0.040,0.17,0.103,0.025,False,1.6237702815432913863459768281
0.040,0.17,0.104,0.025,False,1.6237702815432913863459768281
0.021,0.04,0.106,0.025,True,1.6233345043524238469860858334
0.040,0.17,0.102,0.024,False,1.6189724130499317204590566254
0.040,0.17,0.103,0.024,False,1.6189724130499317204590566254
0.040,0.18,0.101,0.025,False,1.6035061657933007102316112725
0.040,0.18,0.102,0.025,False,1.6035061657933007102316112725
0.040,0.18,0.103,0.025,False,1.6035061657933007102316112725
0.040,0.18,0.104,0.025,False,1.6035061657933007102316112725
0.040,0.17,0.101,0.025,False,1.6027253763882373301627044814
0.023,0.04,0.104,0.005,True,1.6023336340921024609952442014
0.040,0.18,0.101,0.024,False,1.5984722456781404723403981351
0.040,0.18,0.102,0.024,False,1.5984722456781404723403981351
0.040,0.18,0.103,0.024,False,1.5984722456781404723403981351
0.040,0.17,0.101,0.024,False,1.5980377007690208354573226934
0.025,0.04,0.102,0.005,True,1.5957881470894029654349324129
0.024,0.05,0.102,0.005,True,1.5940520675288487637734882782
0.024,0.04,0.102,0.005,True,1.5938092321583052614774363903
0.024,0.05,0.102,0.006,True,1.5927160132682667349131860049
0.024,0.04,0.102,0.006,True,1.5891909817409496113301921005
0.040,0.17,0.102,0.023,False,1.5877441996781478219224623009
0.040,0.17,0.103,0.023,False,1.5877441996781478219224623009
0.040,0.16,0.104,0.025,False,1.5827560905585868903527470308
0.040,0.16,0.103,0.025,False,1.5694858826961446765332065141
0.040,0.18,0.101,0.023,False,1.5674508722351587950955327015
0.040,0.18,0.102,0.023,False,1.5674508722351587950955327015
0.040,0.18,0.103,0.023,False,1.5674508722351587950955327015
0.040,0.17,0.101,0.023,False,1.5665965900283388733482291259
0.040,0.14,0.103,0.025,False,1.5377955350033891197106963489
0.040,0.14,0.104,0.025,False,1.5377955350033891197106963489
0.040,0.14,0.103,0.024,False,1.5314216232267652928200709877
0.023,0.03,0.102,0.005,True,1.5301462551435983320063801296
0.024,0.03,0.102,0.005,True,1.5172696925179687915828623998
0.040,0.17,0.102,0.022,False,1.5026825781077989378946261949
0.040,0.21,0.101,0.025,False,1.4987469011366351910162425038
0.040,0.21,0.102,0.025,False,1.4987469011366351910162425038
0.040,0.21,0.103,0.025,False,1.4987469011366351910162425038
0.040,0.21,0.101,0.024,False,1.4952444881343744258622336968
0.040,0.21,0.102,0.024,False,1.4952444881343744258622336968
0.040,0.21,0.103,0.024,False,1.4952444881343744258622336968
0.033,0.15,0.110,0.008,False,1.4923801874352563216962310619
0.032,0.14,0.110,0.009,False,1.4919532102231949674663970273
0.034,0.13,0.102,0.008,False,1.4913387920489404099555343807
0.034,0.14,0.102,0.008,False,1.4885889730278215159198906780
0.023,0.03,0.103,0.005,True,1.4872671213741567878390614967
0.032,0.13,0.110,0.009,False,1.4841723420262442009216915937
0.040,0.21,0.104,0.025,False,1.4831498135970546751360036719
0.040,0.18,0.101,0.022,False,1.4819051433996945607254533293
0.040,0.18,0.102,0.022,False,1.4819051433996945607254533293
0.025,0.03,0.102,0.005,True,1.4816212850739749342531929098
0.040,0.17,0.101,0.022,False,1.4815319833207732226368369040
0.034,0.15,0.110,0.008,False,1.4775457108615837040314102993
0.034,0.13,0.101,0.008,False,1.4764851059280260578408461559
0.040,0.21,0.101,0.022,False,1.4759635479661439385019316172
0.034,0.13,0.101,0.023,False,1.4701264978079449930001690788
0.021,0.01,0.105,0.019,False,1.4699795378020486572851538752
0.034,0.15,0.110,0.007,False,1.4688768468851347996025345142
0.021,0,0.106,0.019,False,1.4681349811888977162241916779
0.040,0.22,0.101,0.025,False,1.4680397572443446868936784032
0.040,0.22,0.102,0.025,False,1.4680397572443446868936784032
0.040,0.22,0.103,0.025,False,1.4680397572443446868936784032
0.040,0.22,0.104,0.025,False,1.4680397572443446868936784032
0.034,0.14,0.101,0.008,False,1.4672944594016275599008877397
0.021,0.02,0.105,0.019,False,1.4661413867089915404448553920
0.021,0.01,0.105,0.018,False,1.4651781611269811986127342050
0.021,0.01,0.106,0.019,False,1.4642534399978550242659729739
0.040,0.22,0.101,0.024,False,1.4641783649322354323352221951
0.040,0.22,0.102,0.024,False,1.4641783649322354323352221951
0.040,0.22,0.103,0.024,False,1.4641783649322354323352221951
0.040,0.21,0.101,0.023,False,1.4640164903929113910163815333
0.040,0.21,0.102,0.023,False,1.4640164903929113910163815333
0.040,0.21,0.103,0.023,False,1.4640164903929113910163815333
0.021,0,0.106,0.018,False,1.4633346058781891966062337118
0.040,0.17,0.101,0.011,False,1.4619638437178841738089130211
0.034,0.13,0.101,0.022,False,1.4617734128768839659176752293
0.021,0.02,0.105,0.018,False,1.4613386331579305405725508787
0.019,0.02,0.108,0.025,True,1.4607225692156777347164559472
0.021,0.02,0.106,0.019,False,1.4604144725249526930443271374
0.021,0.03,0.105,0.019,False,1.4603043683178983548976430951
0.021,0.01,0.106,0.018,False,1.4594520633227875655935533037
0.021,0.02,0.106,0.018,False,1.4556117189738916931720226241
0.021,0.03,0.105,0.018,False,1.4555001925561521742950114663
0.021,0.03,0.106,0.019,False,1.4545766377540142931157674872
0.040,0.17,0.101,0.001,False,1.4541113268497998142872892981
0.034,0.15,0.103,0.010,False,1.4532750446464279609194047011
0.033,0.14,0.110,0.008,False,1.4505378230307582923737853583
0.021,0.03,0.106,0.018,False,1.4497724619922681125131358584
0.040,0.13,0.102,0.025,False,1.4484373690256394150545498697
0.024,0.03,0.103,0.005,True,1.4474332577259004140370575496
0.034,0.15,0.110,0.010,False,1.4445856915458073590047602490
0.033,0.13,0.110,0.008,False,1.4434872627722985164586399992
0.022,0.05,0.105,0.025,True,1.4429745652080738520232027204
0.040,0.13,0.102,0.024,False,1.4411800195631478547452177509
0.025,0.05,0.102,0.007,True,1.4400232676905608602273469347
0.040,0.13,0.101,0.025,False,1.4398794767264373191434046701
0.040,0.17,0.105,0.025,False,1.4396557791808332002804628340
0.025,0.14,0.102,0.006,True,1.4384429245609763894771909891
0.034,0.15,0.103,0.009,False,1.4382384593815672307271916841
0.040,0.17,0.104,0.024,False,1.4346348396649785974659461570
0.040,0.17,0.105,0.024,False,1.4346348396649785974659461570
0.034,0.14,0.110,0.008,False,1.4343672308556978113307402611
0.040,0.17,0.101,0.002,False,1.4343181773991665022846194906
0.040,0.14,0.102,0.025,False,1.4338018439393804602048965167
0.040,0.23,0.101,0.025,False,1.4336570042441220645532616306
0.040,0.23,0.102,0.025,False,1.4336570042441220645532616306
0.040,0.23,0.103,0.025,False,1.4336570042441220645532616306
0.040,0.23,0.104,0.025,False,1.4336570042441220645532616306
0.040,0.22,0.101,0.023,False,1.4335184159257312964801580350
0.040,0.22,0.102,0.023,False,1.4335184159257312964801580350
0.040,0.22,0.103,0.023,False,1.4335184159257312964801580350
0.040,0.13,0.101,0.024,False,1.4326221272639457588340725513
0.021,0,0.106,0.025,True,1.4325053116603667367186826743
0.040,0.13,0.102,0.023,False,1.4311595361693707914301886054
0.040,0.23,0.101,0.024,False,1.4302592721248313020678509975
0.040,0.23,0.102,0.024,False,1.4302592721248313020678509975
0.040,0.23,0.103,0.024,False,1.4302592721248313020678509975
0.025,0,0.102,0.040,False,1.4294617929632647824269152277
0.040,0.19,0.102,0.025,False,1.4288089323771486198040979164
0.040,0.19,0.103,0.025,False,1.4288089323771486198040979164
0.040,0.19,0.104,0.025,False,1.4288089323771486198040979164
