StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.17,0.080,0.021,False,1.4354188561059078421117501569
0.016,0,0.067,0.006,False,1.4297608503825861257210760610
0.015,0,0.068,0.006,False,1.3940090794615714851918627157
0.039,0.01,0.045,0.007,False,1.3715257719491559454540201533
0.040,0.17,0.078,0.021,False,1.3608610507629802242420608120
0.040,0.17,0.079,0.021,False,1.3608610507629802242420608120
0.034,0.20,0.080,0.023,False,1.3606071882387158504082203700
0.039,0.02,0.045,0.007,False,1.3506733561074477925871247898
0.003,0.27,0.049,0.012,False,1.3340094504717914154618211314
0.040,0.18,0.080,0.021,False,1.3323829589180696550266367484
0.035,0.20,0.080,0.023,False,1.3300755915130905482896472569
0.039,0.03,0.045,0.007,False,1.3291628458791406433967859891
0.014,0.04,0.044,0.003,False,1.3238478792615917666271181182
0.040,0.01,0.045,0.007,False,1.3123237056220252308253942107
0.003,0.27,0.048,0.012,False,1.3117663063242615226877181073
0.039,0.01,0.045,0.006,False,1.3089668179897844814161448273
0.040,0.18,0.078,0.021,False,1.3082902331900412221736232878
0.040,0,0.080,0.002,False,1.3069138516936919419392988127
0.027,0.24,0.059,0.025,False,1.3031856147454454526265033833
0.036,0.20,0.080,0.023,False,1.2999247481514427690500239510
0.014,0.05,0.044,0.003,False,1.2974058077044458846099482462
0.035,0.21,0.080,0.023,False,1.2972113074009143269549721329
0.040,0,0.080,0.001,False,1.2955103400761360427764369543
0.039,0.01,0.046,0.007,False,1.2945898639477308955941182923
0.040,0.02,0.045,0.007,False,1.2910701916483619561750022221
0.017,0.04,0.035,0.005,False,1.2887816251262552420847068909
0.039,0.02,0.045,0.006,False,1.2881184245394055514146176229
0.040,0.21,0.064,0.029,False,1.2872274601220516260905981341
0.005,0.28,0.039,0.010,False,1.2771782858680977031857999858
0.027,0.24,0.058,0.025,False,1.2762930366713349385892781406
0.039,0.02,0.046,0.007,False,1.2742564378312479858349002954
0.040,0.03,0.045,0.007,False,1.2698922485289325185512315892
0.016,0.05,0.044,0.003,False,1.2682819286628250686253670626
0.036,0.21,0.080,0.023,False,1.2671461516090761314251107223
0.028,0.24,0.059,0.025,False,1.2666481130029139511429513867
0.003,0.27,0.047,0.012,False,1.2664601450606973632018599097
0.039,0.03,0.045,0.006,False,1.2664201809205863977194369577
0.019,0,0.067,0.021,False,1.2656774612399860063128207773
0.018,0,0.064,0.003,False,1.2647107518848307367960970100
0.009,0,0.078,0.028,False,1.2643884592686995369518226138
0.005,0.28,0.043,0.010,False,1.2633971427616201672749699063
0.028,0.24,0.058,0.024,False,1.2609218756454831312341856328
0.028,0.24,0.058,0.025,False,1.2602820951397985754545759313
0.040,0.17,0.079,0.022,False,1.2547479547479639117401294604
0.005,0.28,0.038,0.010,False,1.2529036624109793047465463618
0.039,0.03,0.046,0.007,False,1.2525062705932984751583967283
0.009,0,0.077,0.029,False,1.2512374209928449451202755275
0.009,0,0.078,0.029,False,1.2512374209928449451202755275
0.040,0.01,0.045,0.006,False,1.2480789234953879363527603653
0.040,0,0.080,0.009,False,1.2468432531899175513243922181
0.015,0.04,0.044,0.003,False,1.2457074359144694533118387771
0.017,0.05,0.044,0.003,False,1.2446422301418786662459123333
0.015,0.29,0.046,0.004,False,1.2428928563479872965864375938
0.016,0.04,0.044,0.003,False,1.2417359412592267542399943204
0.040,0,0.080,0.010,False,1.2414965668388523126385250750
0.016,0.06,0.044,0.003,False,1.2399532755164970555810295989
0.009,0,0.077,0.028,False,1.2372013717033864051795450237
0.009,0,0.076,0.029,False,1.2366485858556581749608609752
0.028,0.24,0.057,0.025,False,1.2365936161386461203945498628
0.019,0.18,0.045,0.007,False,1.2354305325429727608388570682
0.016,0.04,0.045,0.003,False,1.2331455095967040498412855944
0.040,0.20,0.077,0.023,False,1.2331348472421346116174017006
0.034,0.20,0.074,0.023,False,1.2320339673904642361841170171
0.034,0.20,0.075,0.023,False,1.2320339673904642361841170171
0.034,0.20,0.076,0.023,False,1.2320339673904642361841170171
0.034,0.20,0.077,0.023,False,1.2320339673904642361841170171
0.039,0.01,0.046,0.006,False,1.2320204639232046129524904034
0.040,0.22,0.079,0.023,False,1.2303220266023169016417588764
0.040,0.16,0.079,0.025,False,1.2288601440537233936928499183
0.040,0.16,0.080,0.025,False,1.2288601440537233936928499183
0.037,0.21,0.080,0.023,False,1.2288310872288240900481030233
0.017,0.04,0.044,0.003,False,1.2282521305483464851733710348
0.040,0.02,0.045,0.006,False,1.2268294883918056981862224327
0.038,0.01,0.045,0.007,False,1.2257641432522380621752693701
0.027,0.21,0.061,0.025,False,1.2253483170039622036170771855
0.040,0.20,0.078,0.023,False,1.2241335442981565517961931459
0.040,0.20,0.079,0.023,False,1.2241335442981565517961931459
0.039,0.04,0.045,0.007,False,1.2235025603656182276592793529
0.027,0.24,0.058,0.024,False,1.2231077560726974720625575630
0.009,0,0.076,0.028,False,1.2226125365661996350201304714
0.040,0.17,0.078,0.022,False,1.2218182063015632821196238278
0.040,0.04,0.045,0.007,False,1.2207507904589975384131508409
0.015,0.05,0.044,0.003,False,1.2195053155873705308716746704
0.040,0.17,0.078,0.024,False,1.2180877443310248728323371558
0.008,0,0.079,0.029,False,1.2178728007615869828599978512
0.010,0,0.076,0.029,False,1.2145434279499424509723850613
0.010,0,0.077,0.029,False,1.2145434279499424509723850613
0.010,0,0.078,0.029,False,1.2145434279499424509723850613
0.040,0,0.080,0.003,False,1.2138771057670260380643186596
0.024,0.24,0.060,0.014,True,1.2128286674191773787222981230
0.039,0.02,0.046,0.006,False,1.2116807672849946886289452813
0.040,0.26,0.048,0.010,False,1.2068961800452508961437461535
0.040,0.26,0.049,0.010,False,1.2068961800452508961437461535
0.005,0.28,0.040,0.010,False,1.2062912358648877451023387875
0.005,0.28,0.041,0.010,False,1.2062912358648877451023387875
0.005,0.28,0.042,0.010,False,1.2062912358648877451023387875
0.038,0.02,0.045,0.007,False,1.2055451358290400669650206668
0.012,0.06,0.078,0.023,False,1.2052777807039430896587785770
0.040,0.03,0.045,0.006,False,1.2052710944071588074131663104
0.040,0.20,0.078,0.025,False,1.2038753189736836916940685715
0.040,0.20,0.079,0.025,False,1.2038753189736836916940685715
0.040,0.26,0.048,0.009,False,1.2028147604688786481819150823
0.039,0.10,0.045,0.007,False,1.1969808095047363820077755351
0.039,0.03,0.046,0.006,False,1.1897583339762192750791752821
0.015,0.06,0.044,0.003,False,1.1838959098306439328353603719
0.017,0.06,0.044,0.003,False,1.1654252191571416405511594563
0.017,0.03,0.043,0.010,False,1.1620525880767006448968744215
0.017,0.05,0.044,0.010,False,1.1537249363632890875983517515
0.039,0.04,0.045,0.006,False,1.1515883363570907887444855972
0.040,0.04,0.045,0.006,False,1.1492042793239935755008175554
0.038,0.01,0.046,0.007,False,1.1491348769917426036179409363
0.035,0.21,0.055,0.024,False,1.1483006368210559552172839832
0.040,0.10,0.045,0.007,False,1.1472527427002402461871169950
