StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.03,0.127,0.010,False,1.7617160167950511337878965703
0.033,0.03,0.127,0.010,False,1.7323017991808098807065882238
0.024,0.05,0.103,0.006,True,1.7103174973123995967592976839
0.033,0.03,0.126,0.010,False,1.7019132357060868610920612841
0.024,0.06,0.103,0.006,True,1.6972269835339600624938053200
0.025,0.05,0.102,0.006,True,1.6649872815664727674458987311
0.025,0.06,0.102,0.006,True,1.6521252922436452174523534742
0.040,0.17,0.102,0.025,False,1.6517350065374895761812054194
0.040,0.17,0.103,0.025,False,1.6517350065374895761812054194
0.040,0.17,0.104,0.025,False,1.6517350065374895761812054194
0.021,0.04,0.106,0.025,True,1.6514394606206454213301091570
0.040,0.17,0.102,0.024,False,1.6469371380441299102942852167
0.040,0.17,0.103,0.024,False,1.6469371380441299102942852167
0.040,0.18,0.101,0.025,False,1.6314417169698394838493231074
0.040,0.18,0.102,0.025,False,1.6314417169698394838493231074
0.040,0.18,0.103,0.025,False,1.6314417169698394838493231074
0.040,0.18,0.104,0.025,False,1.6314417169698394838493231074
0.040,0.17,0.100,0.025,False,1.6306901013824355199979330727
0.040,0.17,0.101,0.025,False,1.6306901013824355199979330727
0.040,0.18,0.101,0.024,False,1.6264077968546792459581099700
0.040,0.18,0.102,0.024,False,1.6264077968546792459581099700
0.040,0.18,0.103,0.024,False,1.6264077968546792459581099700
0.040,0.17,0.100,0.024,False,1.6260024257632190252925512847
0.040,0.17,0.101,0.024,False,1.6260024257632190252925512847
0.040,0.17,0.102,0.023,False,1.6157089246723460117576908922
0.040,0.17,0.103,0.023,False,1.6157089246723460117576908922
0.034,0.03,0.098,0.020,False,1.6121359603392832819989592104
0.040,0.16,0.104,0.025,False,1.6107533024544976710218920123
0.021,0.01,0.105,0.004,True,1.5978407732554115686303460193
0.040,0.16,0.103,0.025,False,1.5975221786477500743926760348
0.040,0.18,0.101,0.023,False,1.5953864234116975687132445364
0.040,0.18,0.102,0.023,False,1.5953864234116975687132445364
0.040,0.18,0.103,0.023,False,1.5953864234116975687132445364
0.040,0.17,0.100,0.023,False,1.5945613150225370631834577172
0.040,0.17,0.101,0.023,False,1.5945613150225370631834577172
0.021,0.02,0.105,0.004,True,1.5939810601100448208773330299
0.040,0.11,0.092,0.020,False,1.5700464722593589321887653563
0.040,0.14,0.103,0.025,False,1.5658906620726360304124916392
0.040,0.14,0.104,0.025,False,1.5658906620726360304124916392
0.040,0.11,0.092,0.019,False,1.5657938399823403290387813615
0.040,0.11,0.092,0.018,False,1.5613983230804772182637504138
0.040,0.14,0.103,0.024,False,1.5595167502960122035218662780
0.024,0.06,0.102,0.006,True,1.5589115506428218474660543386
0.034,0.03,0.098,0.021,False,1.5573847792903601382482511642
0.040,0.11,0.092,0.017,False,1.5571208776962477792402866277
0.027,0.08,0.105,0.007,False,1.5530200159288845105848069563
0.027,0.08,0.105,0.006,False,1.5504310049441848752091132558
0.019,0.03,0.102,0.001,False,1.5456198597527407105098935023
0.034,0.11,0.093,0.020,False,1.5449698960515204034859864097
0.033,0.15,0.103,0.008,False,1.5425436042345411975347441440
0.034,0.03,0.096,0.020,False,1.5412831922082862150219159221
0.033,0.15,0.102,0.008,False,1.5401141655365961622029924257
0.035,0.04,0.096,0.023,False,1.5387764499935166019765521534
0.034,0.03,0.098,0.023,False,1.5364665317681447481330860642
0.034,0.04,0.096,0.020,False,1.5323728486366656307892600616
0.019,0.04,0.102,0.001,False,1.5323435634295306597436810127
0.040,0.17,0.102,0.022,False,1.5306473031019971277298547862
0.025,0,0.142,0.011,False,1.5305790733479035257168792821
0.025,0.01,0.142,0.011,False,1.5305790733479035257168792821
0.026,0.14,0.108,0.001,False,1.5290243667503442435217213246
0.025,0.02,0.142,0.011,False,1.5289126692484332686127733013
0.040,0.17,0.099,0.025,False,1.5274136159787973338287585425
0.040,0.18,0.100,0.025,False,1.5270346886450699645337091042
0.040,0.21,0.099,0.025,False,1.5265920773353642493640183559
0.040,0.21,0.100,0.025,False,1.5265920773353642493640183559
0.040,0.21,0.101,0.025,False,1.5265920773353642493640183559
0.040,0.21,0.102,0.025,False,1.5265920773353642493640183559
0.040,0.21,0.103,0.025,False,1.5265920773353642493640183559
0.025,0.03,0.142,0.011,False,1.5233772620045860297550519729
0.040,0.21,0.098,0.024,False,1.5230896643331034842100095489
0.040,0.21,0.099,0.024,False,1.5230896643331034842100095489
0.040,0.21,0.100,0.024,False,1.5230896643331034842100095489
0.040,0.21,0.101,0.024,False,1.5230896643331034842100095489
0.040,0.21,0.102,0.024,False,1.5230896643331034842100095489
0.040,0.21,0.103,0.024,False,1.5230896643331034842100095489
0.040,0.17,0.097,0.025,False,1.5209939973150923868252675306
0.040,0.17,0.098,0.025,False,1.5209939973150923868252675306
0.030,0,0.123,0.025,False,1.5181374189794195980355571122
0.025,0.04,0.142,0.011,False,1.5178742538048457491152139501
0.022,0.09,0.108,0.007,False,1.5172624798635892934438640980
0.022,0.09,0.109,0.007,False,1.5172624798635892934438640980
0.023,0.09,0.111,0.001,False,1.5119710947189917433724234537
0.025,0.05,0.142,0.011,False,1.5118296681467090975211466053
0.035,0.03,0.096,0.020,False,1.5113137820645580443867631503
0.016,0,0.107,0.001,False,1.5110971147626916683333144242
0.040,0.21,0.104,0.025,False,1.5109949897957837334837795240
0.040,0.13,0.096,0.025,False,1.5106783352424972785695931812
0.040,0.18,0.101,0.022,False,1.5098406945762333343431651642
0.040,0.18,0.102,0.022,False,1.5098406945762333343431651642
0.040,0.17,0.100,0.022,False,1.5094967083149714124720654953
0.040,0.17,0.101,0.022,False,1.5094967083149714124720654953
0.030,0.01,0.123,0.025,False,1.5094708617563745810143401706
0.033,0.04,0.127,0.002,False,1.5080133184567119841114479968
0.036,0.04,0.096,0.023,False,1.5079971154032427614188223579
0.040,0.18,0.099,0.025,False,1.5062681105539699579354547519
0.030,0.04,0.130,0.002,False,1.5045464413684001590091717012
0.040,0.21,0.099,0.022,False,1.5038087241648729968497074693
