StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.03,0.104,0.009,False,0.9323333448411954392107382925
0.020,0.04,0.104,0.009,False,0.9265141532996097354170734637
0.019,0.02,0.105,0.004,False,0.9259566224240703435320699822
0.019,0.03,0.105,0.009,False,0.9219629580078616617476608803
0.019,0.02,0.105,0.007,False,0.9153551654906789058523996719
0.019,0.02,0.105,0.008,False,0.9134396990982151516486547200
0.019,0.02,0.105,0.010,False,0.9110230308548109918699578351
0.020,0.03,0.104,0.004,False,0.9004343778844302310374743160
0.020,0.04,0.104,0.004,False,0.8947911277826207956893386919
0.020,0.04,0.104,0.003,False,0.8929940722717949213245357636
0.019,0.03,0.105,0.004,False,0.8919286454160782204869859404
0.020,0.04,0.104,0.002,False,0.8910391349145722295290992926
0.020,0.03,0.104,0.007,False,0.8897170007790907820073142692
0.020,0.03,0.104,0.008,False,0.8877958212426861249991741712
0.006,0.01,0.100,0.010,False,0.8873909270031644508456934485
0.006,0.01,0.101,0.010,False,0.8873909270031644508456934485
0.006,0.01,0.102,0.010,False,0.8873909270031644508456934485
0.006,0.01,0.103,0.010,False,0.8873909270031644508456934485
0.006,0.01,0.104,0.010,False,0.8873909270031644508456934485
0.020,0.04,0.104,0.007,False,0.8840737506772813466591786451
0.020,0.04,0.104,0.008,False,0.8821525711408766896510385471
0.006,0.01,0.105,0.010,False,0.8814288849947496766338253580
0.019,0.03,0.105,0.007,False,0.8813271884826867828073156301
0.019,0.03,0.105,0.008,False,0.8794117220902230286035706782
0.006,0,0.100,0.010,False,0.8781366124877486185257490107
0.006,0,0.101,0.010,False,0.8781366124877486185257490107
0.006,0,0.102,0.010,False,0.8781366124877486185257490107
0.006,0,0.103,0.010,False,0.8781366124877486185257490107
0.006,0,0.104,0.010,False,0.8781366124877486185257490107
0.019,0.03,0.105,0.010,False,0.8769935197277149753289290797
0.020,0.03,0.113,0.009,False,0.8690669425244331899835035522
0.020,0.03,0.104,0.005,True,0.8601894943828560558516765035
0.002,0.14,0.089,0.009,False,0.8593651126114554277091735826
0.002,0.14,0.090,0.009,False,0.8593651126114554277091735826
0.002,0.14,0.091,0.009,False,0.8593651126114554277091735826
0.020,0.03,0.113,0.004,False,0.8584929239207563232898729121
0.020,0.03,0.104,0.006,True,0.8572341132104750548565486383
0.007,0.01,0.099,0.010,False,0.8498645623173825418665126214
0.007,0.01,0.100,0.010,False,0.8498645623173825418665126214
0.007,0.01,0.101,0.010,False,0.8498645623173825418665126214
0.007,0.01,0.102,0.010,False,0.8498645623173825418665126214
0.007,0.01,0.103,0.010,False,0.8498645623173825418665126214
0.007,0.01,0.104,0.010,False,0.8498645623173825418665126214
0.020,0.03,0.113,0.003,False,0.8496692948190308382743001101
0.020,0.03,0.109,0.009,False,0.8463467324363210646208757031
0.020,0.03,0.110,0.009,False,0.8463467324363210646208757031
0.020,0.03,0.111,0.009,False,0.8463467324363210646208757031
0.020,0.03,0.112,0.009,False,0.8463467324363210646208757031
0.020,0.03,0.109,0.004,False,0.8458177561845817396199430795
0.020,0.03,0.110,0.004,False,0.8458177561845817396199430795
0.020,0.03,0.111,0.004,False,0.8458177561845817396199430795
0.020,0.03,0.112,0.004,False,0.8458177561845817396199430795
0.020,0.03,0.113,0.011,False,0.8437273918223933884907120519
0.020,0.03,0.113,0.002,False,0.8396674469190550682708926735
0.020,0.04,0.109,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.110,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.111,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.112,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.113,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.114,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.115,0.009,False,0.8395555581303684247061971834
0.020,0.04,0.109,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.110,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.111,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.112,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.113,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.114,0.004,False,0.8392025233184053681507937645
0.020,0.04,0.115,0.004,False,0.8392025233184053681507937645
0.020,0.03,0.109,0.003,False,0.8389911474370604461353203853
0.020,0.03,0.110,0.003,False,0.8389911474370604461353203853
0.020,0.03,0.111,0.003,False,0.8389911474370604461353203853
0.020,0.03,0.112,0.003,False,0.8389911474370604461353203853
0.021,0.04,0.103,0.005,True,0.8381581484737742513376133265
0.007,0,0.099,0.010,False,0.8380355474843313565059147524
0.007,0,0.100,0.010,False,0.8380355474843313565059147524
0.007,0,0.101,0.010,False,0.8380355474843313565059147524
0.007,0,0.102,0.010,False,0.8380355474843313565059147524
0.007,0,0.103,0.010,False,0.8380355474843313565059147524
0.021,0.04,0.103,0.006,True,0.8353300090019921318981534818
0.003,0.14,0.089,0.009,False,0.8338193387460415161829651513
0.003,0.14,0.090,0.009,False,0.8338193387460415161829651513
0.020,0.04,0.109,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.110,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.111,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.112,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.113,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.114,0.003,False,0.8323759145708840746661710703
0.020,0.04,0.115,0.003,False,0.8323759145708840746661710703
0.020,0.03,0.109,0.002,False,0.8309823516441866238644905776
0.020,0.03,0.110,0.002,False,0.8309823516441866238644905776
0.020,0.03,0.111,0.002,False,0.8309823516441866238644905776
0.020,0.03,0.112,0.002,False,0.8309823516441866238644905776
0.007,0.02,0.098,0.010,False,0.8291885407369717444282819145
0.019,0.02,0.105,0.002,True,0.8287781713403344204697053625
0.002,0.14,0.088,0.009,False,0.8275574099850823948334980285
0.007,0.02,0.097,0.010,False,0.8274797399343686512213705079
0.019,0.02,0.105,0.003,True,0.8269127346001079639417561894
0.007,0.02,0.096,0.009,False,0.8258389859097830633850511886
0.007,0.02,0.097,0.009,False,0.8258389859097830633850511886
0.019,0.02,0.105,0.004,True,0.8251270300534085500099386446
0.020,0.03,0.113,0.007,False,0.8246077944270667639644459810
0.020,0.04,0.109,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.110,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.111,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.112,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.113,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.114,0.002,False,0.8243671187780102523953412626
0.020,0.04,0.115,0.002,False,0.8243671187780102523953412626
0.021,0.04,0.108,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.109,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.110,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.111,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.112,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.113,0.009,False,0.8239532616429810773519161872
0.021,0.04,0.114,0.009,False,0.8239532616429810773519161872
0.020,0.03,0.113,0.008,False,0.8236071423919487413616242959
0.020,0.03,0.113,0.010,False,0.8235312060050893510053833788
0.020,0,0.103,0.002,True,0.8219017341080679156756050945
0.021,0.04,0.108,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.109,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.110,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.111,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.112,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.113,0.004,False,0.8217592679130136415283382715
0.021,0.04,0.114,0.004,False,0.8217592679130136415283382715
0.002,0.05,0.085,0.008,False,0.8212595606970905759735055829
0.002,0.05,0.086,0.008,False,0.8212595606970905759735055829
0.020,0,0.103,0.003,True,0.8200388684232611911087057164
0.006,0.01,0.099,0.010,False,0.8187203219691031428673821485
0.020,0.02,0.104,0.002,True,0.8182940440320845758847369201
0.020,0,0.103,0.004,True,0.8180477496327483801045085085
0.020,0.02,0.104,0.003,True,0.8164286072918581193567877470
0.020,0,0.103,0.005,True,0.8161773017390437521765966842
0.007,0.02,0.096,0.010,False,0.8155897145143113843458481936
0.007,0.02,0.106,0.010,False,0.8151490712273335571604997434
0.007,0.02,0.107,0.010,False,0.8151490712273335571604997434
0.007,0.02,0.108,0.010,False,0.8151490712273335571604997434
0.021,0.04,0.108,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.109,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.110,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.111,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.112,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.113,0.003,False,0.8150404512278897549267441662
0.021,0.04,0.114,0.003,False,0.8150404512278897549267441662
0.020,0.02,0.104,0.004,True,0.8146429027451587054249702022
0.020,0.01,0.103,0.002,True,0.8144927479294969316873481232
0.020,0.02,0.104,0.005,True,0.8127699727473798108003326571
0.020,0.01,0.103,0.003,True,0.8126285977050877276625837437
0.006,0,0.099,0.010,False,0.8118683329348210191573926467
0.020,0.01,0.103,0.004,True,0.8106361918174022978685994538
0.020,0.02,0.104,0.005,False,0.8100373126571977376340767373
0.006,0.01,0.097,0.011,False,0.8091980931045275801208297256
0.020,0.01,0.103,0.005,True,0.8087644542613089622245631543
0.021,0.04,0.108,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.109,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.110,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.111,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.112,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.113,0.002,False,0.8080712807131001083062045013
0.021,0.04,0.114,0.002,False,0.8080712807131001083062045013
0.006,0.03,0.099,0.010,False,0.8079182016404867825008634297
0.020,0.03,0.109,0.007,False,0.8059176372765567397022934819
0.020,0.03,0.110,0.007,False,0.8059176372765567397022934819
0.020,0.03,0.111,0.007,False,0.8059176372765567397022934819
0.020,0.03,0.112,0.007,False,0.8059176372765567397022934819
0.007,0.02,0.109,0.010,False,0.8054646360782181797197175106
0.007,0.02,0.110,0.010,False,0.8054646360782181797197175106
0.006,0.01,0.096,0.010,False,0.8052531527587352935986072230
0.003,0.03,0.091,0.012,False,0.8049538118424342228405908691
0.020,0.03,0.104,0.001,False,0.8047571702384447330589194482
0.020,0.02,0.104,0.008,False,0.8040633422951448357058422172
0.021,0.14,0.114,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.115,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.116,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.117,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.118,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.119,0.003,False,0.8037771041242852751899360086
0.021,0.14,0.120,0.003,False,0.8037771041242852751899360086
