StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.04,0.190,0.013,False,1.3888540601344977318325433977
0,0.03,0.190,0.013,False,1.3760728172852801594374514849
0,0.04,0.191,0.013,False,1.2911116758736297476322779332
0,0.04,0.192,0.013,False,1.2911116758736297476322779332
0,0.03,0.191,0.013,False,1.2783304330244121752371860204
0,0.03,0.192,0.013,False,1.2783304330244121752371860204
0,0.05,0.190,0.013,False,1.2725020861929090961443357728
0,0.05,0.191,0.013,False,1.2725020861929090961443357728
0,0.05,0.192,0.013,False,1.2725020861929090961443357728
0.001,0.03,0.173,0.012,False,1.2625275625926921491134571771
0.001,0.03,0.174,0.012,False,1.2625275625926921491134571771
0.001,0.09,0.193,0.012,False,1.2579134070785961539960793291
0.001,0.09,0.194,0.012,False,1.2579134070785961539960793291
0.001,0.09,0.195,0.012,False,1.2579134070785961539960793291
0.001,0.09,0.184,0.012,False,1.2346071038308635909218241219
0,0.10,0.200,0.013,False,1.2318035332744838608222243633
0.022,0,0.161,0.027,False,1.2113653746857986222095241037
