StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0.04,0.080,0.016,True,2.3441456248340699600797563665
0.016,0.04,0.079,0.017,True,2.3075692909308493584670282072
0.015,0.04,0.079,0.016,True,2.2623436659927630660507641383
0.016,0.04,0.080,0.017,True,2.2515555595623206531812068454
0.018,0.04,0.079,0.018,True,2.2056478539920654097120932208
0.018,0.04,0.080,0.018,True,2.2056478539920654097120932208
0.038,0.04,0.080,0.023,False,2.1720987910063487617032398383
0.030,0.04,0.047,0.003,False,2.1504216941524061328100089669
0.030,0.02,0.048,0.003,False,2.1406914841770461396251600823
0.015,0.05,0.080,0.016,True,2.1394287722138130322236065349
0.040,0.04,0.080,0.023,False,2.1350472113171357074484130220
0.039,0.05,0.080,0.019,False,2.1348543011629594343078523975
0.039,0.04,0.080,0.023,False,2.1278150701860607207624772445
0.039,0.05,0.080,0.018,False,2.1276292910838522431803083950
0.040,0.04,0.080,0.022,False,2.1203097406838351241162580038
0.040,0.04,0.080,0.021,False,2.1145056719957257825074349221
0.039,0.04,0.080,0.022,False,2.1110544844075516260020035497
0.039,0.05,0.078,0.019,False,2.1006378791030122758018913239
0.039,0.05,0.079,0.019,False,2.0999449860093016261532038095
0.014,0.07,0.076,0.015,True,2.0989339033222392033084458395
0.038,0.04,0.079,0.019,False,2.0979564647088077994227006777
0.038,0.04,0.080,0.019,False,2.0972635207585160007883005563
0.039,0.05,0.078,0.018,False,2.0934128690239050846743473214
0.039,0.05,0.079,0.018,False,2.0927199759301944350256598070
0.038,0.03,0.080,0.023,False,2.0888038666793865329941926900
0.040,0.05,0.080,0.019,False,2.0869825672825514697425634760
0.006,0.01,0.053,0.025,False,2.0854102367847696692452000426
0.038,0.05,0.080,0.019,False,2.0813359464025284407617260159
0.019,0.06,0.078,0.022,True,2.0808884574424022622427905778
0.019,0.06,0.079,0.022,True,2.0807639577743768667165661075
0.040,0.05,0.080,0.018,False,2.0797625032775243033490133159
0.006,0,0.053,0.025,False,2.0797011878353560823753454263
0.030,0.03,0.048,0.003,False,2.0794016339456452057202427073
0.035,0.04,0.080,0.019,False,2.0783463231608677343487879710
0.007,0.04,0.080,0.022,False,2.0733159320219206386119729052
0.031,0.04,0.047,0.003,False,2.0728358226611973411358618591
