StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.02,0.112,0.007,True,1.8750334687147927799585296367
0.025,0.02,0.112,0.004,False,1.8737526424642761566732521790
0.034,0.02,0.112,0.007,True,1.8595018303491785112866577516
0.037,0,0.112,0.001,False,1.8515215683484880956979521846
0.039,0.01,0.116,0.033,False,1.8321389990662996882615240372
0.034,0.02,0.113,0.002,False,1.8122321914474196359478948647
0.034,0.02,0.113,0.001,False,1.8016431813268969891361163547
0.037,0.01,0.112,0.001,False,1.8007868010247236818670882834
0.040,0.01,0.115,0.011,True,1.7943616756890093046808544012
0.039,0.01,0.116,0.030,False,1.7940468343785271893433808375
0.039,0.01,0.116,0.031,False,1.7926944358705303369072610428
0.039,0.02,0.158,0.026,False,1.7908349874087783244879920654
0.039,0.01,0.116,0.032,False,1.7901806303344944367058953927
0.033,0.02,0.112,0.006,True,1.7859411335333966331620210402
0.033,0.02,0.101,0.024,False,1.7818430707046452781189402061
0.039,0,0.112,0.002,False,1.7784059993385894041894158755
0.033,0.01,0.144,0.019,True,1.7777604097603846040040314378
0.024,0.02,0.112,0.002,False,1.7733855688690100701480786766
0.039,0,0.112,0.001,False,1.7722642526831316939474566660
0.035,0.02,0.112,0.002,False,1.7720296902528160741243983788
0.035,0.02,0.101,0.023,False,1.7716280696859265956184630648
0.035,0.02,0.113,0.002,False,1.7715097694305565006631645533
0.035,0.02,0.101,0.024,False,1.7688941247743533278309174672
0.040,0.01,0.115,0.001,True,1.7681705483794054319317391633
0.039,0.02,0.158,0.025,False,1.7677384615398545920621593073
0.040,0.02,0.115,0.001,True,1.7626116797276296285622265268
0.040,0.01,0.115,0.002,True,1.7621054104578075227758280845
0.035,0.02,0.112,0.001,False,1.7611526508828676882865311607
0.035,0.02,0.113,0.001,False,1.7606327300606081148252973352
0.040,0,0.112,0.002,False,1.7576903605831199885243098509
0.040,0.02,0.115,0.002,True,1.7565521056381555374562876685
0.033,0.01,0.101,0.024,False,1.7544813200378637946320383044
0.032,0.01,0.144,0.018,True,1.7538432452875988893083592545
0.034,0.02,0.113,0.003,False,1.7516098347731477743879523884
0.039,0.02,0.116,0.030,False,1.7511186841628250800231368021
0.033,0.03,0.101,0.024,False,1.7510415448734694791652579197
0.040,0,0.112,0.001,False,1.7501173076763919520203580606
0.039,0.02,0.116,0.031,False,1.7486352909905559449973802991
0.035,0.04,0.101,0.023,False,1.7463621162227077300779554895
0.034,0.02,0.112,0.006,True,1.7460097240356698290453787077
0.026,0,0.153,0.023,False,1.7453485390987591069294805567
0.026,0,0.154,0.023,False,1.7453485390987591069294805567
0.028,0.02,0.112,0.008,False,1.7451022125640473058826013871
0.039,0.02,0.116,0.032,False,1.7450854260865876051701288991
0.035,0.04,0.101,0.024,False,1.7431255106267045686036338364
0.035,0.03,0.101,0.023,False,1.7424213389299215757239510176
0.035,0.03,0.101,0.024,False,1.7396873940183483079364054200
0.034,0.01,0.144,0.019,True,1.7396254450726729855941984572
0.026,0.02,0.158,0.002,False,1.7382987379645619259127020979
0.026,0.02,0.159,0.002,False,1.7382987379645619259127020979
0.034,0.02,0.101,0.023,False,1.7363951338926951446345693024
0.027,0.02,0.156,0.001,False,1.7357700817743105065832000821
0.034,0.02,0.101,0.024,False,1.7327249126598241322689715387
0.040,0,0.143,0.013,False,1.7303546929029325230473498472
0.040,0,0.144,0.013,False,1.7303546929029325230473498472
0.033,0.04,0.101,0.024,False,1.7238415828897543776149846642
0.035,0.05,0.101,0.023,False,1.7231162716343699561525285344
0.040,0.03,0.096,0.022,False,1.7074387020037566704651368653
0.038,0.01,0.098,0.020,False,1.6957936791776500841017256861
0.024,0.02,0.109,0.002,False,1.6922082475067538561120784088
0.040,0.01,0.098,0.022,False,1.6914429711644728036132729942
0.040,0.03,0.095,0.022,False,1.6804328708649271918078651834
0.040,0.01,0.098,0.020,False,1.6777137220111360687696877827
0.040,0.01,0.098,0.024,False,1.6775766188964944013956827427
0.040,0.01,0.098,0.021,False,1.6764731251536076109459272539
0.025,0.02,0.108,0.002,False,1.6749142292994826743799567509
0.040,0.02,0.097,0.022,False,1.6735695483094681052659029796
0.040,0.02,0.098,0.022,False,1.6735695483094681052659029796
0.040,0.03,0.095,0.021,False,1.6730622031446993471176075522
0.040,0.03,0.096,0.024,False,1.6714354715277353637344327045
0.040,0.03,0.097,0.022,False,1.6677712850034792813209125657
0.040,0.03,0.096,0.021,False,1.6668370566351093605552246278
0.024,0.06,0.081,0.002,True,1.6658716899723026421699621764
0.040,0.03,0.096,0.023,False,1.6638325580882854415416027269
0.040,0.02,0.097,0.024,False,1.6620400885384744457166791069
0.040,0.02,0.098,0.024,False,1.6620400885384744457166791069
0.040,0.02,0.097,0.021,False,1.6574416736458484425374710302
0.040,0.02,0.098,0.021,False,1.6574416736458484425374710302
0.040,0.03,0.097,0.024,False,1.6562418252324856217716886930
0.040,0.02,0.097,0.023,False,1.6544371750990245235238491293
0.040,0.01,0.100,0.020,False,1.6531645757526408469960108332
0.040,0.03,0.097,0.021,False,1.6516434103398596185924806163
0.039,0.01,0.098,0.020,False,1.6492639378640426768236829794
0.040,0.03,0.097,0.023,False,1.6486389117930356995788587154
0.040,0.01,0.098,0.023,False,1.6466657845136020438916484576
0.040,0.01,0.098,0.025,False,1.6464182583222633796575474678
0.040,0.03,0.095,0.023,False,1.6364478962078911914803142238
0.040,0.02,0.097,0.025,False,1.6320455463419921012714173411
0.040,0.02,0.098,0.025,False,1.6320455463419921012714173411
0.040,0.02,0.098,0.023,False,1.6299472100726092814542781452
0.021,0.06,0.083,0.002,False,1.6288501045713104231454438845
0.037,0,0.111,0.001,False,1.6279328983020046313373395906
0.040,0.03,0.097,0.025,False,1.6262472830360032773264269272
0.037,0.01,0.111,0.001,False,1.5878983094511394952702205176
0.039,0,0.109,0.002,False,1.5841509314152824824293513799
0.039,0,0.108,0.001,False,1.5816957713105040831696249197
0.039,0,0.109,0.001,False,1.5816957713105040831696249197
0.040,0,0.108,0.002,False,1.5764538764849810306910290192
0.040,0,0.106,0.002,False,1.5724856971894618150651543305
0.018,0.27,0.133,0.010,False,1.5675510916231733739205446564
0.018,0.27,0.134,0.010,False,1.5675510916231733739205446564
0.018,0.27,0.135,0.010,False,1.5675510916231733739205446564
0.040,0,0.106,0.001,False,1.5674130671757853189449180862
0.025,0.07,0.083,0.007,False,1.5630536722912952375007174927
0.028,0.07,0.083,0.013,False,1.5622813957953639185772275353
0.028,0.07,0.083,0.012,False,1.5525895539783994820931084783
0.028,0.07,0.084,0.012,False,1.5364304408776242508450216180
0.026,0.07,0.083,0.013,False,1.5177188404722525481208770609
0.026,0.07,0.083,0.012,False,1.5094368228530539261358125836
0.026,0.07,0.084,0.012,False,1.4903000190141779622856001609
