StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.031,0,0.059,0.004,False,2.2748482463849208403925681550
0.031,0.01,0.059,0.004,False,2.2475518379205960739853422048
0.030,0.17,0.048,0.001,True,2.2211976262228568383381233026
0.031,0.06,0.059,0.004,False,2.2099608310280783211534374113
0.030,0.10,0.052,0.003,False,2.1571786246394243752076038437
0.020,0.12,0.070,0.012,True,2.1469881569846078142113987741
0.030,0.04,0.059,0.004,False,2.1399847788397607206567288976
0.031,0.06,0.059,0.002,False,2.1394785404089234534488756646
0.023,0.12,0.072,0.007,True,2.1366335801030230057179816446
0.030,0.06,0.052,0.003,False,2.1279789042179752882588295449
0.031,0.02,0.052,0.003,False,2.1107812981146607492522000510
0.031,0.02,0.059,0.004,False,2.1042524058218614985837843253
0.030,0.07,0.052,0.003,False,2.1035399042628653487686443018
0.030,0.08,0.052,0.003,False,2.0932264606755414654060891117
0.031,0.03,0.059,0.004,False,2.0917364409422699154034076772
0.020,0.12,0.072,0.012,True,2.0879675782348401390217782382
0.030,0.10,0.057,0.003,False,2.0823939094805748390295962013
0.029,0.12,0.051,0.003,False,2.0758302727332541958604685809
0.031,0.10,0.052,0.003,False,2.0739387694604695152987023721
0.030,0.09,0.052,0.003,False,2.0731145321017698682285278506
0.019,0.07,0.073,0.002,True,2.0653914436897927144535822658
0.031,0,0.052,0.003,False,2.0636975104133031142099753125
0.030,0.01,0.054,0.003,False,2.0604030991075862841233446899
0.031,0.01,0.052,0.003,False,2.0514028271467225817123946366
0.030,0.02,0.054,0.003,False,2.0511415778852993537226276176
0.019,0.10,0.070,0.011,True,2.0503746386041449284203069247
0.030,0.03,0.054,0.003,False,2.0498104716498483836287212661
0.029,0.10,0.057,0.004,False,2.0486514619205866178764287277
0.024,0.13,0.072,0.007,True,2.0457520027024408305719802623
0.031,0.06,0.052,0.003,False,2.0416969487114315344298743879
0.020,0.11,0.075,0.002,True,2.0344396346929289695050650822
0.030,0.12,0.051,0.003,False,2.0333777683951048883271736314
0.029,0.11,0.057,0.004,False,2.0288033935490424999987594682
0.020,0.13,0.072,0.012,True,2.0267694668732209859215889103
0.030,0.12,0.056,0.003,False,2.0257625090245010233132799875
0.025,0.15,0.071,0.001,True,2.0245555932180306304963507480
0.028,0.20,0.049,0.023,True,2.0235377655199414190065586679
0.031,0.07,0.052,0.003,False,2.0181924306211750602793592213
0.029,0.10,0.052,0.003,False,2.0139142999756468919530470999
0.024,0.14,0.070,0.002,True,2.0136420121481087578854716168
0.030,0.01,0.053,0.003,False,2.0126713566251422452497378596
0.030,0.17,0.048,0.025,True,2.0107049249091099368634007706
0.030,0.17,0.048,0.027,True,2.0085842607538169094353210450
0.031,0.08,0.052,0.003,False,2.0080173861172869384888798798
0.029,0,0.054,0.003,False,2.0079733852187333573847379602
0.029,0.01,0.054,0.003,False,2.0035580057407798361839960438
0.030,0.02,0.053,0.003,False,2.0034098354028553148490207873
0.031,0.10,0.057,0.003,False,2.0031647429906169850916160786
0.019,0.12,0.070,0.011,True,2.0026758343474764591248294713
0.030,0,0.054,0.003,False,2.0003931438564859099750103355
0.020,0.09,0.075,0.002,True,1.9999937180628254809302942538
0.031,0.08,0.054,0.003,False,1.9999022302301593731669458483
0.021,0.10,0.052,0.001,True,1.9995355114320100684218205328
0.031,0.07,0.054,0.003,False,1.9960072481390014590372129325
0.029,0.02,0.054,0.003,False,1.9936993842243374424261963928
0.031,0.09,0.052,0.003,False,1.9900708757227520206311058563
0.032,0.01,0.051,0.003,False,1.9877100104662924255257597668
0.024,0.12,0.071,0.001,True,1.9860868423312593656773161354
0.028,0.12,0.051,0.003,False,1.9849835761586554852312417706
0.025,0.14,0.070,0.001,True,1.9845299085728826931923578174
0.024,0.13,0.071,0.001,True,1.9830953513012932538048429656
0.032,0.02,0.051,0.003,False,1.9797970872299646980362647096
0.030,0.12,0.052,0.003,False,1.9783969885905554051217522463
0.020,0.10,0.072,0.007,True,1.9782176909427460130229746002
0.019,0.13,0.070,0.011,True,1.9779548990885214386123610302
0.025,0.14,0.072,0.007,True,1.9777993827064228089618388209
0.025,0.13,0.070,0.001,True,1.9774172790732414012966186227
0.030,0.16,0.048,0.027,True,1.9773903779902089554141434103
0.019,0.11,0.073,0.002,True,1.9761541894337222124954218903
0.030,0.05,0.052,0.004,False,1.9761018643510380930953870138
0.028,0.14,0.071,0.007,True,1.9730644522181596586552981338
0.023,0.13,0.070,0.002,True,1.9723286672972497907513884235
0.031,0.06,0.054,0.003,False,1.9717841191734670026807945442
0.030,0.17,0.048,0.028,True,1.9645762582633383415183998361
0.024,0.14,0.069,0.002,True,1.9621129224523688154930957160
0.020,0.10,0.075,0.002,True,1.9620164273873410791684163169
0.024,0.14,0.071,0.001,True,1.9610111991185397338548760231
0.024,0.15,0.071,0.001,True,1.9601676353980872560948569043
0.030,0.17,0.048,0.026,True,1.9596558020253776091242937864
0.025,0.13,0.071,0.006,True,1.9594668747704189414200945035
0.023,0.14,0.074,0.002,True,1.9559414835418143612780552734
0.025,0.13,0.072,0.006,True,1.9547562832012585375427836258
0.025,0.14,0.069,0.001,True,1.9545209580707441618949272476
0.030,0.11,0.057,0.003,False,1.9527958994578046593821204355
0.031,0.10,0.058,0.001,False,1.9491706002310493032014598139
0.030,0.17,0.048,0.040,True,1.9475483343580829785061486309
0.019,0.12,0.073,0.002,True,1.9472705579215317122669538184
0.019,0.10,0.072,0.007,True,1.9445311319339108847372543224
0.024,0.11,0.071,0.001,True,1.9393303890610015301274790510
0.024,0.13,0.070,0.001,True,1.9364664414082267135933085237
0.023,0.14,0.074,0.010,True,1.9363294565040093356741414664
0.033,0.10,0.058,0.027,False,1.9353888724621177392449579603
0.031,0.29,0.062,0.004,False,1.9192837316067112559389509496
0.028,0.06,0.050,0.005,True,1.9085991989938833315122773883
0.019,0.09,0.075,0.002,True,1.8753325982623759530337365130
0.031,0.11,0.057,0.003,False,1.8689109314204722996705228843
0.029,0.06,0.050,0.003,False,1.8574495746708495184366572794
0.029,0.12,0.050,0.003,False,1.8432635511899532079745409295
0.029,0.07,0.050,0.003,False,1.8381641762566122244292065761
0.031,0.12,0.056,0.003,False,1.8354957354741045432996236509
