StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.03,0.189,0.013,False,2.3014146920359209267375687136
0.027,0.03,0.190,0.013,False,2.3014146920359209267375687136
0.027,0.03,0.191,0.013,False,2.3014146920359209267375687136
0.027,0.03,0.189,0.012,False,2.2951938400605726907749919233
0.027,0.03,0.191,0.012,False,2.2951938400605726907749919233
0.027,0.03,0.190,0.012,False,2.2951938400605726907749919233
0.025,0.01,0.195,0.010,False,2.2879687532882900916953457152
0.027,0.03,0.193,0.013,False,2.2802198100086924630391043018
0.027,0.03,0.192,0.013,False,2.2802198100086924630391043018
0.027,0.03,0.194,0.013,False,2.2802198100086924630391043018
0.027,0.03,0.195,0.013,False,2.2802198100086924630391043018
0.028,0.03,0.189,0.013,False,2.2775613393373273144106298468
0.028,0.03,0.191,0.013,False,2.2775613393373273144106298468
0.028,0.03,0.190,0.013,False,2.2775613393373273144106298468
0.027,0.03,0.192,0.012,False,2.2739989580333442270765275115
0.027,0.03,0.193,0.012,False,2.2739989580333442270765275115
0.027,0.03,0.194,0.012,False,2.2739989580333442270765275115
0.028,0.03,0.188,0.012,False,2.2713414075804052184727972400
0.028,0.03,0.190,0.012,False,2.2713414075804052184727972400
0.028,0.03,0.191,0.012,False,2.2713414075804052184727972400
0.028,0.03,0.189,0.012,False,2.2713414075804052184727972400
0.025,0,0.194,0.010,False,2.2707507985646823303804259411
0.025,0,0.193,0.010,False,2.2707507985646823303804259411
0.025,0.01,0.193,0.010,False,2.2705902754217932249141055608
0.025,0.01,0.194,0.010,False,2.2705902754217932249141055608
0.025,0,0.194,0.009,False,2.2577202943080038826056171003
0.025,0,0.195,0.009,False,2.2577202943080038826056171003
0.025,0.01,0.192,0.009,False,2.2575504789618851395874540110
0.025,0.01,0.193,0.009,False,2.2575504789618851395874540110
0.025,0.01,0.194,0.009,False,2.2575504789618851395874540110
0.025,0.01,0.195,0.009,False,2.2575504789618851395874540110
0.026,0.03,0.188,0.012,False,2.2564688346516545997632744210
0.026,0.03,0.189,0.012,False,2.2564688346516545997632744210
0.026,0.03,0.190,0.012,False,2.2564688346516545997632744210
0.026,0.03,0.191,0.012,False,2.2564688346516545997632744210
0.028,0.03,0.192,0.013,False,2.2563664573100988507121654350
0.028,0.03,0.194,0.013,False,2.2563664573100988507121654350
0.028,0.03,0.193,0.013,False,2.2563664573100988507121654350
0.028,0.03,0.195,0.013,False,2.2563664573100988507121654350
0.029,0.03,0.189,0.013,False,2.2545244814045461542073632499
0.029,0.03,0.190,0.013,False,2.2545244814045461542073632499
0.029,0.03,0.191,0.013,False,2.2545244814045461542073632499
0.028,0.03,0.194,0.012,False,2.2501465255531767547743328282
0.028,0.03,0.192,0.012,False,2.2501465255531767547743328282
0.028,0.03,0.193,0.012,False,2.2501465255531767547743328282
0.029,0.03,0.189,0.012,False,2.2483057851394279753721293734
0.029,0.03,0.190,0.012,False,2.2483057851394279753721293734
0.029,0.03,0.191,0.012,False,2.2483057851394279753721293734
0.029,0.03,0.188,0.012,False,2.2483057851394279753721293734
0.026,0.03,0.195,0.012,False,2.2479142705066698531461827057
0.034,0.01,0.195,0.013,False,2.2437036808569984818346793389
0.028,0.03,0.189,0.004,False,2.2353404814448233767089774196
0.028,0.03,0.188,0.004,False,2.2353404814448233767089774196
0.028,0.04,0.188,0.004,False,2.2353118691331150386797819383
0.028,0.04,0.189,0.004,False,2.2353118691331150386797819383
0.026,0.03,0.193,0.012,False,2.2352739526244261360648100092
0.026,0.03,0.192,0.012,False,2.2352739526244261360648100092
0.026,0.03,0.194,0.012,False,2.2352739526244261360648100092
0.033,0.01,0.195,0.013,False,2.2333996606229901638473390430
0.029,0.03,0.192,0.013,False,2.2333295993773176905088988381
0.029,0.03,0.193,0.013,False,2.2333295993773176905088988381
0.029,0.03,0.195,0.013,False,2.2333295993773176905088988381
0.029,0.03,0.194,0.013,False,2.2333295993773176905088988381
0.039,0.06,0.195,0.011,False,2.2309525381895269255600159360
0.039,0.06,0.194,0.011,False,2.2309525381895269255600159360
0.029,0.03,0.193,0.012,False,2.2271109031121995116736649616
0.029,0.03,0.192,0.012,False,2.2271109031121995116736649616
0.029,0.03,0.194,0.012,False,2.2271109031121995116736649616
0.030,0.03,0.189,0.012,False,2.2244593841998773336582006638
0.030,0.03,0.188,0.012,False,2.2244593841998773336582006638
0.030,0.03,0.190,0.012,False,2.2244593841998773336582006638
0.030,0.03,0.191,0.012,False,2.2244593841998773336582006638
0.030,0.03,0.191,0.013,False,2.2230653316019394247641255181
0.030,0.03,0.189,0.013,False,2.2230653316019394247641255181
0.030,0.03,0.190,0.013,False,2.2230653316019394247641255181
0.027,0.03,0.195,0.012,False,2.2224736525614873252049512508
0.035,0.01,0.194,0.013,False,2.2215135506777337322162385057
0.035,0.01,0.195,0.013,False,2.2215135506777337322162385057
0.033,0,0.189,0.013,False,2.2203567691823448533926907540
0.026,0,0.195,0.012,False,2.2156949211442992582383933250
0.038,0.01,0.193,0.011,False,2.2156693662700879432792917159
0.038,0.01,0.192,0.011,False,2.2156693662700879432792917159
0.035,0.01,0.194,0.012,False,2.2143030855494235136267492560
0.033,0,0.189,0.012,False,2.2131476716251177410036932959
0.033,0,0.188,0.012,False,2.2131476716251177410036932959
0.035,0.01,0.195,0.011,False,2.2130052485678229877359517497
0.035,0.01,0.194,0.011,False,2.2130052485678229877359517497
0.034,0.01,0.194,0.013,False,2.2122597671647213381163039901
0.040,0.06,0.194,0.011,False,2.2103461521316133898023495309
0.029,0.03,0.187,0.004,False,2.2048371691888461270051547024
0.029,0.03,0.188,0.004,False,2.2048371691888461270051547024
0.029,0.03,0.189,0.004,False,2.2048371691888461270051547024
0.029,0.04,0.187,0.004,False,2.2048074599077510524289554385
0.029,0.04,0.188,0.004,False,2.2048074599077510524289554385
0.029,0.04,0.189,0.004,False,2.2048074599077510524289554385
0.034,0.01,0.194,0.012,False,2.2045929014949841968252973646
0.030,0.03,0.192,0.012,False,2.2032645021726488699597362520
