StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.07,0.092,0.026,False,2.0260622721664557446489969556
0.040,0.07,0.092,0.024,False,1.9836184640950192789975477785
0.032,0.03,0.112,0.009,False,1.9794458229450561257789131382
0.040,0.07,0.092,0.027,False,1.9789683110058633815352179941
0.040,0.08,0.092,0.024,False,1.9701828702783775343017761348
0.040,0.07,0.092,0.023,False,1.9676333137378188951598523440
0.040,0.07,0.092,0.022,False,1.9672488198763880151308001742
0.040,0.07,0.092,0.021,False,1.9603653031120895139705880053
0.040,0.08,0.092,0.027,False,1.9603186296905241859176230454
0.040,0.08,0.092,0.023,False,1.9549852183233349683476443395
0.040,0.08,0.092,0.022,False,1.9548364548645857784542027003
0.040,0.07,0.092,0.025,False,1.9513221123979993519760961911
0.040,0.08,0.108,0.002,False,1.9500345831832399636751850024
0.040,0.08,0.092,0.021,False,1.9491835009338587093892383132
0.039,0.02,0.119,0.008,False,1.9276658614440352425565973829
0.040,0.02,0.118,0.008,False,1.8953861506948039572532921764
0.039,0.03,0.119,0.008,False,1.8883120786787597524568357652
0.040,0.08,0.108,0.003,False,1.8807178005677293131599092234
0.039,0.04,0.119,0.008,False,1.8786780297342785845331525709
0.039,0.05,0.119,0.008,False,1.8670921655720336632154787843
0.037,0.02,0.112,0.001,False,1.8621455608335528808800086671
0.040,0.03,0.118,0.008,False,1.8576788259965452648757043671
0.040,0.03,0.119,0.008,False,1.8576788259965452648757043671
0.037,0.03,0.112,0.001,False,1.8573952677825352452248762542
0.033,0.07,0.113,0.005,True,1.8573409725366776069239765012
0.032,0.04,0.112,0.009,False,1.8573317394504316394440323988
0.033,0.07,0.114,0.006,True,1.8545197935288935780462884876
0.033,0.07,0.113,0.006,True,1.8543216200323976866132102215
0.037,0,0.112,0.001,False,1.8523356788696998392590336192
0.026,0.02,0.148,0.022,False,1.8518369949502550989963650349
0.040,0.07,0.093,0.021,False,1.8502117905525004936415683402
0.039,0.05,0.119,0.009,False,1.8476057848929203042557820523
0.039,0.05,0.118,0.009,False,1.8476057848929203042557820523
0.040,0.04,0.118,0.008,False,1.8473697710694310635362432617
0.040,0.04,0.119,0.008,False,1.8473697710694310635362432617
0.039,0.07,0.112,0.005,True,1.8436243479499783699444108554
0.036,0.03,0.115,0.013,True,1.8415411795934947258123485931
0.032,0.03,0.112,0.010,False,1.8414573195656367977225036640
0.040,0.08,0.093,0.021,False,1.8369685877399477509280698657
0.039,0.06,0.112,0.001,True,1.8365423566467569616797472352
0.040,0.05,0.119,0.008,False,1.8365188016525630299674612528
0.040,0.05,0.118,0.008,False,1.8365188016525630299674612528
0.039,0.07,0.112,0.004,True,1.8360926538203501492316453441
0.035,0.05,0.115,0.013,True,1.8357508679052495625604962154
0.035,0.07,0.112,0.005,True,1.8357280575681763046676562871
0.039,0.06,0.112,0.002,True,1.8307797820077632097559200312
0.040,0.08,0.092,0.026,False,1.8303516692606962484533449738
0.039,0.08,0.108,0.003,False,1.8301481961039419070228433816
0.037,0.01,0.112,0.001,False,1.8291826067048008507912873237
0.039,0.07,0.112,0.001,True,1.8288091936618830158536983771
0.039,0.06,0.108,0.002,False,1.8283618841308886752943367757
