StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.02,0.190,0.010,False,2.4086747016336326337614217923
0.012,0.02,0.192,0.012,False,2.3196099414174610622328613447
0.012,0.02,0.191,0.011,False,2.3035434979568213436241833035
0.011,0.02,0.192,0.012,False,2.2865151242272657290166563668
0.011,0.02,0.193,0.013,False,2.2726688660332490345080316145
0.011,0.02,0.191,0.011,False,2.2714789882390083492382771833
0.040,0,0.188,0.013,False,2.2471930797666307495845007597
0.040,0,0.189,0.013,False,2.2471930797666307495845007597
0.040,0,0.190,0.013,False,2.2471930797666307495845007597
0.040,0,0.186,0.013,False,2.2332482856887200148234974599
0.040,0,0.185,0.013,False,2.2332482856887200148234974599
0.040,0,0.182,0.013,False,2.2230775574324697165391371423
0.040,0,0.184,0.013,False,2.2164521023409638241226853289
0.040,0,0.183,0.013,False,2.2114463781967670549066765138
0.037,0.02,0.184,0.013,False,2.2111836733459595172907384188
0.039,0.02,0.184,0.013,False,2.1987520650999355346727585825
0.038,0.03,0.184,0.013,False,2.1953975569424798604106965417
0.030,0.06,0.188,0.012,False,2.1906398139637016180674181254
0.030,0.06,0.189,0.012,False,2.1906398139637016180674181254
0.038,0.02,0.184,0.013,False,2.1901437864908896768587817295
0.040,0.02,0.184,0.013,False,2.1788037151124296659758691095
0.030,0.06,0.191,0.012,False,2.1762969670744318332975450223
0.030,0.06,0.190,0.012,False,2.1762969670744318332975450223
0.030,0.06,0.192,0.012,False,2.1762969670744318332975450223
0.039,0.03,0.184,0.013,False,2.1755410358929808999021199777
0.013,0.03,0.190,0.010,False,2.1680738799853269201086784359
0.040,0.03,0.184,0.013,False,2.1547706835530570838597393747
0.031,0.05,0.184,0.013,False,2.1447447813595301844211019310
0.028,0.02,0.189,0.013,False,2.1355662377722151018956264654
0.028,0.02,0.190,0.013,False,2.1355662377722151018956264654
0.028,0.02,0.193,0.013,False,2.1355662377722151018956264654
0.028,0.02,0.192,0.013,False,2.1355662377722151018956264654
0.028,0.02,0.191,0.013,False,2.1355662377722151018956264654
0.028,0.02,0.188,0.013,False,2.1355662377722151018956264654
0.013,0.03,0.191,0.011,False,2.1352965174295573579169047454
0.032,0.04,0.184,0.013,False,2.1292210559114918841909823100
0.032,0.05,0.184,0.013,False,2.1194208362519177872714233620
0.031,0.04,0.184,0.013,False,2.1178432991371045259143984794
0.040,0.01,0.182,0.013,False,2.1079474706638443411867015297
0.038,0.07,0.182,0.013,False,2.1031839141756523291820335729
0.038,0.07,0.183,0.013,False,2.1031839141756523291820335729
0.030,0.05,0.184,0.013,False,2.0988014697466965944459168426
0.018,0.03,0.188,0.013,False,2.0961637880652259252268716074
0.018,0.03,0.189,0.013,False,2.0961637880652259252268716074
0.018,0.03,0.190,0.013,False,2.0961637880652259252268716074
0.018,0.03,0.191,0.013,False,2.0961637880652259252268716074
0.018,0.03,0.193,0.013,False,2.0961637880652259252268716074
0.018,0.03,0.192,0.013,False,2.0961637880652259252268716074
0.033,0.05,0.184,0.013,False,2.0939858696924764001489851644
0.038,0,0.179,0.013,False,2.0852695361330528249713355478
0.038,0,0.181,0.013,False,2.0851126931118448754094192216
0.038,0,0.180,0.013,False,2.0851126931118448754094192216
0.039,0.07,0.182,0.013,False,2.0810712730483593909058088334
0.019,0.02,0.183,0.013,True,2.0798671162370017182146303352
0.020,0.02,0.182,0.013,True,2.0778761735883774832309877447
0.029,0.05,0.184,0.013,False,2.0770373535379865942234896371
0.039,0,0.181,0.013,False,2.0664344284408109244862988722
0.039,0,0.179,0.013,False,2.0629314157695789303974434715
0.039,0,0.180,0.013,False,2.0629314157695789303974434715
0.012,0.02,0.182,0.010,False,2.0578982277677940591287979771
0.040,0,0.181,0.013,False,2.0577892962609594160116167953
0.020,0.02,0.183,0.013,True,2.0537211195664470220054649890
0.040,0,0.178,0.013,False,2.0520392724965492686869617215
0.038,0.06,0.182,0.013,False,2.0500573861473759798800138359
0.025,0.02,0.188,0.009,False,2.0491332967239679402542033725
0.025,0.02,0.189,0.009,False,2.0491332967239679402542033725
0.025,0.02,0.190,0.009,False,2.0491332967239679402542033725
0.025,0.02,0.191,0.009,False,2.0491332967239679402542033725
0.024,0.04,0.187,0.009,False,2.0475123503275103821017006365
0.024,0.04,0.188,0.009,False,2.0475123503275103821017006365
0.040,0,0.177,0.013,False,2.0465067425764943994702203937
0.040,0,0.180,0.013,False,2.0409331943901407338115179921
0.040,0,0.179,0.013,False,2.0409331943901407338115179921
0.018,0.03,0.189,0.012,False,2.0131988811359047890734477019
0.018,0.03,0.191,0.012,False,2.0131988811359047890734477019
0.018,0.03,0.190,0.012,False,2.0131988811359047890734477019
0.018,0.04,0.192,0.013,False,2.0079219459560734475300254886
0.018,0.04,0.193,0.013,False,2.0079219459560734475300254886
0.024,0.03,0.198,0.019,False,1.9987609449679466242208312239
0.019,0.02,0.182,0.013,True,1.9885513557349018427805352979
0.019,0.02,0.180,0.013,True,1.9834073503076712893820501966
0.019,0.02,0.181,0.013,True,1.9834073503076712893820501966
0.027,0.08,0.199,0.025,False,1.9084765285469880580687064183
0.027,0.08,0.200,0.025,False,1.9084765285469880580687064183
0.040,0,0.187,0.013,False,1.8979666802745446698175087281
0.024,0.09,0.195,0.018,False,1.8873143207983498095768715848
0.024,0.09,0.196,0.018,False,1.8873143207983498095768715848
0.024,0.09,0.197,0.018,False,1.8873143207983498095768715848
0.024,0.09,0.198,0.018,False,1.8873143207983498095768715848
0.024,0.09,0.200,0.018,False,1.8873143207983498095768715848
0.024,0.09,0.199,0.018,False,1.8873143207983498095768715848
0.026,0.08,0.200,0.025,False,1.8535452677989523374096526209
0.026,0.08,0.199,0.025,False,1.8535452677989523374096526209
0.028,0.10,0.199,0.021,False,1.8347478423159136155297532300
0.028,0.10,0.200,0.021,False,1.8347478423159136155297532300
0.029,0.13,0.198,0.020,False,1.8326294023415155126852855033
0.029,0.13,0.199,0.020,False,1.8326294023415155126852855033
0.028,0.10,0.199,0.020,False,1.8301594088688882622282702311
0.028,0.10,0.198,0.020,False,1.8301594088688882622282702311
0.028,0.10,0.200,0.020,False,1.8301594088688882622282702311
0.034,0.10,0.194,0.017,False,1.8280759802521318128677313387
0.034,0.10,0.195,0.017,False,1.8280759802521318128677313387
0.034,0.10,0.197,0.017,False,1.8280759802521318128677313387
0.034,0.10,0.196,0.017,False,1.8280759802521318128677313387
0.034,0.10,0.198,0.017,False,1.8280759802521318128677313387
0.034,0.10,0.199,0.017,False,1.8280759802521318128677313387
0.027,0.08,0.198,0.024,False,1.8253608999861329741294645034
0.027,0.08,0.199,0.024,False,1.8253608999861329741294645034
0.027,0.08,0.200,0.024,False,1.8253608999861329741294645034
0.027,0.10,0.195,0.018,False,1.8223844465910482898371712162
0.027,0.10,0.196,0.018,False,1.8223844465910482898371712162
0.027,0.10,0.197,0.018,False,1.8223844465910482898371712162
0.027,0.10,0.198,0.018,False,1.8223844465910482898371712162
0.027,0.10,0.199,0.018,False,1.8223844465910482898371712162
0.027,0.10,0.200,0.018,False,1.8223844465910482898371712162
0.029,0.10,0.200,0.021,False,1.8143880955093986053297492722
0.029,0.10,0.199,0.021,False,1.8143880955093986053297492722
0.027,0.12,0.199,0.021,False,1.8102143366252643008925174702
0.027,0.12,0.200,0.021,False,1.8102143366252643008925174702
0.029,0.10,0.198,0.020,False,1.8091246235929423207826869470
0.029,0.10,0.199,0.020,False,1.8091246235929423207826869470
0.029,0.10,0.200,0.020,False,1.8091246235929423207826869470
0.028,0.08,0.199,0.025,False,1.8077393881823748054314653809
0.028,0.08,0.200,0.025,False,1.8077393881823748054314653809
0.035,0.10,0.194,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.195,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.196,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.197,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.198,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.199,0.017,False,1.8063452784881653623826823273
0.035,0.10,0.194,0.016,False,1.8049806919521322477021824511
0.035,0.10,0.195,0.016,False,1.8049806919521322477021824511
0.035,0.10,0.197,0.016,False,1.8049806919521322477021824511
0.035,0.10,0.196,0.016,False,1.8049806919521322477021824511
0.035,0.10,0.198,0.016,False,1.8049806919521322477021824511
0.028,0.08,0.198,0.024,False,1.8023874540287339965545937699
0.028,0.08,0.200,0.024,False,1.8023874540287339965545937699
0.028,0.08,0.199,0.024,False,1.8023874540287339965545937699
0.024,0.09,0.194,0.018,False,1.7977381303839578213803850731
0.028,0.08,0.197,0.023,False,1.7955004370908009276391732730
0.028,0.08,0.198,0.023,False,1.7955004370908009276391732730
0.028,0.08,0.199,0.023,False,1.7955004370908009276391732730
0.028,0.08,0.200,0.023,False,1.7955004370908009276391732730
0.030,0.10,0.199,0.021,False,1.7928764046611098891810678420
0.030,0.10,0.200,0.021,False,1.7928764046611098891810678420
0.030,0.10,0.199,0.020,False,1.7880017117905062966531832243
0.030,0.10,0.198,0.020,False,1.7880017117905062966531832243
0.030,0.10,0.200,0.020,False,1.7880017117905062966531832243
0.036,0.10,0.195,0.017,False,1.7860384849391992153117884414
0.036,0.10,0.197,0.017,False,1.7860384849391992153117884414
0.036,0.10,0.196,0.017,False,1.7860384849391992153117884414
0.036,0.10,0.198,0.017,False,1.7860384849391992153117884414
0.036,0.10,0.194,0.017,False,1.7860384849391992153117884414
0.036,0.10,0.199,0.017,False,1.7860384849391992153117884414
0.028,0.12,0.199,0.021,False,1.7853399646261636957616852858
0.036,0.10,0.193,0.016,False,1.7838162250791390385042389754
0.036,0.10,0.194,0.016,False,1.7838162250791390385042389754
0.036,0.10,0.197,0.016,False,1.7838162250791390385042389754
0.036,0.10,0.195,0.016,False,1.7838162250791390385042389754
0.036,0.10,0.198,0.016,False,1.7838162250791390385042389754
0.036,0.10,0.196,0.016,False,1.7838162250791390385042389754
0.029,0.08,0.199,0.024,False,1.7795076017065718774184001828
0.029,0.08,0.200,0.024,False,1.7795076017065718774184001828
0.029,0.08,0.198,0.024,False,1.7795076017065718774184001828
0.029,0.08,0.197,0.023,False,1.7730195357672316210118825645
0.029,0.08,0.198,0.023,False,1.7730195357672316210118825645
0.029,0.08,0.199,0.023,False,1.7730195357672316210118825645
0.029,0.08,0.200,0.023,False,1.7730195357672316210118825645
0.028,0.10,0.195,0.018,False,1.7710144909423147588269810952
0.028,0.10,0.196,0.018,False,1.7710144909423147588269810952
0.028,0.10,0.198,0.018,False,1.7710144909423147588269810952
0.028,0.10,0.200,0.018,False,1.7710144909423147588269810952
0.028,0.10,0.197,0.018,False,1.7710144909423147588269810952
0.028,0.10,0.199,0.018,False,1.7710144909423147588269810952
0.031,0.10,0.199,0.021,False,1.7700504445269776418292903149
0.031,0.10,0.200,0.021,False,1.7700504445269776418292903149
0.029,0.08,0.197,0.022,False,1.7682794022461092159350982493
0.029,0.08,0.196,0.022,False,1.7682794022461092159350982493
