Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta
01/03/17,0.023,0.12,0.072,0.009,True,True,False,False,1.6598740539051859089355881583,1.6598740539051859089355881583,0.0000000000000000000000000000
02/15/17,0.005,0.01,0.053,0.025,False,False,False,True,1.7488210103341879175113286140,1.7418058635554827899028672895,-0.0070151467787051276084613245
02/16/17,0.023,0.12,0.072,0.009,True,True,False,False,1.7349506793224065259782743161,1.7057632421308149464287543891,-0.0291874371915915795495199270
02/22/17,0.005,0.01,0.053,0.025,False,False,False,True,1.7040175296204211694706030411,1.6829768612409667558456328418,-0.0210406683794544136249701993
02/27/17,0.002,0,0.056,0.027,False,False,False,True,1.6995808016041605741748961748,1.6949481258580990203589969590,-0.0046326757460615538158992158
03/13/17,0.015,0.04,0.080,0.016,True,False,False,True,1.7746900319335173342651616429,1.7493456076009836038459349387,-0.0253444243325337304192267042
03/22/17,0.003,0.01,0.055,0.027,False,False,False,True,1.7418947655703234705081406363,1.7121162420870002150207696712,-0.0297785234833232554873709651
04/12/17,0.015,0.04,0.080,0.016,True,False,False,True,1.8327420012135902457980126968,1.7960142036169776609871175857,-0.0367277975966125848108951111
04/24/17,0.003,0.01,0.055,0.027,False,False,False,True,1.7937646153263158777095343462,1.7732780093293741044835580171,-0.0204866059969417732259763291
04/28/17,0.015,0.04,0.080,0.016,True,False,False,True,1.8021892070029577908481735122,1.8005213696304903995372403216,-0.0016678373724673913109331906
05/08/17,0.023,0.12,0.072,0.009,True,True,False,False,1.7731326767464947929727714305,1.7720076069607681484053932147,-0.0011250697857266445673782158
05/09/17,0.015,0.04,0.080,0.016,True,False,False,True,1.7840316550569605331749322928,1.7607402498962366174133910518,-0.0232914051607239157615412410
05/10/17,0.023,0.12,0.072,0.009,True,True,False,False,1.7727884426673209547627886422,1.7723416082967734924267693002,-0.0004468343705474623360193420
05/12/17,0.015,0.04,0.080,0.016,True,False,False,True,1.8024017285372544543506169956,1.7418073755416755158643376956,-0.0605943529955789384862793000
05/17/17,0.023,0.12,0.072,0.009,True,True,False,False,1.8096214891389216432309469899,1.7358152221912290702490805894,-0.0738062669476925729818664005
11/02/17,0.013,0.04,0.079,0.015,True,False,False,False,2.1326046622028243651005895155,2.1248957356091600769700359873,-0.0077089265936642881305535282
03/27/18,0.015,0.04,0.080,0.016,True,False,False,True,2.3051826157103941899261162788,2.2664430446986255259453170420,-0.0387395710117686639807992368
06/25/18,0.015,0.04,0.080,0.016,True,False,False,True,2.2859066037990946019048665218,2.2859066037990946019048665218,0
