StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.20,0.137,0.011,True,1.4855701986975715949579905094
0,0.20,0.138,0.011,True,1.4855701986975715949579905094
0,0.20,0.139,0.011,True,1.4855701986975715949579905094
0,0.20,0.140,0.011,True,1.4855701986975715949579905094
0.020,0.01,0.138,0.019,True,1.4843481788783236283065864435
0.020,0.01,0.139,0.019,True,1.4843481788783236283065864435
0.021,0.01,0.138,0.019,True,1.4596920078717371381665393309
0.021,0.02,0.138,0.019,True,1.4445745138310914703792499112
0,0.21,0.138,0.011,True,1.4444740883467231823071109368
0,0.21,0.139,0.011,True,1.4444740883467231823071109368
0,0.21,0.140,0.011,True,1.4444740883467231823071109368
0.021,0.08,0.138,0.008,True,1.4424709648908540245428229341
0,0.20,0.136,0.011,True,1.4410754859342066865705498757
0.017,0.07,0.138,0.001,True,1.4151190514402758775191231897
0.022,0.08,0.137,0.009,True,1.4147620943473258867369664592
0.020,0.03,0.135,0.017,True,1.4146590060212543612704060290
0,0.21,0.137,0.011,True,1.4066997055098932379638369276
0.020,0.08,0.138,0.008,True,1.3924208679706463305605972814
0.021,0.03,0.134,0.017,True,1.3825965578302222951286837948
0.017,0.07,0.138,0.002,False,1.3824756473680089150799665745
0.022,0.08,0.136,0.010,True,1.3791305249905775044592579896
0.018,0.02,0.137,0.017,True,1.3770023579392713491057096211
0.018,0.02,0.138,0.017,True,1.3770023579392713491057096211
0.018,0.02,0.139,0.017,True,1.3770023579392713491057096211
0.026,0.01,0.139,0.025,True,1.3684131641593563095671591433
0,0.21,0.136,0.011,True,1.3656311863432911868902303572
0.016,0.08,0.140,0.024,False,1.3645139388865809611750444879
0.017,0.07,0.138,0.002,True,1.3610159689939240623886452168
0.021,0.08,0.137,0.009,True,1.3602119039501921984313237242
0.020,0.03,0.134,0.015,True,1.3596832591157477430321930258
0.020,0.03,0.135,0.015,True,1.3596832591157477430321930258
0.020,0.03,0.134,0.014,True,1.3595182386448483669088992174
0.020,0.03,0.135,0.014,True,1.3595182386448483669088992174
0.020,0.03,0.136,0.014,True,1.3595182386448483669088992174
0.026,0.02,0.139,0.025,True,1.3585093843794958780563717162
0.023,0.03,0.132,0.017,True,1.3576492412230487162099005645
0.017,0.07,0.138,0.003,True,1.3515872335275854163696948609
0.020,0.03,0.134,0.016,True,1.3512995503244205776950300691
0.020,0.03,0.135,0.016,True,1.3512995503244205776950300691
0.018,0.01,0.139,0.019,True,1.3510876101781899649230290773
0.018,0.01,0.140,0.019,True,1.3510876101781899649230290773
0.020,0.03,0.133,0.015,True,1.3498794564041436129883466699
0.020,0.03,0.132,0.014,True,1.3497144359332442368650528615
0.020,0.03,0.133,0.014,True,1.3497144359332442368650528615
0.019,0.02,0.140,0.019,True,1.3474349135424054753812134005
0,0.20,0.134,0.012,True,1.3464336103916289109644023264
0,0.20,0.135,0.012,True,1.3464336103916289109644023264
0,0.20,0.136,0.012,True,1.3464336103916289109644023264
0,0.20,0.137,0.012,True,1.3464336103916289109644023264
0,0.20,0.138,0.012,True,1.3464336103916289109644023264
0,0.20,0.139,0.012,True,1.3464336103916289109644023264
0,0.20,0.140,0.012,True,1.3464336103916289109644023264
0.027,0.01,0.139,0.025,True,1.3452489462325726397205731125
0.026,0.03,0.136,0.025,True,1.3448684602073452910675921075
0.026,0.03,0.137,0.025,True,1.3448684602073452910675921075
0.026,0.03,0.138,0.025,True,1.3448684602073452910675921075
0.026,0.03,0.139,0.025,True,1.3448684602073452910675921075
0.019,0.02,0.137,0.017,True,1.3447336077449509455571663161
0.019,0.02,0.138,0.017,True,1.3447336077449509455571663161
0.017,0.03,0.139,0.017,True,1.3444753733040275144229155799
0.019,0.02,0.131,0.017,True,1.3428247576201543764270704182
0.019,0.02,0.132,0.017,True,1.3428247576201543764270704182
0.022,0.03,0.133,0.017,True,1.3399631419530840581887801044
0.021,0.03,0.133,0.016,True,1.3384058058523383382221933940
0.027,0.02,0.139,0.025,True,1.3342718056751041625320645700
0.018,0.03,0.139,0.017,True,1.3299083020501092685152315524
0.021,0.03,0.134,0.014,True,1.3294448139885408843050211259
0.021,0.03,0.135,0.014,True,1.3294448139885408843050211259
0.026,0.03,0.135,0.025,True,1.3287550338903031339569650952
0.021,0.03,0.134,0.015,True,1.3281365391708590384296368019
0.021,0.03,0.135,0.015,True,1.3281365391708590384296368019
0.024,0.03,0.131,0.017,True,1.3273563426923658780355404404
0.024,0.03,0.132,0.017,True,1.3273563426923658780355404404
0.022,0.03,0.132,0.016,True,1.3247296064820609663678815218
0.022,0.03,0.133,0.016,True,1.3247296064820609663678815218
0.009,0.28,0.131,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.132,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.133,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.134,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.135,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.136,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.137,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.138,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.139,0.029,False,1.3220988278327695090671054064
0.009,0.28,0.140,0.029,False,1.3220988278327695090671054064
0.021,0.03,0.131,0.014,True,1.3196410112769367542611747700
0.021,0.03,0.132,0.014,True,1.3196410112769367542611747700
0.021,0.03,0.133,0.014,True,1.3196410112769367542611747700
0.019,0.01,0.140,0.019,True,1.3195567202599339749322538035
0.019,0.01,0.138,0.019,True,1.3195114652733867776157535089
0.019,0.01,0.139,0.019,True,1.3195114652733867776157535089
0.040,0.09,0.132,0.009,False,1.3191408092459740107068459233
0.021,0.03,0.132,0.015,True,1.3183327364592549083857904460
0.021,0.03,0.133,0.015,True,1.3183327364592549083857904460
0.020,0.02,0.139,0.019,True,1.3168889120813395023292796280
0.020,0.02,0.140,0.019,True,1.3168889120813395023292796280
0.018,0.02,0.138,0.018,True,1.3168610925788650715377981441
0.022,0.03,0.133,0.018,True,1.3145408659561523692451167014
0.040,0.09,0.132,0.008,False,1.3137415259100312150606298155
0.022,0.03,0.132,0.019,True,1.3134183195983186880817743891
0.022,0.03,0.133,0.019,True,1.3134183195983186880817743891
0.020,0.02,0.135,0.017,True,1.3125434557825753147900182061
0.020,0.02,0.136,0.017,True,1.3125434557825753147900182061
0.020,0.02,0.137,0.017,True,1.3125434557825753147900182061
0.020,0.02,0.131,0.017,True,1.3094648318583631229638243989
0.020,0.03,0.139,0.019,True,1.3043447413189031840701729856
0.020,0.03,0.140,0.019,True,1.3043447413189031840701729856
0.021,0.03,0.134,0.016,True,1.3035846559147106505396303357
0,0.24,0.138,0.001,True,1.3032120336256389089513766161
0,0.24,0.139,0.001,True,1.3032120336256389089513766161
0,0.24,0.140,0.001,True,1.3032120336256389089513766161
0.009,0.29,0.131,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.132,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.133,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.134,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.135,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.136,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.137,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.138,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.139,0.029,False,1.3009390489868274944691032701
0.009,0.29,0.140,0.029,False,1.3009390489868274944691032701
0.018,0.02,0.136,0.016,True,1.2992365471300084318472865047
0.018,0.02,0.137,0.016,True,1.2992365471300084318472865047
0.018,0.02,0.138,0.016,True,1.2992365471300084318472865047
0.018,0.02,0.139,0.016,True,1.2992365471300084318472865047
0.017,0.07,0.138,0.001,False,1.2983822677775053762407325564
0.010,0.28,0.131,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.132,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.133,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.134,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.135,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.136,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.137,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.138,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.139,0.029,False,1.2983676131566266308867771355
0.010,0.28,0.140,0.029,False,1.2983676131566266308867771355
0.022,0.03,0.134,0.015,True,1.2969687903128415632812109439
0.022,0.03,0.135,0.015,True,1.2969687903128415632812109439
0.021,0.08,0.134,0.008,True,1.2966804458568083809993246915
0.021,0.08,0.135,0.008,True,1.2966804458568083809993246915
0.021,0.08,0.136,0.008,True,1.2966804458568083809993246915
0.021,0.08,0.137,0.008,True,1.2966804458568083809993246915
0.022,0.03,0.134,0.014,True,1.2961487382425031771498433010
0.023,0.03,0.131,0.016,True,1.2951100277141310418744117940
0.023,0.03,0.132,0.016,True,1.2951100277141310418744117940
0.023,0.03,0.133,0.016,True,1.2951100277141310418744117940
0.030,0.16,0.140,0.015,True,1.2936710887368673802435685733
0.012,0.28,0.140,0.021,False,1.2926564553008130352837910047
0.020,0.08,0.137,0.009,True,1.2924712633794914731090027743
0.026,0.03,0.137,0.024,True,1.2909918772924526655928048257
0.026,0.03,0.138,0.024,True,1.2909918772924526655928048257
0.026,0.03,0.139,0.024,True,1.2909918772924526655928048257
0.036,0.07,0.137,0.023,False,1.2891008049147867668454957557
0.036,0.07,0.137,0.022,False,1.2881883358753886335989717560
0.017,0.03,0.140,0.016,True,1.2877326171921962860594249368
0.020,0.01,0.137,0.019,True,1.2875352796485614207727067914
0.015,0.02,0.140,0.016,True,1.2872788758669321867096566314
0.019,0.02,0.140,0.018,True,1.2872313542381757138728150098
0.022,0.03,0.131,0.015,True,1.2871649876012374332373645880
0.022,0.03,0.132,0.015,True,1.2871649876012374332373645880
