StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.03,0.180,0.010,False,1.7449786563335576096425885975
0.026,0.03,0.180,0.009,False,1.7338306167323305478221897786
0.027,0.03,0.179,0.010,False,1.7302923338380525457236610107
0.027,0.03,0.180,0.010,False,1.7302923338380525457236610107
0.026,0.03,0.180,0.008,False,1.7238458174591311078133686297
0.027,0.03,0.179,0.009,False,1.7186834886082587121524818824
0.027,0.03,0.180,0.009,False,1.7186834886082587121524818824
0.028,0.03,0.179,0.010,False,1.7130667682782986241709277705
0.028,0.03,0.180,0.010,False,1.7130667682782986241709277705
0.027,0.03,0.179,0.008,False,1.7100672444371674341358526697
0.027,0.03,0.180,0.008,False,1.7100672444371674341358526697
0.028,0.03,0.178,0.009,False,1.7019225837701453840285099057
0.028,0.03,0.179,0.009,False,1.7019225837701453840285099057
0.028,0.03,0.180,0.009,False,1.7019225837701453840285099057
0.029,0.03,0.179,0.010,False,1.6965784580291549878245626256
0.029,0.03,0.180,0.010,False,1.6965784580291549878245626256
0.028,0.03,0.178,0.008,False,1.6942142425142190452542206651
0.028,0.03,0.179,0.008,False,1.6942142425142190452542206651
0.028,0.03,0.180,0.008,False,1.6942142425142190452542206651
0.029,0.03,0.178,0.009,False,1.6854359921821623238590200327
0.029,0.03,0.179,0.009,False,1.6854359921821623238590200327
0.029,0.03,0.180,0.009,False,1.6854359921821623238590200327
0.030,0.03,0.179,0.010,False,1.6819355757134368865126275887
0.030,0.03,0.180,0.010,False,1.6819355757134368865126275887
0.029,0.03,0.178,0.008,False,1.6786177556753484599318403002
0.029,0.03,0.179,0.008,False,1.6786177556753484599318403002
0.029,0.03,0.180,0.008,False,1.6786177556753484599318403002
0.030,0.03,0.178,0.009,False,1.6707948318565020958539174449
0.030,0.03,0.179,0.009,False,1.6707948318565020958539174449
0.030,0.03,0.180,0.009,False,1.6707948318565020958539174449
0.031,0.03,0.179,0.010,False,1.6657163931103323143929222629
0.031,0.03,0.180,0.010,False,1.6657163931103323143929222629
0.030,0.03,0.178,0.008,False,1.6649077192767333333395457472
0.030,0.03,0.179,0.008,False,1.6649077192767333333395457472
0.030,0.03,0.180,0.008,False,1.6649077192767333333395457472
0.031,0.03,0.178,0.009,False,1.6545773745862115307618348477
0.031,0.03,0.179,0.009,False,1.6545773745862115307618348477
0.031,0.03,0.180,0.009,False,1.6545773745862115307618348477
0.031,0.03,0.178,0.008,False,1.6496034634552810875507033882
0.031,0.03,0.179,0.008,False,1.6496034634552810875507033882
0.031,0.03,0.180,0.008,False,1.6496034634552810875507033882
0.032,0.03,0.179,0.010,False,1.6492486206069692157255241457
0.032,0.03,0.180,0.010,False,1.6492486206069692157255241457
0.018,0.01,0.178,0.009,False,1.6433580884691870487046694489
0.018,0.01,0.179,0.009,False,1.6433580884691870487046694489
0.018,0.01,0.180,0.009,False,1.6433580884691870487046694489
0.032,0.03,0.178,0.009,False,1.6381117637138226062898542587
0.032,0.03,0.179,0.009,False,1.6381117637138226062898542587
0.032,0.03,0.180,0.009,False,1.6381117637138226062898542587
0.032,0.03,0.178,0.010,False,1.6369361028486508068147119183
0.032,0.03,0.178,0.008,False,1.6351721178071655527954477018
0.032,0.03,0.179,0.008,False,1.6351721178071655527954477018
0.032,0.03,0.180,0.008,False,1.6351721178071655527954477018
0.021,0.01,0.180,0.010,False,1.6346758265349761150067457055
0.033,0.03,0.179,0.010,False,1.6310734055115815813619152323
0.033,0.03,0.180,0.010,False,1.6310734055115815813619152323
0.019,0.01,0.178,0.009,False,1.6268147811596533340121914949
0.019,0.01,0.179,0.009,False,1.6268147811596533340121914949
0.019,0.01,0.180,0.009,False,1.6268147811596533340121914949
0.020,0,0.180,0.009,False,1.6249067187585071406405220080
0.021,0.01,0.180,0.009,False,1.6246279070357692395025922827
0.022,0.02,0.178,0.002,False,1.6233662615794757857501475880
0.022,0.02,0.179,0.002,False,1.6233662615794757857501475880
0.022,0.02,0.180,0.002,False,1.6233662615794757857501475880
0.020,0,0.178,0.009,False,1.6205394692597130613931083976
0.020,0,0.179,0.009,False,1.6205394692597130613931083976
0.022,0.01,0.179,0.010,False,1.6200069478201218905053029946
0.022,0.01,0.180,0.010,False,1.6200069478201218905053029946
0.033,0.03,0.178,0.009,False,1.6199382815631373811623258324
