StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.001,0.02,0.126,0.009,True,1.3451897843604484244170559192
0.001,0.01,0.126,0.009,True,1.3314768238554177610035807965
0.026,0.03,0.125,0.003,False,1.3204830666179388245584540715
0.026,0.03,0.126,0.003,False,1.3204830666179388245584540715
0.026,0.03,0.127,0.003,False,1.3204830666179388245584540715
0.026,0.03,0.125,0.004,False,1.3167961211341333658437202837
0.026,0.03,0.126,0.004,False,1.3167961211341333658437202837
0.027,0.03,0.124,0.003,False,1.2945030038195190488842205793
0.027,0.03,0.125,0.003,False,1.2945030038195190488842205793
0.027,0.03,0.126,0.003,False,1.2945030038195190488842205793
0.022,0.13,0.129,0.002,False,1.2936812496393551935396658243
0.022,0.13,0.130,0.002,False,1.2936812496393551935396658243
0.023,0,0.125,0.002,False,1.2932073574950879268572757688
0.023,0.01,0.125,0.002,False,1.2899254729190250938429439367
0.022,0.14,0.130,0.002,False,1.2795883851942622718252394487
0.002,0.02,0.126,0.009,True,1.2741448050480025319359279956
0.001,0.17,0.121,0.009,True,1.2712609656308183277256411709
0.001,0.17,0.122,0.009,True,1.2712609656308183277256411709
0.001,0.17,0.123,0.009,True,1.2712609656308183277256411709
0.001,0.17,0.124,0.009,True,1.2712609656308183277256411709
0.027,0.03,0.124,0.004,False,1.2692785142673994600834063216
0.027,0.03,0.125,0.004,False,1.2692785142673994600834063216
0.028,0.03,0.123,0.003,False,1.2666958830590568002379079601
0.028,0.03,0.124,0.003,False,1.2666958830590568002379079601
0.028,0.03,0.125,0.003,False,1.2666958830590568002379079601
0.023,0.13,0.128,0.002,False,1.2641972154894004870980557914
0.023,0.13,0.129,0.002,False,1.2641972154894004870980557914
0.023,0.13,0.130,0.002,False,1.2641972154894004870980557914
0,0.04,0.129,0.006,True,1.2611710666156333773501060119
0,0.02,0.129,0.007,True,1.2608772867864246791211358845
0.002,0.01,0.126,0.009,True,1.2604130120040825014874069889
0.001,0.14,0.121,0.009,True,1.2578137425026450685615627429
0.001,0.14,0.122,0.009,True,1.2578137425026450685615627429
0.001,0.14,0.123,0.009,True,1.2578137425026450685615627429
0.001,0.14,0.124,0.009,True,1.2578137425026450685615627429
0.024,0,0.125,0.002,False,1.2576511460809286331672191424
0,0.03,0.129,0.007,True,1.2574672730819213372311730194
0.001,0,0.126,0.009,True,1.2562344718823311666321946413
0.024,0.01,0.125,0.002,False,1.2547195871258488878782405523
0,0.04,0.129,0.007,True,1.2547076943739213564432174727
0.022,0.16,0.129,0.002,False,1.2532736145164104966932137592
0.022,0.16,0.130,0.002,False,1.2532736145164104966932137592
0.001,0.18,0.121,0.009,True,1.2523852500736390026924696786
0.001,0.18,0.122,0.009,True,1.2523852500736390026924696786
0.001,0.18,0.123,0.009,True,1.2523852500736390026924696786
0.001,0.18,0.124,0.009,True,1.2523852500736390026924696786
0.023,0.14,0.129,0.002,False,1.2501482902947716404837347244
0.023,0.14,0.130,0.002,False,1.2501482902947716404837347244
0.028,0.13,0.125,0.002,False,1.2456737026537737563807367779
0.028,0.13,0.126,0.002,False,1.2456737026537737563807367779
0.028,0.13,0.127,0.002,False,1.2456737026537737563807367779
0.028,0.13,0.128,0.002,False,1.2456737026537737563807367779
0.028,0.13,0.129,0.002,False,1.2456737026537737563807367779
0.028,0.13,0.130,0.002,False,1.2456737026537737563807367779
0,0.02,0.129,0.006,True,1.2454334823231668615573261388
0,0.06,0.130,0.007,True,1.2452267061391161655073847137
0,0.06,0.129,0.006,True,1.2445753704937543368341323741
0.023,0.17,0.128,0.002,False,1.2439923708152693765197084276
0.023,0.17,0.129,0.002,False,1.2439923708152693765197084276
0.023,0.17,0.130,0.002,False,1.2439923708152693765197084276
0.022,0.15,0.129,0.002,False,1.2418143342515858645133721622
0.022,0.15,0.130,0.002,False,1.2418143342515858645133721622
0,0.06,0.129,0.007,True,1.2405724831264980567117516736
0.029,0.03,0.123,0.003,False,1.2393099066449913658520839439
0.028,0.03,0.123,0.004,False,1.2392854516625317196298903471
0.028,0.03,0.124,0.004,False,1.2392854516625317196298903471
0.001,0.02,0.121,0.009,True,1.2386265922699023691603495821
0.001,0.02,0.122,0.009,True,1.2386265922699023691603495821
0,0.03,0.129,0.006,True,1.2364261852949449141429639067
0.001,0.15,0.121,0.009,True,1.2360414815502709217248445534
0.001,0.15,0.122,0.009,True,1.2360414815502709217248445534
0.001,0.15,0.123,0.009,True,1.2360414815502709217248445534
0.001,0.15,0.124,0.009,True,1.2360414815502709217248445534
0.024,0.13,0.127,0.002,False,1.2330128371241650375065224872
0.024,0.13,0.128,0.002,False,1.2330128371241650375065224872
0.024,0.13,0.129,0.002,False,1.2330128371241650375065224872
0.024,0.13,0.130,0.002,False,1.2330128371241650375065224872
0.024,0,0.124,0.002,False,1.2327375785259940403174778954
0.001,0.03,0.121,0.009,True,1.2322038912461050471012764836
0.001,0.03,0.122,0.009,True,1.2322038912461050471012764836
0.026,0.04,0.127,0.003,False,1.2303432249076760196445487162
0.024,0.01,0.124,0.002,False,1.2298060195709142950284993053
0.001,0,0.121,0.009,True,1.2294827597540242508378781667
0.001,0,0.122,0.009,True,1.2294827597540242508378781667
0.005,0.19,0.124,0.009,True,1.2285612517146860140836236782
0.029,0.13,0.123,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.124,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.125,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.126,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.127,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.128,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.129,0.002,False,1.2278656825255243408325801787
0.029,0.13,0.130,0.002,False,1.2278656825255243408325801787
0.040,0.05,0.121,0.003,False,1.2276954763659097981403179173
0.040,0.05,0.122,0.003,False,1.2276954763659097981403179173
0.019,0.28,0.121,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.122,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.123,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.124,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.125,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.126,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.127,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.128,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.129,0.008,False,1.2272223528508911944637051512
0.019,0.28,0.130,0.008,False,1.2272223528508911944637051512
0.001,0.16,0.121,0.009,True,1.2270622807333267605702781247
0.001,0.16,0.122,0.009,True,1.2270622807333267605702781247
0.001,0.16,0.123,0.009,True,1.2270622807333267605702781247
0.001,0.16,0.124,0.009,True,1.2270622807333267605702781247
0.001,0.01,0.121,0.009,True,1.2268139425100271653856634660
0.001,0.01,0.122,0.009,True,1.2268139425100271653856634660
0.040,0.06,0.121,0.003,False,1.2263741517280002883442250286
0.040,0.06,0.122,0.003,False,1.2263741517280002883442250286
0.040,0.06,0.123,0.003,False,1.2263741517280002883442250286
0.022,0.03,0.130,0.004,False,1.2249312635442708095324537340
0.022,0.03,0.129,0.004,False,1.2240371450783176991161456427
0.023,0.16,0.128,0.002,False,1.2218084550891050951195049441
0.023,0.16,0.129,0.002,False,1.2218084550891050951195049441
0.023,0.16,0.130,0.002,False,1.2218084550891050951195049441
0.006,0.17,0.124,0.009,True,1.2212065898968770543434862891
0.001,0.03,0.127,0.008,True,1.2211067445766113231497067228
0.024,0.14,0.128,0.002,False,1.2194056261091674261404944062
0.024,0.14,0.129,0.002,False,1.2194056261091674261404944062
0.024,0.14,0.130,0.002,False,1.2194056261091674261404944062
0.040,0.04,0.121,0.003,False,1.2193301369611770331423883901
0.022,0,0.126,0.002,False,1.2167115629531012139994103378
0.022,0,0.127,0.002,False,1.2167115629531012139994103378
0,0.07,0.130,0.007,True,1.2157900987628103777400946887
0.027,0.01,0.126,0.003,False,1.2151359701698914772939682241
0.031,0.14,0.122,0.025,False,1.2136547646288142845245932865
0,0.07,0.129,0.007,True,1.2135362125109255290957511509
0.022,0.01,0.126,0.002,False,1.2133605859835959104955006412
0.022,0.01,0.127,0.002,False,1.2133605859835959104955006412
0.031,0.14,0.122,0.024,False,1.2132821314308441040981927620
0.027,0.02,0.124,0.003,False,1.2119068873509093317144480139
0.027,0.02,0.125,0.003,False,1.2119068873509093317144480139
0.027,0.02,0.126,0.003,False,1.2119068873509093317144480139
0.029,0.03,0.123,0.004,False,1.2104423685171694798432840552
0.022,0.02,0.126,0.002,False,1.2102842051092738402022084962
0.022,0.02,0.127,0.002,False,1.2102842051092738402022084962
0.024,0.17,0.127,0.002,False,1.2084451394007049715457698334
0.024,0.17,0.128,0.002,False,1.2084451394007049715457698334
0.024,0.17,0.129,0.002,False,1.2084451394007049715457698334
0.024,0.17,0.130,0.002,False,1.2084451394007049715457698334
0.040,0.14,0.130,0.023,True,1.2068780805431040863758494269
0.024,0.15,0.130,0.002,False,1.2061214190017351904538912515
0.021,0.13,0.130,0.002,False,1.2061013779141433673905891453
0.018,0.03,0.130,0.002,False,1.2051241789776711975352980933
0.030,0.01,0.126,0.024,False,1.2051201520233715091761527393
0.005,0.20,0.124,0.009,True,1.2050862058162024371464890278
0.018,0.23,0.130,0.008,False,1.2045517536960591594320865313
0.025,0.13,0.126,0.002,False,1.2030911456653011428250430190
0.025,0.13,0.127,0.002,False,1.2030911456653011428250430190
0.025,0.13,0.128,0.002,False,1.2030911456653011428250430190
0.025,0.13,0.129,0.002,False,1.2030911456653011428250430190
0.025,0.13,0.130,0.002,False,1.2030911456653011428250430190
0.030,0.13,0.123,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.124,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.125,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.126,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.127,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.128,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.129,0.002,False,1.2016806168598384073932785269
0.030,0.13,0.130,0.002,False,1.2016806168598384073932785269
0.022,0.03,0.126,0.002,False,1.2003700910172769879785892374
0.022,0.03,0.127,0.002,False,1.2003700910172769879785892374
0.002,0.17,0.121,0.009,True,1.1979136429917537543445514489
0.002,0.17,0.122,0.009,True,1.1979136429917537543445514489
0.002,0.17,0.123,0.009,True,1.1979136429917537543445514489
0.002,0.17,0.124,0.009,True,1.1979136429917537543445514489
0.006,0.06,0.125,0.010,True,1.1969886007853729196005642313
0.025,0.16,0.130,0.002,False,1.1957944221535309669892567436
0.020,0.28,0.121,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.122,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.123,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.124,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.125,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.126,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.127,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.128,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.129,0.008,False,1.1947789756645174802688457633
0.020,0.28,0.130,0.008,False,1.1947789756645174802688457633
0.040,0.14,0.130,0.020,True,1.1940939768130731815577250633
0.040,0,0.126,0.003,False,1.1933406377516273729667098396
0.040,0,0.127,0.003,False,1.1933406377516273729667098396
0.040,0,0.128,0.003,False,1.1933406377516273729667098396
0.040,0,0.129,0.003,False,1.1933406377516273729667098396
0.040,0,0.130,0.003,False,1.1933406377516273729667098396
0.040,0.01,0.128,0.003,False,1.1920610881389045158350145678
0.040,0.01,0.129,0.003,False,1.1920610881389045158350145678
0.040,0.01,0.130,0.003,False,1.1920610881389045158350145678
0.031,0.02,0.123,0.023,False,1.1913095473921599677051252685
0.031,0.02,0.124,0.023,False,1.1913095473921599677051252685
0.031,0.02,0.125,0.023,False,1.1913095473921599677051252685
0.031,0.02,0.126,0.023,False,1.1913095473921599677051252685
0.022,0.03,0.128,0.002,False,1.1902102909596078235050134148
0.040,0.14,0.130,0.024,True,1.1900808306285751180828533907
0.025,0.14,0.127,0.002,False,1.1900457874576568183468537854
0.025,0.14,0.128,0.002,False,1.1900457874576568183468537854
0.025,0.14,0.129,0.002,False,1.1900457874576568183468537854
0.025,0.14,0.130,0.002,False,1.1900457874576568183468537854
0.031,0.02,0.123,0.024,False,1.1900326208039828997419365914
0.031,0.02,0.124,0.024,False,1.1900326208039828997419365914
0.031,0.02,0.125,0.024,False,1.1900326208039828997419365914
0.006,0.05,0.125,0.010,True,1.1897699171960989597545730994
0.024,0.16,0.127,0.002,False,1.1893353281559206168057828861
0.024,0.16,0.128,0.002,False,1.1893353281559206168057828861
0.024,0.16,0.129,0.002,False,1.1893353281559206168057828861
0.024,0.16,0.130,0.002,False,1.1893353281559206168057828861
0.028,0.13,0.123,0.002,False,1.1891272678271628068718134408
0.028,0.13,0.124,0.002,False,1.1891272678271628068718134408
0.040,0.02,0.129,0.003,False,1.1889780385098767177610178907
0.040,0.02,0.130,0.003,False,1.1889780385098767177610178907
0.032,0.14,0.122,0.025,False,1.1883639605541978639968230967
0.002,0,0.126,0.009,True,1.1881772438299095666575426290
0.032,0.14,0.121,0.024,False,1.1875329253331453925592866670
0.032,0.14,0.122,0.024,False,1.1875329253331453925592866670
0.018,0.10,0.130,0.002,False,1.1861632809771491863727205329
0.001,0.17,0.125,0.009,True,1.1855982109464934323961346525
0.001,0.17,0.126,0.009,True,1.1855982109464934323961346525
