StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.09,0.081,0.012,True,1.7145327290468967300231084307
0.025,0.10,0.083,0.009,True,1.6656689015399145779283465436
0.021,0.19,0.081,0.012,True,1.6585390264035204996460757026
0.040,0.01,0.088,0.002,True,1.6481957926124707849480492107
0.039,0,0.089,0.002,False,1.6317811884646540712678539343
0.020,0.11,0.082,0.001,True,1.6267752937972769379388536039
0.020,0.10,0.081,0.012,True,1.6194753515258790070118020700
0.040,0,0.088,0.002,True,1.6166303372186464487833319487
0.020,0.09,0.082,0.011,True,1.6121091176109373124126406899
0.016,0.08,0.083,0.024,False,1.6076785036138527045408483231
0.039,0.08,0.090,0.022,False,1.6073555235407326343414782089
0.016,0.09,0.082,0.023,False,1.6058623654936746228636737900
0.020,0.10,0.082,0.011,True,1.6025772146416910078268182446
0.030,0.04,0.089,0.022,False,1.6007673742492289607299073449
0.039,0.08,0.090,0.021,False,1.5997604425447421407402940796
0.026,0.10,0.083,0.009,True,1.5969986562339298485551886985
0.040,0,0.089,0.002,False,1.5857084843355130582291858383
0.030,0.05,0.089,0.022,False,1.5815385558860134485541918303
0.021,0.17,0.087,0.012,False,1.5758736437889394616210165003
0.030,0.06,0.089,0.022,False,1.5756332840939305243929162584
0.035,0,0.081,0.021,False,1.5716443178371529710938766068
0.020,0.16,0.087,0.013,False,1.5679825779816981605825486466
0.034,0.02,0.084,0.022,False,1.5650881304174584039177125965
0.034,0,0.084,0.022,False,1.5646704185688602809096005761
0.018,0.05,0.088,0.013,True,1.5629140825730529530808526881
0.035,0.01,0.081,0.021,False,1.5624815691920772352367525928
0.030,0.07,0.089,0.022,False,1.5621673361641710088360528633
0.040,0.08,0.090,0.022,False,1.5619164887993123664420928694
0.034,0.02,0.084,0.021,False,1.5611771382403205300071158960
0.034,0,0.084,0.021,False,1.5606413347556211633089163971
0.033,0.02,0.084,0.022,False,1.5605762722413715737897728017
0.033,0,0.084,0.022,False,1.5602443558158727901773286882
0.034,0.03,0.084,0.022,False,1.5588179816274849725708499984
0.033,0.02,0.084,0.021,False,1.5570136444531493091759228045
0.033,0,0.084,0.021,False,1.5565658065111742594630285870
0.034,0.01,0.084,0.022,False,1.5551667598114906507337451545
0.034,0.03,0.084,0.021,False,1.5549129533160578720644229914
0.040,0.08,0.090,0.021,False,1.5547478404926565252689648749
0.033,0.03,0.084,0.022,False,1.5546099196039183112869688173
0.034,0.01,0.084,0.021,False,1.5511367152384961321238661277
0.033,0.03,0.084,0.021,False,1.5510528730181485004581738891
0.033,0.01,0.084,0.022,False,1.5509491238551103453599619284
0.030,0.08,0.089,0.022,False,1.5509482957694696267574860289
0.035,0,0.082,0.021,False,1.5497875116176168400174466992
0.035,0.02,0.083,0.020,False,1.5495662594025776817511403661
