StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.03,0.115,0.003,False,1.8346982363251352191976282285
0.034,0,0.113,0.003,False,1.7527802730494413945688798788
0.040,0.03,0.112,0.003,False,1.7372801332467128698646138657
0.040,0.03,0.113,0.003,False,1.7372801332467128698646138657
0.040,0.03,0.114,0.003,False,1.7372801332467128698646138657
0.035,0,0.112,0.003,False,1.7064698505122853571697673668
0.035,0,0.113,0.003,False,1.7064698505122853571697673668
0.040,0.01,0.119,0.002,False,1.6967124799560860812823452208
0.036,0,0.111,0.003,False,1.6701770188058533683979471312
0.036,0,0.112,0.003,False,1.6701770188058533683979471312
0.025,0.02,0.111,0.008,True,1.6581894644609871535345218720
0.034,0,0.112,0.003,False,1.6474460597463477707649685658
0.039,0.01,0.116,0.033,False,1.6457892010131400442165998545
0.037,0,0.111,0.003,False,1.6346570543777655769920505760
0.026,0,0.120,0.003,False,1.6342950959799505020890783461
0.039,0.01,0.119,0.002,False,1.6242494319296003316210724142
0.025,0.02,0.118,0.001,True,1.6130180926447251651180012709
0.025,0.02,0.119,0.001,True,1.6130180926447251651180012709
0.025,0.02,0.117,0.001,True,1.6126276659159010013081063308
0.035,0,0.112,0.007,False,1.6106578655498682258360192902
0.039,0.01,0.116,0.030,False,1.6076970363253675452984566548
0.039,0.01,0.116,0.031,False,1.6063446378173706928623368601
0.026,0.02,0.111,0.008,True,1.6048850237380714085338071516
0.035,0,0.111,0.003,False,1.6039370997275482831946679920
0.039,0.01,0.116,0.032,False,1.6038308322813347926609712100
0.034,0.04,0.112,0.008,False,1.5922745132814159718956165819
0.040,0.03,0.116,0.003,False,1.5869259367502620871260353867
0.040,0.03,0.117,0.003,False,1.5869259367502620871260353867
0.040,0.03,0.118,0.003,False,1.5869259367502620871260353867
0.040,0.03,0.119,0.003,False,1.5869259367502620871260353867
0.040,0.01,0.115,0.011,True,1.5827055542371488802172285737
0.035,0,0.114,0.003,False,1.5724861947158787089207009535
0.036,0,0.111,0.007,False,1.5717390560656481245579030252
0.036,0,0.112,0.007,False,1.5717390560656481245579030252
0.034,0,0.114,0.003,False,1.5703571038201252284915432598
0.027,0.02,0.111,0.008,True,1.5647824738220481550033737104
0.039,0.02,0.116,0.030,False,1.5647688861096654359782126194
0.039,0.02,0.116,0.031,False,1.5622854929373963009524561164
0.027,0,0.119,0.003,False,1.5605452742955378171058573312
0.025,0.02,0.115,0.001,True,1.5595849932945765137893733471
0.025,0.02,0.116,0.001,True,1.5595849932945765137893733471
0.039,0.02,0.116,0.032,False,1.5587356280334279611252047164
0.039,0.02,0.119,0.002,False,1.5541512609456058973074695446
0.026,0.02,0.116,0.001,True,1.5525708090365699433266818041
0.026,0.02,0.117,0.001,True,1.5525708090365699433266818041
0.026,0.02,0.118,0.001,True,1.5525708090365699433266818041
0.026,0.02,0.119,0.001,True,1.5525708090365699433266818041
0.040,0.02,0.118,0.002,False,1.5438847723898648525072623716
0.040,0.03,0.118,0.002,False,1.5438847723898648525072623716
0.040,0.02,0.119,0.002,False,1.5438847723898648525072623716
0.040,0.03,0.119,0.002,False,1.5438847723898648525072623716
0.025,0.02,0.118,0.003,True,1.5356497395664070293346545040
0.025,0.02,0.119,0.003,True,1.5356497395664070293346545040
0.037,0,0.111,0.007,False,1.5316558582731256195354378736
0.035,0.02,0.111,0.038,True,1.5313834691502962690024627314
0.034,0.02,0.112,0.038,True,1.5308100774749925821289328218
0.025,0.02,0.115,0.003,True,1.5232931171025493716279137505
0.025,0.02,0.116,0.003,True,1.5232931171025493716279137505
0.025,0.02,0.117,0.003,True,1.5232931171025493716279137505
0.027,0.02,0.111,0.024,False,1.5216696673450878078513224392
0.027,0.01,0.111,0.008,True,1.5198257477068165302331502787
0.039,0.01,0.116,0.029,False,1.5192589686377317691238123157
0.027,0.02,0.116,0.003,True,1.5186916987578370225598357541
0.027,0.02,0.117,0.003,True,1.5186916987578370225598357541
0.027,0.02,0.118,0.003,True,1.5186916987578370225598357541
0.025,0.02,0.115,0.002,True,1.5183695684537603207135182614
0.025,0.02,0.116,0.002,True,1.5183695684537603207135182614
0.025,0.02,0.117,0.002,True,1.5183695684537603207135182614
0.025,0.02,0.118,0.002,True,1.5183695684537603207135182614
0.025,0.02,0.119,0.002,True,1.5183695684537603207135182614
0.028,0,0.118,0.003,False,1.5179543643556546503390592478
0.028,0,0.119,0.003,False,1.5179543643556546503390592478
0.027,0.02,0.115,0.001,True,1.5146675392176051740017021662
0.027,0.02,0.116,0.001,True,1.5146675392176051740017021662
0.027,0.02,0.117,0.001,True,1.5146675392176051740017021662
0.027,0.02,0.118,0.001,True,1.5146675392176051740017021662
0.040,0.02,0.116,0.003,False,1.5087871968927688818817562856
0.040,0.02,0.117,0.003,False,1.5087871968927688818817562856
0.040,0.02,0.118,0.003,False,1.5087871968927688818817562856
0.040,0.02,0.119,0.003,False,1.5087871968927688818817562856
0.035,0.02,0.111,0.032,False,1.5068548281098706520821268743
0.026,0.04,0.115,0.003,False,1.5038126220945411785085884717
