StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0,0.076,0.024,False,1.6893776897429120553889053712
0.019,0,0.075,0.011,True,1.6819532496592111304928474120
0.022,0,0.072,0.014,True,1.6636450390590888067029345806
0.020,0,0.071,0.001,True,1.6464508465834472788262649571
0.021,0,0.077,0.015,True,1.6422507777530852327281041325
0.021,0,0.076,0.015,True,1.6417937272685133793119196709
0.021,0,0.074,0.001,True,1.6386043344881485290107642818
0.039,0.27,0.076,0.016,True,1.6383985770061668270632910362
0.039,0.27,0.075,0.017,True,1.6367576417629476690191444338
0.039,0.27,0.076,0.017,True,1.6367576417629476690191444338
0.020,0,0.072,0.012,True,1.6284828032349572315698623462
0.015,0,0.075,0.024,False,1.6270495889844660767442283102
0.022,0,0.076,0.015,True,1.6234267436663122075721017026
0.022,0,0.073,0.014,True,1.6215353418902531340839891995
0.019,0,0.073,0.001,True,1.6206854517829975373936652064
0.040,0.27,0.075,0.017,True,1.6200357316925720183206563662
0.040,0.27,0.076,0.017,True,1.6200357316925720183206563662
0.016,0,0.079,0.024,False,1.6174716464434414246987217481
0.022,0,0.077,0.015,True,1.6132013873103224019436427011
0.040,0.26,0.075,0.017,True,1.6086730662372629217974317355
0.040,0.26,0.076,0.017,True,1.6086730662372629217974317355
0.040,0.27,0.076,0.016,True,1.6058772955012900439581301046
0.028,0,0.071,0.007,True,1.6048502897472086284531874649
0.019,0,0.072,0.001,True,1.6004121870966493643464792765
0.020,0,0.075,0.011,True,1.5979352829953739633610314356
0.019,0,0.072,0.012,True,1.5950581021262988591746932566
0.022,0,0.079,0.016,True,1.5868003706587469085086530760
0.019,0,0.073,0.002,True,1.5819980892965525233710833953
0.032,0.07,0.072,0.003,False,1.5694555390307070370530581434
0.032,0.06,0.072,0.003,False,1.5694555390307070370530581434
0.025,0.13,0.077,0.010,False,1.5693703796358277198394360332
0.019,0,0.071,0.001,True,1.5665918239849756967713847904
0.039,0.27,0.075,0.014,True,1.5623247178082028881634326494
0.039,0.27,0.076,0.014,True,1.5623247178082028881634326494
0.016,0,0.080,0.024,False,1.5589571915165545460332116360
0.039,0.26,0.075,0.017,True,1.5578775375792534017057807013
0.039,0.26,0.076,0.017,True,1.5578775375792534017057807013
0.039,0.26,0.077,0.017,True,1.5578775375792534017057807013
0.027,0,0.075,0.018,True,1.5576722263307029250078761527
0.034,0.12,0.071,0.003,False,1.5563870972112134144637903007
0.025,0.13,0.077,0.011,False,1.5558602800853340315711409587
0.039,0.27,0.075,0.015,True,1.5548819400042863715107854549
0.039,0.27,0.076,0.015,True,1.5548819400042863715107854549
0.016,0,0.078,0.024,False,1.5506675890065072163116394728
0.033,0.12,0.071,0.003,False,1.5497186947710325877080447494
0.039,0.27,0.075,0.016,True,1.5489245308587171302998365336
0.040,0.27,0.075,0.018,True,1.5488502090889275491283278573
0.034,0.11,0.071,0.003,False,1.5478274823675874874615790228
0.020,0,0.074,0.011,True,1.5449351799443718290316248011
0.033,0.11,0.071,0.003,False,1.5432095201109424477425819874
0.040,0.26,0.075,0.018,True,1.5377236393382247496820456065
0.022,0,0.073,0.015,True,1.5356864256307441961389031794
0.019,0,0.073,0.011,True,1.5354895671841253978920969924
0.021,0,0.074,0.015,True,1.5346601229460665307021210258
0.039,0.27,0.077,0.015,True,1.5337633874917059059154897113
0.039,0.27,0.078,0.015,True,1.5337633874917059059154897113
0.034,0.11,0.072,0.003,False,1.5303287972176907370111644085
0.027,0,0.073,0.002,True,1.5296606165432276798894035170
0.040,0.27,0.075,0.014,True,1.5276553836891911219890361133
0.040,0.27,0.076,0.014,True,1.5276553836891911219890361133
0.039,0.27,0.077,0.016,True,1.5276329862283547972785885000
0.039,0.27,0.078,0.016,True,1.5276329862283547972785885000
0.011,0,0.071,0.024,False,1.5267799906386595690474311288
0.039,0.27,0.079,0.016,True,1.5262686847710333485316376699
0.039,0.27,0.077,0.017,True,1.5259920509851356392344418976
0.039,0.27,0.078,0.017,True,1.5259920509851356392344418976
0.039,0.27,0.075,0.013,True,1.5250076645873541806847634040
0.039,0.27,0.076,0.013,True,1.5250076645873541806847634040
0.039,0.27,0.079,0.017,True,1.5246277495278141904874910675
0.020,0,0.071,0.012,True,1.5233463540016389142628811322
0.034,0.14,0.071,0.003,False,1.5227390655143068387816285956
0.034,0.13,0.071,0.003,False,1.5222149271444328506101163155
0.019,0,0.071,0.012,True,1.5213889764263870764675756082
0.033,0.11,0.073,0.003,False,1.5213266910487541230119980178
0.026,0.05,0.079,0.003,False,1.5212883733694137800381425323
0.040,0.27,0.075,0.015,True,1.5202153761517246881712608943
0.040,0.27,0.076,0.015,True,1.5202153761517246881712608943
0.033,0.11,0.072,0.003,False,1.5201620008209864956721935146
0.021,0,0.072,0.013,True,1.5184623630258979557468392044
0.021,0,0.073,0.013,True,1.5184199308328928450660461242
0.016,0.17,0.073,0.023,False,1.5178147732697491266015147869
0.026,0.06,0.079,0.003,False,1.5163961926459174355693194395
0.039,0.27,0.074,0.014,True,1.5156080790293487922147241139
0.033,0.13,0.071,0.003,False,1.5155966616138620095523663726
0.033,0.14,0.071,0.003,False,1.5155394175206460114796375760
0.021,0,0.074,0.013,True,1.5152063256969661139304221371
0.026,0.07,0.079,0.003,False,1.5143988600842617135149025710
0.040,0.27,0.075,0.016,True,1.5142616509155407900598361566
0.040,0.26,0.077,0.017,True,1.5138005274603916570035551507
0.021,0,0.076,0.013,True,1.5132273806504169056896380549
0.016,0.17,0.072,0.023,False,1.5113419305901938434346221578
0.015,0,0.077,0.024,False,1.5103539378940001766504370756
0.014,0,0.080,0.022,False,1.5075023230330292541719741851
0.039,0.27,0.074,0.015,True,1.5069748614981441238582192297
0.014,0,0.078,0.022,False,1.5041948174584748107657085410
0.014,0,0.079,0.022,False,1.5040896515100995821137202004
0.034,0.11,0.073,0.003,False,1.5036091608743374838118458201
0.028,0.06,0.079,0.003,False,1.5033583198955202055736561114
0.027,0,0.072,0.002,True,1.5031860693617719978975649528
0.034,0.12,0.072,0.003,False,1.5021164371511902981604809397
0.034,0.12,0.073,0.003,False,1.5021164371511902981604809397
0.021,0.05,0.078,0.015,True,1.5018592157087981877654363335
0.019,0.01,0.072,0.001,True,1.5016733512146826622572477092
0.019,0.01,0.073,0.001,True,1.5016733512146826622572477092
0.040,0.27,0.077,0.015,True,1.5014885175547050530424857804
0.028,0.07,0.079,0.003,False,1.5013554115084240390318503191
0.039,0.27,0.074,0.016,True,1.5001264629012101418954209906
0.016,0.15,0.072,0.023,False,1.4995865074248490851174624456
0.039,0.27,0.075,0.011,True,1.4988083548677241335973143501
0.032,0.06,0.073,0.003,False,1.4985757727858369359636769151
0.032,0.07,0.073,0.003,False,1.4985757727858369359636769151
0.039,0.27,0.074,0.017,True,1.4977687314948599753744494187
0.022,0,0.074,0.015,True,1.4973216893393793378862766900
0.032,0,0.071,0.003,False,1.4970888098072668691126894965
0.040,0.27,0.074,0.018,True,1.4960320302115476398326710151
0.027,0,0.074,0.018,True,1.4956676755745369282745004038
0.040,0.27,0.077,0.016,True,1.4953618002007392875051087527
0.040,0.27,0.078,0.016,True,1.4953618002007392875051087527
