StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.03,0.112,0.009,False,1.8705125064335195687507390846
0.039,0.02,0.119,0.008,False,1.8331803328046116667841177689
0.040,0.02,0.118,0.008,False,1.8029556752668267882714366379
0.039,0.03,0.119,0.008,False,1.7938265500393361766843561512
0.039,0.04,0.119,0.008,False,1.7842928602737286442644181316
0.039,0.05,0.119,0.008,False,1.7717330970737509331352893668
0.040,0.03,0.118,0.008,False,1.7652483505685680958938488286
0.040,0.03,0.119,0.008,False,1.7652483505685680958938488286
0.037,0.02,0.112,0.001,False,1.7635438179112752029216695320
0.037,0.03,0.112,0.001,False,1.7587935248602575672665371191
0.040,0.04,0.118,0.008,False,1.7550396548203275300581328979
0.040,0.04,0.119,0.008,False,1.7550396548203275300581328979
0.037,0,0.112,0.001,False,1.7537339359474221613006944841
0.039,0.05,0.118,0.009,False,1.7522467163946375741755926348
0.039,0.05,0.119,0.009,False,1.7522467163946375741755926348
0.033,0.07,0.113,0.005,True,1.7510510588977303078217991853
0.037,0.02,0.111,0.001,False,1.7507228454667771535956579359
0.039,0.07,0.112,0.005,True,1.7497128038809321054050678055
0.037,0.03,0.111,0.001,False,1.7491063029699585266687463292
0.032,0.04,0.112,0.009,False,1.7484987821177687179196035199
0.033,0.07,0.113,0.006,True,1.7480317063934503875110329056
0.033,0.07,0.114,0.006,True,1.7478695886579228979966146074
0.040,0.05,0.118,0.008,False,1.7431808823589344203918953111
0.040,0.05,0.119,0.008,False,1.7431808823589344203918953111
0.037,0.04,0.111,0.001,False,1.7431743215297056270310808128
0.039,0.06,0.112,0.001,True,1.7424817939083054788298249400
0.039,0.07,0.112,0.004,True,1.7421811097513038846923022942
0.036,0.03,0.115,0.013,True,1.7408782635140117540643053279
0.039,0.06,0.112,0.002,True,1.7367192192693117269059977360
0.040,0.08,0.119,0.008,True,1.7354425453133047844277643643
0.039,0.07,0.112,0.001,True,1.7348976495928367513143553272
0.037,0.05,0.111,0.001,False,1.7342543682362851942453220881
0.035,0.07,0.112,0.005,True,1.7335707752176237561087838985
0.035,0.05,0.115,0.013,True,1.7332700744002902820714045770
0.039,0.07,0.112,0.003,True,1.7330442126747998194029747271
0.032,0.03,0.112,0.010,False,1.7325240030541002406943296104
