StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.03,0.141,0.003,False,1.7442435742406222985358586018
0.040,0.05,0.141,0.003,False,1.7372304269979547965006442733
0.026,0.02,0.148,0.022,False,1.7368864855738767564749900127
0.040,0.04,0.141,0.003,False,1.7344152862998741616110173347
0.040,0.06,0.141,0.003,False,1.7289655167875939852206755575
0.032,0.03,0.144,0.010,True,1.7232761360290571667013275580
0.040,0.07,0.141,0.003,False,1.7195101010445016501071835664
0.039,0.01,0.141,0.002,False,1.7172764453003482446636814178
0.039,0.03,0.141,0.003,False,1.7081959786040164936011477702
0.032,0.04,0.144,0.010,True,1.7028713098883264337079701086
0.033,0.06,0.150,0.005,True,1.7019127753629186746969555444
0.039,0.05,0.141,0.003,False,1.7010475226919981739908652279
0.039,0.04,0.141,0.003,False,1.6982021079104725652701203916
0.040,0,0.143,0.010,False,1.6971175044098158268021442178
0.040,0.01,0.143,0.010,False,1.6954361232469736773244847700
0.033,0.06,0.149,0.005,True,1.6943258155688448935877895372
0.040,0.02,0.143,0.010,False,1.6935324293523631785654545294
0.039,0.06,0.141,0.003,False,1.6931571375061555833749294250
0.033,0.03,0.144,0.011,True,1.6880330893980905945871137567
0.040,0.03,0.141,0.001,False,1.6842215824700559704537853802
0.032,0.05,0.144,0.010,True,1.6829624673024663600232054347
0.039,0.07,0.141,0.003,False,1.6822486090081020434224865705
0.040,0,0.143,0.009,False,1.6759020631463991997585775885
0.033,0.04,0.144,0.011,True,1.6758273788946667743641808948
0.040,0,0.143,0.011,False,1.6749786041063308153768183095
0.040,0,0.144,0.011,False,1.6749786041063308153768183095
0.040,0.01,0.143,0.009,False,1.6742186922184115176145706656
0.040,0.01,0.143,0.011,False,1.6732987122638207843332212725
0.040,0.01,0.144,0.011,False,1.6732987122638207843332212725
0.040,0.05,0.141,0.001,False,1.6729168150642459939356315153
0.040,0.02,0.143,0.009,False,1.6723139651035918056119172098
0.040,0.04,0.141,0.001,False,1.6719918915948331865017429325
0.040,0.02,0.143,0.011,False,1.6718871381701672863861398345
0.040,0.02,0.144,0.011,False,1.6718871381701672863861398345
0.039,0.08,0.141,0.003,False,1.6684544822896778647958130217
0.025,0.06,0.148,0.022,False,1.6663254564982586197461267467
0.027,0.02,0.148,0.021,False,1.6614436025922582895391030309
0.033,0.06,0.149,0.004,True,1.6606223034211572666013324282
0.040,0,0.143,0.013,False,1.6605017517264619348120557296
0.040,0,0.144,0.013,False,1.6605017517264619348120557296
0.033,0.05,0.144,0.011,True,1.6595365684880087072502743751
0.040,0.01,0.143,0.013,False,1.6588253249931894724828124127
0.040,0.01,0.144,0.013,False,1.6588253249931894724828124127
0.040,0.02,0.143,0.013,False,1.6574166500409314070267402538
0.040,0.02,0.144,0.013,False,1.6574166500409314070267402538
0.039,0.09,0.141,0.003,False,1.6553816942048797682499776421
0.040,0,0.143,0.012,False,1.6528981904052373848281375717
0.040,0,0.144,0.012,False,1.6528981904052373848281375717
0.039,0.03,0.141,0.001,False,1.6520721257773338943968350263
0.040,0.01,0.143,0.012,False,1.6512202803311187424724083798
0.040,0.01,0.144,0.012,False,1.6512202803311187424724083798
0.033,0.02,0.150,0.005,True,1.6508995334580066251374964448
0.033,0.06,0.148,0.005,True,1.6506574598521354957975122391
0.040,0.02,0.143,0.012,False,1.6498103643170193730608430389
0.040,0.02,0.144,0.012,False,1.6498103643170193730608430389
0.035,0.05,0.150,0.006,True,1.6485225680466986794744901228
0.033,0.02,0.148,0.005,True,1.6478399344513740710050268568
0.033,0.02,0.149,0.005,True,1.6478399344513740710050268568
0.035,0,0.141,0.009,False,1.6472599112484772817013641585
0.035,0.01,0.141,0.009,False,1.6459385562674079391211782244
0.032,0.03,0.142,0.010,True,1.6457588359041980292665157430
0.032,0.03,0.143,0.010,True,1.6457588359041980292665157430
0.035,0.02,0.141,0.009,False,1.6440253335735602831087988956
0.026,0.03,0.148,0.022,False,1.6430470997134126010437928029
0.039,0.05,0.141,0.001,False,1.6419716454187737647331822983
0.040,0.08,0.141,0.003,False,1.6417613660705372186382502016
0.033,0.02,0.144,0.005,True,1.6414890647222538345924444187
0.039,0.04,0.141,0.001,False,1.6402233120163946460995913796
0.033,0.04,0.150,0.005,True,1.6401717964272419261944169491
0.035,0.05,0.150,0.007,True,1.6388716896957659171315866185
0.035,0.03,0.141,0.009,False,1.6385189779585143524355733786
0.033,0.04,0.148,0.005,True,1.6379350816604819345715845023
