StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.04,0.091,0.011,False,2.0567304743473370206951683338
0.026,0,0.095,0.011,False,2.0295500971278403246011049604
0.024,0,0.095,0.011,False,2.0276832017407278368921167309
0.024,0,0.096,0.011,False,2.0276832017407278368921167309
0.026,0.03,0.092,0.011,False,2.0254470671308836831466172355
0.026,0.03,0.093,0.011,False,2.0247566104783136157477508581
0.026,0.01,0.094,0.011,False,2.0235006267399610880313051517
0.026,0.01,0.095,0.011,False,2.0235006267399610880313051517
0.026,0.01,0.096,0.011,False,2.0235006267399610880313051517
0.024,0.03,0.092,0.011,False,2.0204169384115996571215863256
0.024,0.03,0.093,0.011,False,2.0197264817590295897227199482
0.024,0.01,0.096,0.011,False,2.0196055712856001762147858243
0.025,0,0.091,0.011,False,2.0191922411228955310697055919
0.025,0,0.095,0.011,False,2.0149484284537289044932840096
0.025,0,0.096,0.011,False,2.0149484284537289044932840096
0.025,0.03,0.092,0.011,False,2.0090943097867662627658648155
0.025,0.01,0.096,0.011,False,2.0090613770706013575759189285
0.025,0.03,0.093,0.011,False,2.0084038531341961953669984381
0.024,0.01,0.094,0.011,False,2.0061503609734432940177526775
0.024,0.01,0.095,0.011,False,2.0061503609734432940177526775
0.025,0.01,0.094,0.011,False,1.9936189404742684755779146882
0.025,0.01,0.095,0.011,False,1.9936189404742684755779146882
0.027,0.02,0.093,0.011,False,1.9709850729380138207722335169
0.027,0.03,0.092,0.011,False,1.9707873785542118206736240178
0.025,0.03,0.094,0.011,False,1.9701090936689793667480211896
0.025,0.03,0.095,0.011,False,1.9701090936689793667480211896
0.027,0.03,0.093,0.011,False,1.9700969219016417532747576404
0.027,0.01,0.094,0.011,False,1.9664093706165525622785582098
0.027,0.01,0.095,0.011,False,1.9664093706165525622785582098
0.028,0.02,0.093,0.011,False,1.9365810782903969114182419940
0.030,0.04,0.094,0.011,False,1.9223983983233003144361683775
0.028,0.03,0.092,0.011,False,1.9181347225183438274638755651
0.028,0.03,0.093,0.011,False,1.9174442658657737600650091877
0.016,0.03,0.095,0.024,False,1.8954115209206370802887546338
0.025,0.01,0.092,0.011,False,1.8894430629961285643989501248
0.025,0.01,0.093,0.011,False,1.8887522507298403422085445090
0.025,0,0.094,0.011,False,1.8745499368650134514347079538
0.025,0.01,0.091,0.011,False,1.8730291396718969437888770509
0.029,0.03,0.092,0.011,False,1.8642122799678748994694619721
0.028,0.02,0.094,0.011,False,1.8604208126896774857608989496
0.030,0.04,0.091,0.011,False,1.8563064175861297999198621773
0.025,0.03,0.091,0.011,False,1.8452271270121529864116648802
0.025,0,0.093,0.011,False,1.8408643681670135670067044039
0.026,0,0.096,0.011,False,1.8405942765533725699194759426
0.016,0.03,0.095,0.023,False,1.8396907313838295782748530839
0.029,0.02,0.092,0.011,False,1.8356247628576715703440384161
0.024,0,0.091,0.010,False,1.8314649929350996725474361207
0.026,0,0.094,0.011,False,1.8301113675431511783986581132
0.025,0,0.092,0.011,False,1.8287967553405720561858943079
0.024,0.01,0.097,0.011,False,1.8149898804577102008399908334
0.022,0.04,0.091,0.006,False,1.8145544929805635853242660847
0.025,0,0.091,0.010,False,1.8136347385505566329791437847
0.026,0.04,0.093,0.010,False,1.8134389070074742132375342457
0.026,0.04,0.094,0.010,False,1.8134389070074742132375342457
0.026,0.04,0.094,0.011,False,1.8077135331338771052011860265
0.030,0.04,0.093,0.011,False,1.8053062011215714460630520400
0.016,0,0.094,0.011,False,1.8030839362212738264360693622
0.025,0.01,0.097,0.011,False,1.8019684737304833219020027014
0.016,0,0.093,0.011,False,1.7995907606925652769805301611
0.026,0,0.093,0.011,False,1.7964308936866925223856056200
0.025,0.04,0.093,0.010,False,1.7955985483027676697542384584
0.025,0.04,0.094,0.010,False,1.7955985483027676697542384584
0.026,0.01,0.092,0.011,False,1.7941027862670731782893059657
0.026,0.01,0.093,0.011,False,1.7934119740007849560989003499
0.022,0,0.095,0.011,False,1.7878399862336974658889770246
0.022,0,0.096,0.011,False,1.7878399862336974658889770246
0.025,0.04,0.094,0.011,False,1.7869736649450600538379293298
0.024,0.01,0.092,0.011,False,1.7865911167925559645722180336
0.024,0.01,0.093,0.011,False,1.7859003045262677423818124178
0.026,0,0.092,0.011,False,1.7843908637648812285439537298
0.026,0,0.091,0.011,False,1.7811444522119511921421770704
0.030,0.04,0.092,0.011,False,1.7807696168347684511314306636
0.026,0.04,0.091,0.010,False,1.7786817270362764446959911536
0.026,0.01,0.091,0.011,False,1.7777080628659350608556379653
0.024,0,0.094,0.011,False,1.7744614232138135754750385666
0.027,0.02,0.092,0.011,False,1.7741804787659445373394896213
0.024,0.01,0.091,0.011,False,1.7704626150191454837309201471
0.024,0,0.097,0.011,False,1.7687274478869818812935522450
0.027,0.04,0.093,0.010,False,1.7670482932877844718631850471
0.027,0.04,0.094,0.010,False,1.7670482932877844718631850471
0.027,0.01,0.096,0.011,False,1.7656017608753186707728370515
0.027,0.04,0.094,0.011,False,1.7591245871624633657512665108
0.023,0,0.093,0.010,False,1.7503822913075628149536813542
0.027,0.01,0.093,0.011,False,1.7500315916993289432870612712
0.021,0.03,0.095,0.012,False,1.7473404207337681893075878658
0.016,0.03,0.094,0.024,False,1.7452161804498745989531838672
0.040,0,0.099,0.002,False,1.7442800511432907659876137291
0.040,0,0.098,0.002,False,1.7439447819526228027480401211
0.024,0,0.093,0.011,False,1.7404627740380954657911486942
0.040,0,0.100,0.002,False,1.7351782965832353948633579000
0.016,0.03,0.094,0.023,False,1.7347279764085887208268387865
0.015,0,0.094,0.011,False,1.7346552252801276557606522655
0.027,0.01,0.092,0.011,False,1.7342813518514686945825341679
0.027,0.04,0.091,0.010,False,1.7322930036541709785650232833
0.022,0.04,0.094,0.011,False,1.7284871615217356058617789374
0.024,0,0.092,0.011,False,1.7283637040597051638511727204
