StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.02,0.190,0.010,False,2.1975656761848318906651887784
0.040,0,0.188,0.013,False,2.1351777320404983755843832181
0.040,0,0.189,0.013,False,2.1351777320404983755843832181
0.040,0,0.190,0.013,False,2.1351777320404983755843832181
0.040,0,0.185,0.013,False,2.1212329379625876408233799183
0.040,0,0.186,0.013,False,2.1212329379625876408233799183
0.040,0,0.182,0.013,False,2.1160679338505341117550284158
0.040,0,0.183,0.013,False,2.1044367546148314501225677873
0.040,0,0.184,0.013,False,2.1044367546148314501225677873
0.037,0.02,0.184,0.013,False,2.0970893394067932652303988139
0.039,0.02,0.184,0.013,False,2.0888409941528796923716764512
0.038,0.03,0.184,0.013,False,2.0839393459518948407608327700
0.038,0.02,0.184,0.013,False,2.0783745271716122545688562152
0.030,0.06,0.190,0.012,False,2.0737526594012821903211888568
0.040,0.02,0.184,0.013,False,2.0707491741064113191627655804
0.039,0.03,0.184,0.013,False,2.0659452988528671507897060260
0.030,0.06,0.188,0.012,False,2.0638206196326996541614023612
0.030,0.06,0.189,0.012,False,2.0638206196326996541614023612
0.040,0,0.187,0.013,False,2.0569880870023734159948787587
0.040,0.03,0.184,0.013,False,2.0475006960235889478788123390
0.029,0.05,0.184,0.013,False,2.0208210924324434390299110615
0.031,0.05,0.184,0.013,False,2.0197370355529844737461027536
0.032,0.04,0.184,0.013,False,2.0068362214985571307401694061
0.028,0.02,0.188,0.013,False,2.0026024823095134402288967309
0.028,0.02,0.189,0.013,False,2.0026024823095134402288967309
0.028,0.02,0.190,0.013,False,2.0026024823095134402288967309
0.040,0.01,0.182,0.013,False,1.9973769013252590210167598159
0.032,0.05,0.184,0.013,False,1.9962969912086032464579527602
0.030,0.05,0.184,0.013,False,1.9962618249123607761467921053
0.031,0.04,0.184,0.013,False,1.9935791769053894373781164791
0.018,0.03,0.188,0.013,False,1.9933936414993897899176629172
0.018,0.03,0.189,0.013,False,1.9933936414993897899176629172
0.018,0.03,0.190,0.013,False,1.9933936414993897899176629172
0.038,0.07,0.182,0.013,False,1.9926653096818084754514046236
0.038,0.07,0.183,0.013,False,1.9926653096818084754514046236
0.033,0.05,0.184,0.013,False,1.9727442084398444450366421265
0.039,0.07,0.182,0.013,False,1.9724255334352013450152507364
0.038,0,0.181,0.013,False,1.9703012939150167968681662079
0.013,0.03,0.190,0.010,False,1.9605207004994001308154156867
0.039,0,0.181,0.013,False,1.9534748016837174107150656239
0.040,0,0.181,0.013,False,1.9466797949000998471870440880
0.020,0.02,0.182,0.013,True,1.9413873691721397572491629401
0.038,0.06,0.182,0.013,False,1.9387163118813274075621712200
0.019,0.02,0.182,0.013,True,1.9302412370345668215440170137
0.019,0.02,0.183,0.013,True,1.9302412370345668215440170137
0.019,0.02,0.181,0.013,True,1.9250972316073362681455319124
0.020,0.02,0.183,0.013,True,1.9172323151502092960236401844
0.012,0.02,0.182,0.010,False,1.9156276384494228764075089627
0.024,0.04,0.187,0.009,False,1.9108754933858045426685476308
0.024,0.04,0.188,0.009,False,1.9108754933858045426685476308
0.018,0.03,0.189,0.012,False,1.9090556895834102693945419841
0.018,0.03,0.190,0.012,False,1.9090556895834102693945419841
0.025,0.02,0.188,0.009,False,1.9082093160815586835621268899
0.025,0.02,0.189,0.009,False,1.9082093160815586835621268899
0.025,0.02,0.190,0.009,False,1.9082093160815586835621268899
0.012,0.02,0.182,0.009,False,1.8998414538130238392221562588
0.025,0.02,0.188,0.008,False,1.8930088149169282986566034726
0.020,0.03,0.183,0.013,True,1.8915062358092061495061045167
0.025,0.04,0.185,0.009,False,1.8850273497347811659100372163
0.025,0.04,0.186,0.009,False,1.8850273497347811659100372163
0.025,0.04,0.187,0.009,False,1.8850273497347811659100372163
0.025,0.04,0.188,0.009,False,1.8850273497347811659100372163
0.030,0.11,0.188,0.012,False,1.8826747811035792860530142591
0.021,0.02,0.182,0.013,True,1.8809114788132901477146916645
0.026,0.02,0.188,0.009,False,1.8793511718964626463588532122
0.026,0.02,0.189,0.009,False,1.8793511718964626463588532122
0.026,0.02,0.190,0.009,False,1.8793511718964626463588532122
0.039,0,0.186,0.013,False,1.8770738899849826971145741483
0.039,0,0.187,0.013,False,1.8770738899849826971145741483
0.032,0.06,0.184,0.013,False,1.8751550830801997663892668954
0.039,0,0.185,0.013,False,1.8730206019218470255138772381
0.025,0.04,0.185,0.008,False,1.8687693679405212760295999798
0.025,0.04,0.186,0.008,False,1.8687693679405212760295999798
0.025,0.04,0.187,0.008,False,1.8687693679405212760295999798
0.029,0.07,0.189,0.022,False,1.8677293360942133075247166643
0.029,0.07,0.190,0.022,False,1.8677293360942133075247166643
0.034,0.06,0.182,0.013,False,1.8672770225227350712570380074
0.034,0.06,0.183,0.013,False,1.8672770225227350712570380074
0.034,0.06,0.184,0.013,False,1.8672770225227350712570380074
0.034,0.05,0.184,0.013,False,1.8669359444065628591417271328
0.026,0.02,0.188,0.008,False,1.8645568287915046504852421661
0.014,0.04,0.190,0.010,False,1.8600620060257775429516162686
0.039,0,0.182,0.013,False,1.8562244185740908348130651071
0.039,0,0.183,0.013,False,1.8562244185740908348130651071
0.039,0,0.184,0.013,False,1.8562244185740908348130651071
0.021,0.03,0.182,0.013,True,1.8552540875221359407405767904
0.031,0.11,0.188,0.012,False,1.8518627010257362015742139890
0.033,0.06,0.183,0.013,False,1.8457779562049239420873822470
0.033,0.06,0.184,0.013,False,1.8457779562049239420873822470
0,0.01,0.187,0.004,False,1.8446450339944826217309013991
0.019,0,0.181,0.023,False,1.8438548200189552016893479679
0.030,0.07,0.189,0.022,False,1.8437683006837376728074181355
0.030,0.07,0.190,0.022,False,1.8437683006837376728074181355
0.030,0.07,0.189,0.021,False,1.8393257417578211085574333111
0.030,0.07,0.190,0.021,False,1.8393257417578211085574333111
0.035,0.06,0.182,0.013,False,1.8392545779531009730779820171
0.035,0.06,0.183,0.013,False,1.8392545779531009730779820171
0.035,0.06,0.184,0.013,False,1.8392545779531009730779820171
0.015,0.02,0.183,0.009,True,1.8373459834570968337134009600
0.014,0.02,0.182,0.011,True,1.8357180305777869760645570425
0.002,0.05,0.190,0.013,True,1.8341858559597276603947541630
0.003,0.04,0.186,0.013,True,1.8335891541435378459875738498
0.003,0.04,0.187,0.013,True,1.8335891541435378459875738498
0.003,0.04,0.188,0.013,True,1.8335891541435378459875738498
0.003,0.04,0.189,0.013,True,1.8335891541435378459875738498
0.003,0.04,0.190,0.013,True,1.8335891541435378459875738498
0.017,0.03,0.188,0.012,False,1.8330080523512973587165552929
0.017,0.03,0.189,0.012,False,1.8330080523512973587165552929
0.017,0.03,0.190,0.012,False,1.8330080523512973587165552929
0.002,0.04,0.186,0.013,True,1.8308309521465245665139526468
0.002,0.04,0.187,0.013,True,1.8308309521465245665139526468
0.002,0.04,0.188,0.013,True,1.8308309521465245665139526468
0.002,0.04,0.189,0.013,True,1.8308309521465245665139526468
0.002,0.04,0.190,0.013,True,1.8308309521465245665139526468
0.014,0.02,0.181,0.011,True,1.8302611925735144812831243272
0.008,0.05,0.190,0.011,True,1.8261528763720227777855703028
0.014,0.02,0.182,0.010,False,1.8237442844261699567494795892
0.017,0.01,0.189,0.011,True,1.8232817675044168174421382422
0.032,0.11,0.188,0.012,False,1.8229273090957662909547205789
0.031,0.12,0.188,0.012,False,1.8213890412016668669346195780
0.031,0.07,0.189,0.022,False,1.8188876193697883270225350057
0.031,0.07,0.190,0.022,False,1.8188876193697883270225350057
0.037,0,0.183,0.013,False,1.8174103879999102313595919908
0.037,0,0.184,0.013,False,1.8174103879999102313595919908
0.030,0.08,0.189,0.022,False,1.8157168764885233151039173133
0.030,0.08,0.190,0.022,False,1.8157168764885233151039173133
0.029,0.06,0.189,0.022,False,1.8147536990037279228345671703
0.029,0.06,0.190,0.022,False,1.8147536990037279228345671703
0.037,0.02,0.190,0.020,False,1.8143465583864061008769066204
0.031,0.07,0.189,0.021,False,1.8138813180024265681820015131
0.031,0.07,0.190,0.021,False,1.8138813180024265681820015131
0.005,0.05,0.183,0.015,True,1.8134439175143793448068971744
0.017,0.03,0.188,0.013,False,1.8106891123705319597060728077
0.017,0.03,0.189,0.013,False,1.8106891123705319597060728077
0.017,0.03,0.190,0.013,False,1.8106891123705319597060728077
0.021,0.04,0.188,0.013,False,1.8104239962950229355345182142
0.021,0.04,0.189,0.013,False,1.8104239962950229355345182142
0.021,0.04,0.190,0.013,False,1.8104239962950229355345182142
0.002,0.05,0.186,0.013,True,1.8099844573128024243706598301
0.002,0.05,0.187,0.013,True,1.8099844573128024243706598301
0.002,0.05,0.188,0.013,True,1.8099844573128024243706598301
0.002,0.05,0.189,0.013,True,1.8099844573128024243706598301
0.031,0.07,0.188,0.020,False,1.8097712241793997959566360515
0.031,0.07,0.189,0.020,False,1.8097712241793997959566360515
0.031,0.07,0.190,0.020,False,1.8097712241793997959566360515
0.013,0.02,0.182,0.010,False,1.8093353887633905124197989432
0.020,0.04,0.188,0.013,False,1.8082469225068192961761082946
0.020,0.04,0.189,0.013,False,1.8082469225068192961761082946
0.020,0.04,0.190,0.013,False,1.8082469225068192961761082946
0.037,0.07,0.188,0.020,False,1.8072897854740475539784850661
0.020,0,0.181,0.023,False,1.8072363887234395675450056115
0.021,0.02,0.188,0.018,False,1.8052852500118831430562951482
0.021,0.02,0.188,0.017,False,1.8028368655584060803626087112
0.021,0.02,0.189,0.017,False,1.8028368655584060803626087112
0.021,0.02,0.190,0.017,False,1.8028368655584060803626087112
0.028,0.01,0.188,0.013,False,1.8017452098481213989498727144
0.028,0.01,0.189,0.013,False,1.8017452098481213989498727144
0.028,0.01,0.190,0.013,False,1.8017452098481213989498727144
0.038,0.07,0.189,0.019,False,1.8014633468431547461288815344
0.038,0.07,0.190,0.019,False,1.8014633468431547461288815344
0.005,0.05,0.181,0.015,True,1.8010904095984378503906046022
0.005,0.05,0.182,0.015,True,1.8010904095984378503906046022
0.014,0.02,0.181,0.012,True,1.8002843371991071431636177008
0.022,0.03,0.188,0.013,False,1.8002709781441013710532293246
0.022,0.03,0.189,0.013,False,1.8002709781441013710532293246
0.022,0.03,0.190,0.013,False,1.8002709781441013710532293246
0.038,0.07,0.188,0.019,False,1.7990276461921261524295960118
