StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.03,0.125,0.004,False,2.0023113003413085029382732799
0.026,0.03,0.129,0.004,False,1.9880565043305055815864238076
0.026,0.03,0.130,0.004,False,1.9880565043305055815864238076
0.026,0.04,0.122,0.003,False,1.9660982271931380154023079080
0.027,0.03,0.129,0.004,False,1.9553663136291677291770554061
0.027,0.03,0.130,0.004,False,1.9553663136291677291770554061
0.001,0.03,0.122,0.009,True,1.9408470000336227207363373542
0.028,0.03,0.129,0.004,False,1.9209727818868390309783089001
0.028,0.03,0.130,0.004,False,1.9209727818868390309783089001
0.026,0.04,0.125,0.004,False,1.9016407277863937382109092526
0.029,0.03,0.129,0.004,False,1.8864948340354059060191883697
0.029,0.03,0.130,0.004,False,1.8864948340354059060191883697
0.026,0.04,0.122,0.004,False,1.8850905109845201088588580731
0.026,0.04,0.123,0.004,False,1.8850905109845201088588580731
0.026,0.04,0.124,0.004,False,1.8850905109845201088588580731
0.026,0.03,0.124,0.004,False,1.8804989628400048288088197890
0.030,0.04,0.128,0.004,False,1.8750083409601843762810922630
0.030,0.04,0.129,0.004,False,1.8750083409601843762810922630
0.030,0.04,0.130,0.004,False,1.8750083409601843762810922630
0.029,0.04,0.128,0.004,False,1.8609661163438548871669543010
0.029,0.04,0.129,0.004,False,1.8609661163438548871669543010
0.029,0.04,0.130,0.004,False,1.8609661163438548871669543010
0.026,0.03,0.128,0.004,False,1.8484005705101216210926546554
0.029,0.04,0.122,0.003,False,1.8476877912464931032904427725
0.027,0.02,0.129,0.004,False,1.8458800059203430660298682365
0.027,0.02,0.130,0.004,False,1.8458800059203430660298682365
0.031,0.03,0.129,0.003,False,1.8341549028516015668653159085
0.031,0.03,0.130,0.003,False,1.8341549028516015668653159085
0.027,0.02,0.128,0.004,False,1.8293803316570355422382490440
0.027,0.01,0.129,0.004,False,1.8262773633573446408998728542
0.027,0.01,0.130,0.004,False,1.8262773633573446408998728542
0.020,0.08,0.129,0.024,False,1.8232616390811618772860432748
0.020,0.08,0.130,0.024,False,1.8232616390811618772860432748
0.003,0.05,0.122,0.009,True,1.8222969489314118246072415975
0.027,0.03,0.124,0.004,False,1.8222699614962535741114739851
0.028,0.01,0.127,0.004,False,1.8206384295254074764111528168
0.027,0.03,0.128,0.004,False,1.8133604109410388449946058406
0.027,0.01,0.128,0.004,False,1.8093508856644740948159121647
0.031,0.04,0.128,0.003,False,1.8090762927548754963479529196
0.031,0.04,0.129,0.003,False,1.8090762927548754963479529196
0.031,0.04,0.130,0.003,False,1.8090762927548754963479529196
0.026,0.03,0.126,0.004,False,1.8082156530591991681085850765
0.026,0.03,0.127,0.004,False,1.8082156530591991681085850765
0.030,0.04,0.127,0.004,False,1.8014884521428214953364970358
0.026,0.01,0.129,0.004,False,1.8004264960457620801384866597
0.026,0.01,0.130,0.004,False,1.7986290616061434530022949535
0.031,0.04,0.127,0.003,False,1.7941101209385640228192841614
0.029,0.04,0.127,0.004,False,1.7899152685378341862031901691
0.021,0.08,0.129,0.024,False,1.7847876367971855045933648542
0.026,0.04,0.126,0.004,False,1.7845022884752488120330393044
0.021,0.03,0.129,0.003,False,1.7817895382318483974826422857
0.021,0.03,0.130,0.003,False,1.7817895382318483974826422857
0.032,0.04,0.128,0.003,False,1.7796810915612057754738894064
0.032,0.04,0.129,0.003,False,1.7796810915612057754738894064
0.032,0.04,0.130,0.003,False,1.7796810915612057754738894064
0.028,0.03,0.124,0.004,False,1.7794935973871377754416527242
0.021,0.08,0.128,0.023,False,1.7782935747096148430272855801
0.021,0.08,0.129,0.023,False,1.7782935747096148430272855801
0.028,0.03,0.128,0.004,False,1.7771645828502012142875986404
0.021,0.03,0.129,0.004,False,1.7755597998808866050224439408
0.021,0.03,0.130,0.004,False,1.7755597998808866050224439408
0.018,0.11,0.129,0.002,False,1.7722408007277011918479777207
0.018,0.11,0.130,0.002,False,1.7722408007277011918479777207
0.030,0.04,0.122,0.003,False,1.7712979410215091471539888391
0.024,0.13,0.129,0.004,False,1.7693125051815270134654768260
0.028,0.02,0.129,0.004,False,1.7676636831159978597959334418
0.031,0.04,0.127,0.004,False,1.7670703195275052981726466380
0.027,0.02,0.127,0.004,False,1.7667898144823180194420455002
0.030,0.02,0.127,0.004,False,1.7664908229770303693100256509
0.028,0.02,0.130,0.004,False,1.7633667317251062836951784860
0.027,0.02,0.126,0.004,False,1.7633073906094397607111321056
0.032,0.04,0.127,0.003,False,1.7624530163021042634274317876
0.029,0,0.130,0.015,False,1.7598477476208625163553519216
0.030,0.03,0.129,0.002,False,1.7584371566550776329737045678
0.030,0.03,0.130,0.002,False,1.7584371566550776329737045678
0.024,0.12,0.129,0.004,False,1.7539204911004032951146586779
