StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.13,0.166,0.018,False,1.6772170659988991976006830992
0.018,0.01,0.166,0.012,True,1.6727261235207584982416280840
0.018,0.02,0.166,0.012,True,1.6717272790199043917364361926
0.018,0.01,0.165,0.012,True,1.6658016443338410416502042603
0.018,0.02,0.165,0.012,True,1.6648027998329869351450123689
0.018,0,0.166,0.012,True,1.6531248099848189413974379034
0.018,0,0.165,0.012,True,1.6460386650835759513788403030
0.019,0.01,0.166,0.012,True,1.6330534662731402299422526647
0.019,0.02,0.166,0.012,True,1.6313337388620385994475745690
0.019,0.01,0.165,0.012,True,1.6277899663798357405951429110
0.019,0.02,0.165,0.012,True,1.6268045471248604580440101957
0.019,0,0.166,0.012,True,1.6106009403565135874132571206
0.019,0,0.165,0.012,True,1.6051757747488835646389735902
0,0.10,0.165,0.012,True,1.6021913500208974156660666537
0,0.10,0.166,0.012,True,1.6021913500208974156660666537
0.020,0.01,0.166,0.012,True,1.5943422568523312608859576194
0.020,0.02,0.166,0.012,True,1.5919679420118369215413340308
0.020,0.01,0.165,0.012,True,1.5912838128999623471736197512
0.004,0.28,0.169,0.016,True,1.5892396479940548530695252333
0.004,0.28,0.170,0.016,True,1.5892396479940548530695252333
0.020,0.02,0.165,0.012,True,1.5889094980594680078289961626
0.023,0.28,0.167,0.010,False,1.5714507914731813294854600117
0.023,0.28,0.168,0.010,False,1.5714507914731813294854600117
0.023,0.28,0.169,0.010,False,1.5714507914731813294854600117
0.023,0.28,0.170,0.010,False,1.5714507914731813294854600117
0.020,0,0.166,0.012,True,1.5698987179333196274458246965
0,0.11,0.165,0.012,True,1.5681879403021908057045820451
0,0.11,0.166,0.012,True,1.5681879403021908057045820451
0.020,0,0.165,0.012,True,1.5666786082666251803063130516
0.021,0.01,0.164,0.013,True,1.5655494104492171610575668629
0.021,0.01,0.165,0.013,True,1.5655494104492171610575668629
0.021,0.01,0.166,0.013,True,1.5655494104492171610575668629
0.021,0.02,0.164,0.013,True,1.5638506434861922211265378894
0.021,0.02,0.165,0.013,True,1.5638506434861922211265378894
0.021,0.02,0.166,0.013,True,1.5638506434861922211265378894
0.021,0.01,0.163,0.014,True,1.5523130866791408530040103951
0.021,0.01,0.164,0.014,True,1.5523130866791408530040103951
0.021,0.01,0.165,0.014,True,1.5523130866791408530040103951
0.021,0.01,0.166,0.014,True,1.5523130866791408530040103951
0.021,0.28,0.168,0.006,False,1.5516074656714921873406709863
0.021,0.28,0.169,0.006,False,1.5516074656714921873406709863
0.021,0.28,0.170,0.006,False,1.5516074656714921873406709863
0.021,0.02,0.163,0.014,True,1.5513237494787568572562274622
0.021,0.02,0.164,0.014,True,1.5506143957252229434937374753
0.021,0.02,0.165,0.014,True,1.5506143957252229434937374753
0.021,0.02,0.166,0.014,True,1.5506143957252229434937374753
0.024,0.28,0.167,0.010,False,1.5492340201875230449763728790
0.024,0.28,0.168,0.010,False,1.5492340201875230449763728790
0.024,0.28,0.169,0.010,False,1.5492340201875230449763728790
0.024,0.28,0.170,0.010,False,1.5492340201875230449763728790
0.020,0.05,0.170,0.012,True,1.5457470405634870373083171390
0.021,0,0.164,0.013,True,1.5387241810083406810640430520
0.021,0,0.165,0.013,True,1.5387241810083406810640430520
0.020,0.05,0.169,0.012,True,1.5361284088245520751304678052
0.020,0.05,0.166,0.012,True,1.5355956377297875138534239139
0.020,0.05,0.167,0.012,True,1.5355956377297875138534239139
0.020,0.05,0.168,0.012,True,1.5355956377297875138534239139
0.020,0.05,0.165,0.012,True,1.5325371937774186001410860457
0.021,0.01,0.162,0.013,True,1.5312963927024692725596387312
0.021,0.01,0.163,0.013,True,1.5308068383235387532318870540
0.016,0,0.161,0.016,True,1.5301563689393447346432716188
0.021,0.02,0.162,0.013,True,1.5300699322615134182270312174
0.021,0.02,0.163,0.013,True,1.5300699322615134182270312174
0.025,0.28,0.167,0.011,False,1.5289240172079094422636242784
0.025,0.28,0.168,0.011,False,1.5289240172079094422636242784
0.025,0.28,0.169,0.011,False,1.5289240172079094422636242784
0.025,0.28,0.170,0.011,False,1.5289240172079094422636242784
0.023,0.29,0.165,0.010,False,1.5280970498952553285636668841
0.023,0.29,0.166,0.010,False,1.5280970498952553285636668841
0.023,0.29,0.167,0.010,False,1.5280970498952553285636668841
0.023,0.29,0.168,0.010,False,1.5280970498952553285636668841
0.023,0.29,0.169,0.010,False,1.5280970498952553285636668841
0.023,0.29,0.170,0.010,False,1.5280970498952553285636668841
0.021,0,0.163,0.014,True,1.5277936894164570426156462875
0.021,0,0.164,0.014,True,1.5277936894164570426156462875
