StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.01,0.132,0.004,False,2.0996177050286515615379279098
0.027,0.01,0.133,0.004,False,2.0996177050286515615379279098
0.027,0.01,0.134,0.004,False,2.0996177050286515615379279098
0.027,0.01,0.135,0.004,False,2.0996177050286515615379279098
0.026,0.01,0.134,0.004,False,2.0889485078831155393787157840
0.026,0.01,0.135,0.004,False,2.0889485078831155393787157840
0.026,0.03,0.138,0.004,False,2.0867501934631053683142061163
0.026,0.01,0.132,0.004,False,2.0724172276693568449967417589
0.026,0.01,0.133,0.004,False,2.0724172276693568449967417589
0.027,0.02,0.131,0.004,False,2.0523289706701224758180971562
0.027,0.02,0.132,0.004,False,2.0523289706701224758180971562
0.027,0.02,0.133,0.004,False,2.0523289706701224758180971562
0.027,0.02,0.134,0.004,False,2.0523289706701224758180971562
0.026,0.03,0.131,0.004,False,2.0473042021945586311641617406
0.026,0.03,0.139,0.004,False,2.0473036030909083706593494828
0.028,0.02,0.131,0.004,False,2.0332639934315615808411617797
0.028,0.02,0.132,0.004,False,2.0332639934315615808411617797
0.028,0.02,0.133,0.004,False,2.0332639934315615808411617797
0.028,0.02,0.134,0.004,False,2.0332639934315615808411617797
0.027,0.03,0.139,0.004,False,2.0088519697967929149731568387
0.025,0,0.134,0.004,False,2.0037971620465488429283838849
0.025,0,0.135,0.004,False,2.0037971620465488429283838849
0.025,0,0.136,0.004,False,2.0037971620465488429283838849
0.025,0,0.137,0.004,False,2.0019783111041352444852157642
0.026,0.01,0.138,0.023,False,1.9956655717092063872100102356
0.027,0.03,0.138,0.004,False,1.9924790152477027964210846908
0.029,0.03,0.139,0.004,False,1.9915855442457224507337768438
0.026,0.03,0.136,0.021,False,1.9894136827790444290343847348
0.025,0,0.133,0.004,False,1.9873054242951675852806894550
0.026,0.01,0.137,0.023,False,1.9869620693623841423307167376
0.026,0.02,0.140,0.021,False,1.9810743746611673174442028537
0.029,0.03,0.138,0.004,False,1.9752434102833298668076203308
0.031,0.03,0.138,0.003,False,1.9739020255534823492177688419
0.028,0.03,0.139,0.004,False,1.9686585682726631863480656043
0.027,0.03,0.136,0.021,False,1.9567140526695328708835765240
0.028,0.03,0.138,0.004,False,1.9523010399949542158203339593
0.026,0.03,0.132,0.004,False,1.9517718353716183099125728207
0.026,0.03,0.133,0.004,False,1.9517718353716183099125728207
0.026,0.03,0.138,0.021,False,1.9507160931688405519307954319
0.026,0.03,0.139,0.021,False,1.9507160931688405519307954319
0.026,0.03,0.140,0.021,False,1.9507160931688405519307954319
0.031,0.04,0.138,0.003,False,1.9456164571913017491117255829
0.031,0.04,0.137,0.003,False,1.9303300111934264655915034254
0.026,0.02,0.139,0.023,False,1.9229888677668266054031786101
0.027,0.03,0.138,0.021,False,1.9172811974684582253671121106
0.027,0.03,0.139,0.021,False,1.9172811974684582253671121106
0.026,0.03,0.134,0.021,False,1.9162138716826242677520397448
0.026,0.03,0.135,0.021,False,1.9162138716826242677520397448
0.027,0.03,0.131,0.004,False,1.9150453682003449313531991144
0.027,0.03,0.132,0.004,False,1.9150453682003449313531991144
0.027,0.03,0.133,0.004,False,1.9150453682003449313531991144
0.031,0.04,0.139,0.003,False,1.9147269321735198934422956720
0.026,0,0.133,0.024,False,1.9104131400623687463125596905
0.026,0,0.134,0.024,False,1.9104131400623687463125596905
0.026,0.02,0.138,0.023,False,1.9087447170452812952694635724
0.026,0.02,0.137,0.023,False,1.9081392933997359640439952555
0.026,0.05,0.138,0.020,False,1.9071740489997239813276813665
0.029,0.02,0.138,0.003,False,1.9021534695525773149094949572
0.029,0.02,0.139,0.003,False,1.9021534695525773149094949572
0.026,0.01,0.134,0.024,False,1.9008052178380833393707363915
0.026,0,0.133,0.023,False,1.9007307142246523593593676832
0.026,0,0.134,0.023,False,1.9007307142246523593593676832
0.026,0,0.135,0.023,False,1.9007307142246523593593676832
0.030,0.02,0.138,0.003,False,1.8993550721894143306865609590
0.033,0.06,0.136,0.005,True,1.8988536536907696818029026355
0.030,0.04,0.139,0.004,False,1.8987386861664580217988544243
0.026,0,0.133,0.022,False,1.8973471945181272436875056331
0.026,0,0.134,0.022,False,1.8973471945181272436875056331
0.026,0,0.135,0.022,False,1.8973471945181272436875056331
0.032,0.04,0.136,0.003,False,1.8966728591072566962357261853
0.026,0,0.134,0.021,False,1.8941894086472412724939944542
0.026,0,0.135,0.021,False,1.8934747360153738189190748814
0.026,0.01,0.134,0.023,False,1.8911281198575748873662153053
0.026,0.01,0.135,0.023,False,1.8911281198575748873662153053
0.029,0.04,0.139,0.004,False,1.8908948234893205554169290360
0.031,0.04,0.136,0.003,False,1.8893015675046712775928512828
0.026,0.01,0.134,0.022,False,1.8877483846739268546375462045
0.026,0.01,0.135,0.022,False,1.8877483846739268546375462045
0.027,0.02,0.139,0.023,False,1.8877467888050967729906061731
0.029,0.02,0.137,0.003,False,1.8856996762618434312117337623
0.024,0.02,0.131,0.004,False,1.8839937038065725650487048051
0.026,0.01,0.134,0.021,False,1.8839532425153777998880279724
0.026,0.01,0.135,0.021,False,1.8839532425153777998880279724
0.026,0.02,0.138,0.020,False,1.8838000474227117915200237194
0.026,0.02,0.139,0.020,False,1.8838000474227117915200237194
0.027,0.03,0.134,0.021,False,1.8836550532538273190722435182
0.027,0.03,0.135,0.021,False,1.8836550532538273190722435182
0.030,0.04,0.136,0.004,False,1.8834494598441866269370066723
0.030,0.04,0.137,0.004,False,1.8834494598441866269370066723
0.030,0.04,0.138,0.004,False,1.8834494598441866269370066723
0.030,0.02,0.137,0.003,False,1.8829029904516589665640005319
0.032,0.04,0.138,0.003,False,1.8797554367583804966804353541
0.032,0.04,0.139,0.003,False,1.8797554367583804966804353541
0.022,0.01,0.132,0.004,False,1.8779628863045905661673928153
0.022,0.01,0.133,0.004,False,1.8779628863045905661673928153
0.028,0.03,0.131,0.004,False,1.8766195363358660108584787637
0.028,0.03,0.132,0.004,False,1.8766195363358660108584787637
0.028,0.03,0.133,0.004,False,1.8766195363358660108584787637
0.027,0,0.133,0.024,False,1.8757510258442039939574458367
0.029,0.04,0.136,0.004,False,1.8757419775094883514600033085
0.029,0.04,0.137,0.004,False,1.8757419775094883514600033085
0.029,0.04,0.138,0.004,False,1.8757419775094883514600033085
0.027,0.05,0.138,0.020,False,1.8757401549142710355013066523
0.027,0.02,0.138,0.023,False,1.8731485418863704200419024211
0.027,0.02,0.137,0.023,False,1.8730221898335611112618330692
0.027,0.05,0.138,0.021,False,1.8682857987136009710351312399
0.027,0,0.133,0.023,False,1.8656856680074531390800668058
0.027,0,0.134,0.023,False,1.8656856680074531390800668058
0.027,0.01,0.133,0.024,False,1.8651533674427237218695935528
0.027,0,0.133,0.022,False,1.8647281243197041552386940992
0.027,0,0.134,0.022,False,1.8647281243197041552386940992
0.027,0,0.135,0.022,False,1.8647281243197041552386940992
0.032,0.04,0.137,0.003,False,1.8646420453896890454068962321
0.027,0,0.134,0.021,False,1.8614074232959716880907024306
0.027,0,0.133,0.021,False,1.8613857396725733066422133688
0.027,0,0.135,0.021,False,1.8607107002555513035370116082
0.026,0.02,0.137,0.020,False,1.8602722605396083421298378316
0.028,0.01,0.131,0.003,False,1.8590169394162497366727362718
0.027,0.01,0.133,0.023,False,1.8550933424241955857321200314
0.027,0.01,0.134,0.023,False,1.8550933424241955857321200314
0.027,0.01,0.133,0.022,False,1.8541395892851593296763659289
0.027,0.01,0.134,0.022,False,1.8541395892851593296763659289
0.027,0.01,0.135,0.022,False,1.8541395892851593296763659289
0.027,0.01,0.133,0.021,False,1.8508016848682701775935761059
0.026,0.03,0.132,0.021,False,1.8506343349366068497188356609
0.026,0.03,0.133,0.021,False,1.8506343349366068497188356609
