StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.02,0.148,0.022,False,1.8354031940750501360202504019
0.032,0.03,0.144,0.010,True,1.7950633190695080101428642967
0.027,0.02,0.148,0.021,False,1.7738795964934370104537922825
0.032,0.04,0.144,0.010,True,1.7636835125504461814047927003
0.033,0.03,0.144,0.011,True,1.7578666693564856274751979028
0.025,0.06,0.148,0.022,False,1.7517237361655861671133686628
0.019,0.06,0.148,0.003,True,1.7446822198575083120262162815
0.032,0.05,0.144,0.010,True,1.7420116685899486408090550115
0.026,0.03,0.148,0.022,False,1.7363532808260574183193449392
0.033,0.04,0.144,0.011,True,1.7335156484843507344897352632
0.026,0.04,0.148,0.022,False,1.7253695616377746711402425062
0.040,0,0.143,0.013,False,1.7167429676116662609288828884
0.040,0,0.144,0.013,False,1.7167429676116662609288828884
0.033,0.05,0.144,0.011,True,1.7154592683700112547056313296
0.040,0.01,0.143,0.013,False,1.7150665408783937985996395715
0.040,0.01,0.144,0.013,False,1.7150665408783937985996395715
0.040,0.02,0.143,0.013,False,1.7136578659261357331435674126
0.040,0.02,0.144,0.013,False,1.7136578659261357331435674126
0.025,0.07,0.148,0.022,False,1.7092119973170856629442981964
0.040,0,0.143,0.012,False,1.7091394062904417109449647305
0.040,0,0.144,0.012,False,1.7091394062904417109449647305
0.040,0.01,0.143,0.012,False,1.7074614962163230685892355386
0.040,0.01,0.144,0.012,False,1.7074614962163230685892355386
0.040,0.02,0.143,0.012,False,1.7060515802022236991776701977
0.040,0.02,0.144,0.012,False,1.7060515802022236991776701977
0.026,0.10,0.148,0.022,False,1.7029875842575029221942401815
0.026,0.10,0.149,0.022,False,1.7029875842575029221942401815
0.026,0.10,0.150,0.022,False,1.7029875842575029221942401815
0.035,0.04,0.141,0.013,True,1.6984779543921028237205129883
0.031,0.02,0.150,0.004,True,1.6973045983819984260622616076
0.033,0.03,0.144,0.010,True,1.6943721665032244310321883369
0.031,0.02,0.148,0.004,True,1.6939116950836363182613041088
0.031,0.02,0.149,0.004,True,1.6939116950836363182613041088
0.031,0.03,0.150,0.004,True,1.6920403844316330862439263728
0.034,0.04,0.144,0.011,True,1.6915349498910293073558593206
0.031,0.03,0.148,0.004,True,1.6893379146269993312921270267
0.031,0.03,0.149,0.004,True,1.6893379146269993312921270267
0.031,0.02,0.150,0.005,True,1.6891782547016272666608062673
0.035,0.04,0.144,0.013,True,1.6885472376925781539861131776
0.033,0.03,0.148,0.004,True,1.6881973636793294853112604768
0.033,0.03,0.149,0.004,True,1.6881973636793294853112604768
0.031,0.02,0.148,0.005,True,1.6857853514032651588598487685
0.031,0.02,0.149,0.005,True,1.6857853514032651588598487685
0.035,0.04,0.144,0.011,True,1.6853088199984487042245275998
0.033,0.03,0.150,0.005,True,1.6851152455119668262499517292
0.025,0.02,0.148,0.023,False,1.6844521031060039085983717776
0.031,0.03,0.150,0.005,True,1.6839121511788797152264885759
0.031,0.02,0.148,0.001,True,1.6834893668351365878263494757
0.033,0.03,0.148,0.005,True,1.6817175535115296420083768072
0.033,0.03,0.149,0.005,True,1.6817175535115296420083768072
0.030,0.02,0.148,0.004,True,1.6814398602456880914562962767
0.025,0.02,0.148,0.022,False,1.6814253784819329483087260210
0.031,0.03,0.148,0.005,True,1.6812096813742459602746892298
0.031,0.03,0.149,0.005,True,1.6812096813742459602746892298
0.025,0.02,0.149,0.021,False,1.6809208339822678624113926400
0.035,0.04,0.142,0.013,True,1.6807520994826197858687611180
0.031,0.03,0.148,0.001,True,1.6789264183125361131246268710
0.025,0.03,0.148,0.023,False,1.6783256174201359790199574791
0.025,0.10,0.148,0.022,False,1.6781259020347430108259238973
0.025,0.10,0.149,0.022,False,1.6781259020347430108259238973
0.025,0.10,0.150,0.022,False,1.6781259020347430108259238973
0.030,0.03,0.148,0.004,True,1.6774289715905820323594170009
0.025,0.02,0.148,0.021,False,1.6766050516886527554327954703
0.025,0.03,0.148,0.022,False,1.6752965868945559138013396381
0.025,0.03,0.149,0.021,False,1.6747905021094173988296084664
0.034,0.05,0.144,0.011,True,1.6745949766166781731998938758
0.035,0.04,0.141,0.011,True,1.6721761415964629310353895518
0.035,0.05,0.144,0.013,True,1.6711868946241374112422600085
0.033,0.04,0.144,0.010,True,1.6710965991484746871294145660
0.034,0.04,0.144,0.005,True,1.6702220478301779702302704798
0.025,0.03,0.148,0.021,False,1.6699052185883095532134782890
0.034,0.04,0.143,0.011,True,1.6692935549870698687585245377
0.025,0.16,0.150,0.022,False,1.6686539134113998937391527476
0.034,0.04,0.144,0.006,True,1.6674628587722164733756559370
0.035,0.05,0.141,0.013,True,1.6672312312685504744459910580
0.035,0.04,0.143,0.013,True,1.6669692796311319611175691064
0.033,0.03,0.146,0.011,True,1.6660877629085859724824994534
0.025,0.04,0.148,0.023,False,1.6658588346322594805201377323
0.025,0.04,0.148,0.022,False,1.6628258843978895097203413199
0.025,0.04,0.149,0.021,False,1.6623162686517155882470815977
0.031,0.02,0.150,0.003,True,1.6623027108452462751107150554
0.032,0.03,0.150,0.004,True,1.6612296861418581705687783177
0.034,0.05,0.144,0.005,True,1.6593745562309905480393923652
0.031,0.02,0.148,0.003,True,1.6589098075468841673097575566
0.031,0.02,0.149,0.003,True,1.6589098075468841673097575566
0.032,0.03,0.148,0.004,True,1.6582101435403593891204023432
0.032,0.03,0.149,0.004,True,1.6578326628807574653113710666
0.030,0.02,0.148,0.001,True,1.6572356532059501334484347899
0.031,0.03,0.150,0.003,True,1.6570419418358465592194235352
0.032,0,0.144,0.010,True,1.6569721664376896031692355732
0.031,0.02,0.148,0.002,True,1.6567829551086930661142626107
0.031,0.02,0.149,0.002,True,1.6567829551086930661142626107
0.032,0,0.147,0.010,True,1.6564229113103481560733089257
0.034,0.05,0.144,0.006,True,1.6559333501438188778020534575
0.032,0.01,0.147,0.010,True,1.6549007973198596019864585452
0.031,0.03,0.148,0.003,True,1.6543394720312128042676241891
0.031,0.03,0.149,0.003,True,1.6543394720312128042676241891
0.034,0.05,0.143,0.011,True,1.6543135972785633270628021457
0.033,0.04,0.146,0.011,True,1.6539417724788675952944039133
0.040,0.01,0.144,0.019,False,1.6538387464046955009685636513
0.033,0.05,0.144,0.010,True,1.6537685158174375767284589585
0.030,0.03,0.148,0.001,True,1.6532355964848805866190099915
0.032,0.02,0.147,0.010,True,1.6532251439834503706693484616
0.040,0,0.144,0.019,False,1.6531857998884828671314122928
0.032,0.03,0.150,0.005,True,1.6530963123735534725126669074
0.040,0.02,0.144,0.019,False,1.6526789973439707092579625623
0.031,0.03,0.148,0.002,True,1.6522165760477419922255164786
0.031,0.03,0.149,0.002,True,1.6522165760477419922255164786
0.035,0.05,0.142,0.013,True,1.6514655748168220725839494942
0.035,0.05,0.143,0.013,True,1.6514655748168220725839494942
0.033,0.03,0.148,0.003,True,1.6511041185093194944704778532
0.032,0.01,0.144,0.010,True,1.6510358368466690315899370583
0.034,0.04,0.144,0.012,True,1.6508763962608327706640172697
0.034,0.04,0.144,0.007,True,1.6505458074623221608258647287
0.032,0.03,0.148,0.005,True,1.6500767697720546910642909329
0.032,0.03,0.149,0.005,True,1.6496992891124527672552596563
0.032,0.03,0.147,0.010,True,1.6483787572066858916245950730
0.033,0.03,0.145,0.011,True,1.6477093223392198442404142301
0.034,0.04,0.143,0.006,True,1.6452214638682570347783211541
0.034,0.06,0.144,0.005,True,1.6450259423359930634457274929
0.022,0.17,0.150,0.021,False,1.6441335217954653612114425402
