StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0,0.109,0.002,False,1.7435337859611719267807757826
0.039,0,0.108,0.001,False,1.7411961771634057518356259397
0.039,0,0.109,0.001,False,1.7411961771634057518356259397
0.040,0,0.108,0.002,False,1.7357194218480745477913465812
0.039,0,0.109,0.003,False,1.7179933748607093690287948411
0.040,0,0.108,0.001,False,1.7081736796492752669771845876
0.024,0.02,0.109,0.002,False,1.7063868293975422489745109689
0.040,0,0.102,0.020,False,1.7012631283832904026671657000
0.040,0,0.103,0.020,False,1.7012631283832904026671657000
0.034,0,0.110,0.009,False,1.6873818976036085444917525745
0.025,0.02,0.108,0.002,False,1.6871323452744921371465670745
0.040,0,0.108,0.003,False,1.6810908309673612493688321989
0.040,0,0.103,0.009,False,1.6761808420379808072323707129
0.034,0,0.110,0.008,False,1.6693211776980442581023104884
0.039,0,0.108,0.002,False,1.6692768402604950463512946345
0.033,0.02,0.108,0.023,False,1.6680758170160272358618307953
0.033,0.02,0.101,0.024,False,1.6670727057285286028820681876
0.024,0.02,0.108,0.002,False,1.6631721306171116930361022482
0.025,0.02,0.108,0.003,False,1.6627407812116207213363422010
0.040,0,0.109,0.002,False,1.6540494509884168878936825886
0.040,0,0.109,0.001,False,1.6505923024176276454078754420
0.025,0.02,0.109,0.003,False,1.6502415618507517442757277397
0.039,0,0.110,0.002,False,1.6493113314368626737977100057
0.035,0.02,0.101,0.023,False,1.6478596680262611460627912632
0.035,0.02,0.101,0.024,False,1.6461961055269421752103554977
0.039,0,0.110,0.001,False,1.6459600815531168515831555991
0.024,0.02,0.108,0.003,False,1.6420224322854564824564728207
0.033,0.01,0.101,0.024,False,1.6397109550617471193951662859
0.037,0.02,0.110,0.002,False,1.6374496394170405770636795695
0.033,0.03,0.101,0.024,False,1.6362711798973528039283859012
0.040,0,0.110,0.002,False,1.6359563596871398534171889105
0.040,0,0.110,0.001,False,1.6308054720565246930383389214
0.024,0.02,0.109,0.003,False,1.6295232129245875053958583594
0.024,0.02,0.110,0.002,False,1.6292454412078019049292450424
0.026,0.02,0.108,0.002,False,1.6278295676090660164832601880
0.040,0.01,0.102,0.020,False,1.6231441963069906786240532905
0.035,0.04,0.101,0.023,False,1.6225937145630422805222836879
0.035,0.04,0.101,0.024,False,1.6204274913792934159830718669
0.023,0.02,0.109,0.003,False,1.6190827799453943946266200521
0.039,0,0.108,0.003,False,1.6189568744175575895638038149
0.035,0.03,0.101,0.023,False,1.6186529372702561261682792160
0.035,0.03,0.101,0.024,False,1.6169893747709371553158434505
0.034,0.02,0.101,0.023,False,1.6164750510223637761669038388
0.034,0.02,0.101,0.024,False,1.6138735093253475580096700668
0.033,0.04,0.101,0.024,False,1.6090712179136377023781126457
0.035,0.05,0.101,0.023,False,1.5993478699747045065968567328
0.035,0.05,0.101,0.024,False,1.5971816467909556420576449118
0.038,0.02,0.109,0.002,False,1.5955381875365721888212003474
0.038,0.02,0.110,0.002,False,1.5941923623083203551650179226
0.036,0.02,0.101,0.023,False,1.5939399941001774476346332277
0.031,0.02,0.108,0.023,False,1.5933955545793623206564063276
0.031,0.02,0.109,0.023,False,1.5933955545793623206564063276
0.036,0.02,0.101,0.024,False,1.5923064445403937689551709399
0.033,0.05,0.101,0.024,False,1.5878816759406302879084401189
0.034,0.03,0.101,0.023,False,1.5857938512613006804044286884
0.038,0.02,0.109,0.001,False,1.5839161348345744828429129538
0.034,0.03,0.101,0.024,False,1.5831923095642844622471949164
