StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.006,0.01,0.053,0.025,False,2.0252455852657403814157685116
0.006,0,0.053,0.025,False,2.0195365363163267945459138953
0.003,0.01,0.055,0.027,False,1.9919507009600400427402969535
0.005,0.01,0.054,0.025,False,1.9381800979857913052004000199
0.005,0,0.054,0.025,False,1.9379817166698079556023236017
0.006,0.04,0.054,0.025,False,1.9018127687364783728768758523
0.006,0.04,0.053,0.025,False,1.8993548361638784432555252905
0.005,0.04,0.055,0.025,False,1.8921934656489409037771302868
0.005,0.04,0.054,0.025,False,1.8918740036119893723708200931
0.006,0.02,0.053,0.025,False,1.8910937352199325726729169866
0.002,0,0.056,0.027,False,1.8873433395565999075443003228
0.002,0,0.055,0.027,False,1.8842827325962638851520172670
0.003,0,0.055,0.027,False,1.8781769174643696714272751134
0.006,0.01,0.054,0.025,False,1.8490669868253355263825038496
0.007,0.06,0.054,0.024,False,1.8449621058373608953791006596
0.007,0.06,0.053,0.024,False,1.8446621489865014340492005974
0.005,0.01,0.053,0.025,False,1.8431788104366765653994024899
0.005,0,0.053,0.025,False,1.8429804291206932158013260717
0.007,0.06,0.055,0.024,False,1.8402032556517120265844706607
0.007,0.06,0.056,0.024,False,1.8335260020760628819083450543
0.003,0.01,0.054,0.027,False,1.8309980758663740173385492451
0.005,0.04,0.055,0.024,False,1.8243221182947602886327458344
0.007,0.04,0.053,0.025,False,1.8241437454762430936967633015
0.010,0.09,0.055,0.022,False,1.8238380592513599863045025928
0.024,0,0.053,0.015,True,1.8066553333181495225188604238
0.039,0.06,0.058,0.018,True,1.8038158880531313557754724557
0.005,0.02,0.054,0.025,False,1.7998153114144367315025472644
0.006,0.05,0.053,0.025,False,1.7972658219252768293365110354
0.006,0.05,0.054,0.025,False,1.7972658219252768293365110354
0.006,0,0.052,0.025,False,1.7908270211723332668469051414
0.006,0.01,0.052,0.025,False,1.7783873465175023961937723468
0.006,0.03,0.053,0.025,False,1.7768568138846001893844625765
0.005,0.04,0.053,0.025,False,1.7756295392743694103087672206
0.003,0,0.056,0.026,False,1.7735539265907353974186724539
0.003,0,0.055,0.026,False,1.7723120136710025258649251962
0.005,0.01,0.055,0.025,False,1.7616820082455706984308796981
0.003,0,0.054,0.026,False,1.7590061501331326156077888043
0.007,0.06,0.052,0.024,False,1.7566536493557594764033091756
0.007,0.01,0.053,0.025,False,1.7546876344776777815429700895
0.006,0.06,0.057,0.024,False,1.7532540552658818031475738121
0.005,0.04,0.054,0.024,False,1.7486181679385624836342178484
0.040,0.06,0.058,0.018,True,1.7483505821180654862820221203
0.005,0,0.052,0.025,False,1.7444492063778364786270798675
0.005,0.01,0.052,0.025,False,1.7427614807479531538391671433
0.005,0.03,0.054,0.025,False,1.7417990559994087435982919289
0.003,0,0.053,0.026,False,1.7415212221838049599266536306
0.040,0.06,0.058,0.019,True,1.7393987469780125915541449033
0.006,0.06,0.057,0.025,False,1.7393275547003325015286323247
0.004,0.01,0.054,0.027,False,1.7315311417188457988322686524
0.007,0,0.052,0.024,False,1.7274999497093873417779851352
0.003,0.01,0.056,0.026,False,1.7263912170018362048196425046
0.005,0.04,0.053,0.024,False,1.7260926876553676712303014537
0.003,0.01,0.055,0.026,False,1.7251522924011402316836297923
0.039,0.06,0.060,0.018,True,1.7245374684860716858872969946
0.006,0.05,0.056,0.024,False,1.7226321259961442134138825957
0.004,0,0.054,0.026,False,1.7193490201451632385589145853
0.004,0,0.055,0.026,False,1.7193490201451632385589145853
0.006,0.05,0.054,0.024,False,1.7150273521203115887736651820
0.006,0.05,0.055,0.024,False,1.7150273521203115887736651820
0.006,0.02,0.054,0.025,False,1.7147873494612553260788697647
0.003,0,0.054,0.027,False,1.7141917266614936497624486778
0.033,0.06,0.059,0.002,True,1.7120077009074944898075938019
0.003,0.01,0.054,0.026,False,1.7118464288632703214264934004
0.002,0,0.054,0.027,False,1.7101696225941359329865171852
0.004,0.01,0.054,0.026,False,1.7091886372543569387726026182
0.004,0.01,0.055,0.026,False,1.7091886372543569387726026182
0.006,0.04,0.052,0.025,False,1.7071243279115351095422874008
0.005,0.02,0.053,0.025,False,1.7048140238653219917015497344
0.025,0,0.053,0.015,True,1.7045770541317812808873489800
