StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0,0.165,0.004,False,1.7119985962072516082838805288
0.040,0.01,0.165,0.004,False,1.7112696116787620746981112131
0.018,0.11,0.161,0.002,False,1.7027184677984403491571911796
0.018,0.11,0.162,0.002,False,1.7027184677984403491571911796
0.018,0.12,0.161,0.002,False,1.7026242209390864620462438747
0.018,0.12,0.162,0.002,False,1.7026242209390864620462438747
0.025,0.12,0.161,0.001,False,1.6963702961834831318980167132
0.025,0.12,0.162,0.001,False,1.6963702961834831318980167132
0.018,0.11,0.161,0.001,False,1.6932180504972697794453634229
0.018,0.11,0.162,0.001,False,1.6932180504972697794453634229
0.018,0.12,0.161,0.001,False,1.6931244653676376813074843801
0.018,0.12,0.162,0.001,False,1.6931244653676376813074843801
0.025,0.15,0.161,0.003,False,1.6905052827274380734975898459
0.025,0.15,0.162,0.003,False,1.6905052827274380734975898459
0.018,0.10,0.161,0.002,False,1.6879709648187251239574742031
0.018,0.09,0.161,0.002,False,1.6879709648187251239574742031
0.018,0.10,0.162,0.002,False,1.6879709648187251239574742031
0.018,0.09,0.162,0.002,False,1.6879709648187251239574742031
0.025,0.10,0.161,0.001,False,1.6872713290840337574290277633
0.025,0.10,0.162,0.001,False,1.6872713290840337574290277633
0.025,0.09,0.161,0.001,False,1.6787996946247883172480590396
0.025,0.09,0.162,0.001,False,1.6787996946247883172480590396
0.025,0.11,0.161,0.001,False,1.6764507894941055016194493293
0.025,0.11,0.162,0.001,False,1.6764507894941055016194493293
0.019,0.11,0.161,0.002,False,1.6665169092505979892502847319
0.019,0.11,0.162,0.002,False,1.6665169092505979892502847319
0.019,0.12,0.161,0.002,False,1.6664196680464088036462809802
0.019,0.12,0.162,0.002,False,1.6664196680464088036462809802
0.026,0.12,0.161,0.001,False,1.6656594877597533718782426860
0.026,0.12,0.162,0.001,False,1.6656594877597533718782426860
0.026,0.15,0.161,0.003,False,1.6648327025006054869395366617
0.026,0.15,0.162,0.003,False,1.6648327025006054869395366617
0.019,0.11,0.161,0.001,False,1.6625003801803007293078532388
0.019,0.11,0.162,0.001,False,1.6625003801803007293078532388
0.019,0.12,0.161,0.001,False,1.6624038007058333326769177492
0.019,0.12,0.162,0.001,False,1.6624038007058333326769177492
0.019,0.10,0.161,0.002,False,1.6562248431174367269461352896
0.019,0.09,0.161,0.002,False,1.6562248431174367269461352896
0.019,0.10,0.162,0.002,False,1.6562248431174367269461352896
