StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.018,0.05,0.040,0.016,True,1.5630143615259368387299740431
0.029,0.06,0.040,0.037,False,1.5484409894810734398735442952
0.029,0.06,0.040,0.038,False,1.5478102203656395319298926744
0.018,0.06,0.040,0.016,True,1.5463646097456915749643617370
0.018,0.05,0.040,0.017,True,1.5316606635965654282582843034
0.018,0.06,0.040,0.017,True,1.5137524145796864248861616624
0.030,0.07,0.040,0.037,False,1.5094118557195149289475765437
0.040,0.23,0.039,0.015,False,1.5086228059855230727158719227
0.038,0.06,0.040,0.011,False,1.5030175570614873661219803094
0.030,0.08,0.040,0.037,False,1.4941380244225007961211143184
0.038,0.07,0.040,0.011,False,1.4897746540418513742039090470
0.018,0.07,0.040,0.017,True,1.4882975226139058759381462508
0.038,0.07,0.040,0.025,False,1.4836737392684731150815830941
0.039,0.06,0.039,0.020,False,1.4654676447416847329194740257
0.030,0.06,0.040,0.037,False,1.4610588058317993948960387075
0.034,0.14,0.039,0.012,False,1.4582370724567743497379695263
0.040,0.23,0.038,0.015,False,1.4501147916605351725821912746
0.007,0,0.033,0.006,True,1.4487284243984588173325902795
0.036,0.07,0.040,0.027,False,1.4486382509893217968138383047
0.039,0.07,0.039,0.020,False,1.4483400717816921889080430710
0.006,0.06,0.033,0.005,True,1.4455745847904795489151390499
0.037,0.06,0.040,0.020,False,1.4432751441605370299977804501
0.029,0.06,0.039,0.038,False,1.4396535336235520576712755280
0.036,0.06,0.040,0.021,False,1.4388010064815207830386124633
0.038,0.10,0.040,0.026,False,1.4382079555205925545154581672
0.028,0.06,0.040,0.038,False,1.4334228899424327039644461296
0.038,0.10,0.040,0.025,False,1.4321812439383696037737138665
0.006,0,0.033,0.006,True,1.4314792772321869821340826795
0.038,0.08,0.040,0.025,False,1.4301390130107203818382478293
0.006,0.07,0.033,0.005,True,1.4280278838382796516133492689
0.026,0.11,0.040,0.018,True,1.4275196374841477603906726628
0.018,0.01,0.040,0.016,True,1.4250383809944508097633102469
0.036,0.07,0.040,0.021,False,1.4226865240018669706871900775
0.028,0.07,0.040,0.038,False,1.4221803480630707338732846881
0.018,0.07,0.040,0.016,True,1.4209033849270748541783827600
0.036,0.07,0.040,0.026,False,1.4207330575008717653665199456
0.038,0.07,0.040,0.026,False,1.4188283190855734635270232169
0.038,0.12,0.040,0.026,False,1.4187664155323362574470986360
0.018,0,0.040,0.016,True,1.4186028407167841251541915053
0.038,0.06,0.040,0.020,False,1.4163607523096755490779694890
0.036,0,0.031,0.029,True,1.4150424976986210771442405416
0.038,0.12,0.040,0.025,False,1.4137081874609933840167867625
0.006,0.01,0.033,0.006,True,1.4129123236782243531814474695
0.038,0.09,0.040,0.026,False,1.4125975127146547513526196234
0.036,0.09,0.040,0.025,False,1.4083401582134495878371494336
0.028,0.08,0.040,0.038,False,1.4070044432652372997674987858
0.038,0.09,0.040,0.025,False,1.4065886668797393739625338693
0.039,0.07,0.039,0.015,False,1.4049973070381636227406839041
0.029,0.06,0.039,0.036,False,1.4045587868198333028288491381
0.011,0.09,0.036,0.015,False,1.4027400758530154920579970253
0.038,0.07,0.040,0.020,False,1.4023668519325608555637651893
0.028,0,0.036,0.022,False,1.4001583924974740716159871468
0.030,0,0.034,0.036,True,1.3997762586158293072807905122
0,0.02,0.032,0.010,True,1.3986541414194640786555328597
