StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0,0.198,0.013,False,2.2286182674202507184049904069
0.040,0,0.198,0.013,False,2.2150050227552131095310398829
0.039,0,0.197,0.013,False,2.0290258335576019843620430119
0.027,0.03,0.189,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.190,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.191,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.192,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.193,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.194,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.195,0.013,False,2.0210555465085511003023217177
0.027,0.03,0.189,0.012,False,2.0148346945332028643397449274
0.027,0.03,0.190,0.012,False,2.0148346945332028643397449274
0.027,0.03,0.191,0.012,False,2.0148346945332028643397449274
0.027,0.03,0.192,0.012,False,2.0148346945332028643397449274
0.027,0.03,0.193,0.012,False,2.0148346945332028643397449274
0.027,0.03,0.194,0.012,False,2.0148346945332028643397449274
0.040,0,0.196,0.013,False,2.0113735009597882724905469645
0.040,0,0.197,0.013,False,2.0113735009597882724905469645
0.026,0,0.190,0.013,False,2.0018843469941436796142672672
0.026,0,0.191,0.013,False,2.0018843469941436796142672672
0.026,0,0.192,0.013,False,2.0018843469941436796142672672
0.026,0,0.193,0.013,False,2.0018843469941436796142672672
0.026,0,0.194,0.013,False,2.0018843469941436796142672672
0.026,0,0.195,0.013,False,2.0018843469941436796142672672
0.028,0.03,0.189,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.190,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.191,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.192,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.193,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.194,0.013,False,1.9972021938099574879753828509
0.028,0.03,0.195,0.013,False,1.9972021938099574879753828509
0.026,0,0.190,0.012,False,1.9924142096171223954310094402
0.026,0,0.191,0.012,False,1.9924142096171223954310094402
0.026,0,0.192,0.012,False,1.9924142096171223954310094402
0.026,0,0.193,0.012,False,1.9924142096171223954310094402
0.026,0,0.194,0.012,False,1.9924142096171223954310094402
0.028,0.03,0.188,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.189,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.190,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.191,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.192,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.193,0.012,False,1.9909822620530353920375502441
0.028,0.03,0.194,0.012,False,1.9909822620530353920375502441
0.029,0.03,0.189,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.190,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.191,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.192,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.193,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.194,0.013,False,1.9741653358771763277721162540
0.029,0.03,0.195,0.013,False,1.9741653358771763277721162540
0.027,0,0.189,0.013,False,1.9718676408477810534001406686
0.027,0,0.190,0.013,False,1.9718676408477810534001406686
0.027,0,0.191,0.013,False,1.9718676408477810534001406686
0.027,0,0.192,0.013,False,1.9718676408477810534001406686
0.027,0,0.193,0.013,False,1.9718676408477810534001406686
0.027,0,0.194,0.013,False,1.9718676408477810534001406686
0.027,0,0.195,0.013,False,1.9718676408477810534001406686
0.029,0.03,0.188,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.189,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.190,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.191,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.192,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.193,0.012,False,1.9679466396120581489368823775
0.029,0.03,0.194,0.012,False,1.9679466396120581489368823775
0.027,0,0.189,0.012,False,1.9623981096462785522971143164
0.027,0,0.190,0.012,False,1.9623981096462785522971143164
0.027,0,0.191,0.012,False,1.9623981096462785522971143164
0.027,0,0.192,0.012,False,1.9623981096462785522971143164
0.027,0,0.193,0.012,False,1.9623981096462785522971143164
0.027,0,0.194,0.012,False,1.9623981096462785522971143164
0.028,0,0.189,0.013,False,1.9444804703033023525947468403
0.028,0,0.190,0.013,False,1.9444804703033023525947468403
0.028,0,0.191,0.013,False,1.9444804703033023525947468403
0.028,0,0.192,0.013,False,1.9444804703033023525947468403
0.028,0,0.193,0.013,False,1.9444804703033023525947468403
0.028,0,0.194,0.013,False,1.9444804703033023525947468403
0.028,0,0.195,0.013,False,1.9444804703033023525947468403
0.030,0.03,0.188,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.189,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.190,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.191,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.192,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.193,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.194,0.012,False,1.9441002386725075072229536679
0.030,0.03,0.189,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.190,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.191,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.192,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.193,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.194,0.013,False,1.9427061860745695983288785222
0.030,0.03,0.195,0.013,False,1.9427061860745695983288785222
0.034,0.01,0.195,0.013,False,1.9424651580536918404930290400
0.039,0.04,0.194,0.013,False,1.9362088960147131349448829946
0.028,0,0.188,0.012,False,1.9350118593202259915164646716
0.028,0,0.189,0.012,False,1.9350118593202259915164646716
0.028,0,0.190,0.012,False,1.9350118593202259915164646716
0.028,0,0.191,0.012,False,1.9350118593202259915164646716
0.028,0,0.192,0.012,False,1.9350118593202259915164646716
0.028,0,0.193,0.012,False,1.9350118593202259915164646716
0.028,0,0.194,0.012,False,1.9350118593202259915164646716
0.033,0.01,0.195,0.013,False,1.9321611378196835225056887441
0.039,0.06,0.195,0.012,False,1.9299773812173700406099074072
