StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.04,0.082,0.019,False,2.3203465711690741021761829103
0.013,0.05,0.083,0.016,True,2.2994019217819702498622265927
0.026,0.03,0.086,0.001,True,2.2866900113809322114832438079
0.014,0.06,0.082,0.016,True,2.2733425524732410381729681987
0.031,0.04,0.086,0.005,True,2.2535634878994083422643043380
0.031,0.04,0.086,0.006,True,2.2481459602489635551049149264
0.011,0.03,0.083,0.019,False,2.2430910595809017865809308697
0.011,0.03,0.082,0.019,False,2.2425476836798753948929217444
0.016,0.05,0.085,0.017,True,2.2314687432330932610246308351
0.016,0.05,0.086,0.017,True,2.2314687432330932610246308351
0.027,0.03,0.086,0.001,True,2.2284552808067939108844993729
0.013,0.05,0.085,0.016,True,2.2250073115634659608803861885
0.013,0.05,0.081,0.015,True,2.2171119671516396961801266127
0.013,0.05,0.082,0.015,True,2.2171119671516396961801266127
0.028,0.03,0.086,0.001,True,2.2054662991595021330994140593
0.032,0.04,0.086,0.007,True,2.2037689950314727882883712195
0.032,0.04,0.086,0.005,True,2.1990014670000620726633995436
0.014,0.06,0.084,0.016,True,2.1967939464508577678912768109
0.014,0.06,0.085,0.016,True,2.1967939464508577678912768109
0.032,0.04,0.086,0.006,True,2.1923862721760997293568166176
0.012,0.03,0.082,0.019,False,2.1890221362335127653578304592
0.013,0.05,0.084,0.016,True,2.1880797389943632379051317908
0.013,0.05,0.083,0.015,True,2.1808496650950671058553879926
0.038,0.04,0.082,0.024,False,2.1689016830577525653992727433
0.038,0.04,0.083,0.024,False,2.1689016830577525653992727433
0.038,0.04,0.084,0.024,False,2.1677747548470749732719520512
0.013,0.06,0.086,0.021,True,2.1658790427992082027767110468
0.038,0.04,0.082,0.023,False,2.1624820855197354998858052840
0.038,0.04,0.083,0.023,False,2.1624820855197354998858052840
0.038,0.04,0.084,0.023,False,2.1624820855197354998858052840
0.029,0.03,0.085,0.003,True,2.1621835675013926476482529626
0.037,0.01,0.084,0.022,False,2.1547585617240619963529253074
0.012,0.03,0.081,0.019,False,2.1537549265590714737480565281
0.028,0.03,0.085,0.002,True,2.1515928124536681775424813902
0.037,0.01,0.084,0.021,False,2.1485133901914483975795884353
0.038,0.04,0.082,0.022,False,2.1470988666606841621306419466
0.038,0.04,0.083,0.022,False,2.1470988666606841621306419466
0.038,0.04,0.084,0.022,False,2.1470988666606841621306419466
0.016,0.05,0.086,0.016,True,2.1446388849333424052837484420
0.014,0.06,0.083,0.016,True,2.1439590004944217601330591981
0.013,0.03,0.085,0.016,True,2.1424846449207533420758835417
0.038,0.04,0.082,0.021,False,2.1412868478383175965408577527
0.038,0.04,0.083,0.021,False,2.1412868478383175965408577527
0.038,0.04,0.084,0.021,False,2.1412868478383175965408577527
0.021,0.06,0.082,0.023,False,2.1408832385420337379342736181
0.013,0.04,0.081,0.015,True,2.1407210030783794497737700506
0.013,0.04,0.082,0.015,True,2.1407210030783794497737700506
0.013,0.04,0.083,0.015,True,2.1407210030783794497737700506
0.013,0.04,0.084,0.015,True,2.1405258575190053423463974358
0.013,0.06,0.086,0.022,True,2.1404849013668045019828219678
0.038,0.04,0.081,0.024,False,2.1385515802145646840591994243
0.011,0.06,0.088,0.021,True,2.1359641250456740194650919906
0.038,0.04,0.084,0.020,False,2.1341951147794039737248634943
0.038,0.04,0.083,0.020,False,2.1339315465127744160422413200
0.030,0.04,0.086,0.005,True,2.1338722269092458914885532492
0.037,0.03,0.082,0.024,False,2.1308961558413853153483008674
0.037,0.03,0.083,0.024,False,2.1308961558413853153483008674
0.013,0.04,0.082,0.016,True,2.1308133817724103061278252675
0.013,0.04,0.083,0.016,True,2.1308133817724103061278252675
0.013,0.04,0.084,0.016,True,2.1306182362130361987004526527
0.039,0.04,0.081,0.024,False,2.1268328070332556814109844043
0.039,0.04,0.082,0.024,False,2.1268328070332556814109844043
0.039,0.04,0.083,0.024,False,2.1257154719781586988497101639
0.039,0.04,0.084,0.024,False,2.1257154719781586988497101639
0.015,0.03,0.083,0.016,True,2.1252946665393084645284814609
0.019,0.06,0.085,0.023,False,2.1252266772487945780344621436
0.029,0.03,0.085,0.002,True,2.1252122199698164433985356334
0.037,0.03,0.081,0.024,False,2.1219714023015642415433437237
0.039,0.04,0.081,0.023,False,2.1204093448159110245539333866
0.039,0.04,0.082,0.023,False,2.1204093448159110245539333866
0.039,0.04,0.083,0.023,False,2.1204093448159110245539333866
0.015,0.03,0.082,0.016,True,2.1197417994755971150405325454
0.039,0.04,0.084,0.023,False,2.1192969480339431386374420612
0.037,0.03,0.082,0.023,False,2.1192169044612373581047828631
0.037,0.03,0.083,0.023,False,2.1192169044612373581047828631
0.037,0.03,0.084,0.023,False,2.1192169044612373581047828631
0.038,0.04,0.081,0.023,False,2.1151485092048725120753820428
0.033,0.05,0.085,0.007,True,2.1119712593263942255266427735
0.037,0.03,0.081,0.023,False,2.1102921509214162842998257194
0.037,0.03,0.082,0.022,False,2.1076545057406745829306974378
0.037,0.03,0.083,0.022,False,2.1076545057406745829306974378
0.037,0.03,0.084,0.022,False,2.1076545057406745829306974378
0.038,0.01,0.084,0.021,False,2.1057938899786108225746961153
0.039,0.04,0.081,0.022,False,2.1047618956312225856926242982
0.039,0.04,0.082,0.022,False,2.1047618956312225856926242982
0.039,0.04,0.083,0.022,False,2.1047618956312225856926242982
0.039,0.04,0.084,0.022,False,2.1047618956312225856926242982
0.037,0.03,0.083,0.021,False,2.1037426209663832598702548161
0.037,0.03,0.084,0.021,False,2.1037426209663832598702548161
0.037,0.01,0.084,0.020,False,2.1023014400319796223029281955
0.033,0.05,0.085,0.006,True,2.1019866585248949045178556836
0.013,0.06,0.085,0.021,True,2.1016399199431631416141318524
0.014,0.04,0.081,0.016,True,2.0989570012320520482472421108
0.014,0.04,0.082,0.016,True,2.0989570012320520482472421108
0.039,0.04,0.081,0.021,False,2.0989544747460537870990634828
0.039,0.04,0.082,0.021,False,2.0989544747460537870990634828
0.039,0.04,0.083,0.021,False,2.0989544747460537870990634828
0.039,0.04,0.084,0.021,False,2.0989544747460537870990634828
0.014,0.04,0.083,0.016,True,2.0987575727043311820545802259
0.014,0.04,0.084,0.016,True,2.0987575727043311820545802259
0.038,0.04,0.081,0.022,False,2.0986532534900082710755912334
0.039,0.04,0.084,0.020,False,2.0931982099870849795411869292
0.019,0.06,0.084,0.024,False,2.0924616164299820973967811840
0.019,0.06,0.085,0.024,False,2.0924616164299820973967811840
0.039,0.04,0.082,0.020,False,2.0921928543471351015948829373
0.039,0.04,0.083,0.020,False,2.0921928543471351015948829373
0.031,0.04,0.085,0.005,True,2.0884628373671821132367174458
0.038,0.03,0.081,0.024,False,2.0882548536190046907739644444
0.038,0.03,0.082,0.024,False,2.0882548536190046907739644444
0.038,0.03,0.083,0.024,False,2.0882548536190046907739644444
0.016,0.02,0.081,0.017,True,2.0861586829925148518609838338
0.013,0.02,0.084,0.016,True,2.0856105419888845930192383144
0.013,0.02,0.085,0.016,True,2.0856105419888845930192383144
0.015,0.02,0.082,0.016,True,2.0831322532814716112722624476
0.015,0.02,0.083,0.016,True,2.0831322532814716112722624476
0.040,0.04,0.081,0.024,False,2.0830416545810553712730564262
0.040,0.04,0.082,0.024,False,2.0830416545810553712730564262
0.040,0.04,0.083,0.024,False,2.0830416545810553712730564262
0.040,0.04,0.084,0.024,False,2.0830416545810553712730564262
0.014,0.03,0.084,0.016,True,2.0822697213974316324676191512
0.031,0.04,0.085,0.004,True,2.0801194133821202395627283543
0.031,0.04,0.086,0.004,True,2.0801194133821202395627283543
0.013,0.02,0.082,0.016,True,2.0795275103582022978073252255
0.013,0.02,0.083,0.016,True,2.0793283194552218931032772421
0.020,0.06,0.084,0.023,False,2.0791005530109418061748778087
0.020,0.06,0.085,0.023,False,2.0791005530109418061748778087
0.040,0.04,0.081,0.023,False,2.0780969295156594578205552265
0.040,0.04,0.082,0.023,False,2.0780969295156594578205552265
0.038,0.04,0.082,0.020,False,2.0775222528255546181271306923
0.040,0.04,0.083,0.023,False,2.0769940953615431176531182473
0.040,0.04,0.084,0.023,False,2.0769940953615431176531182473
0.038,0.03,0.081,0.023,False,2.0765484562545838436147987938
0.038,0.03,0.082,0.023,False,2.0765484562545838436147987938
0.038,0.03,0.083,0.023,False,2.0765484562545838436147987938
0.038,0.03,0.084,0.023,False,2.0765484562545838436147987938
0.014,0.03,0.082,0.016,True,2.0763573795514688827738890169
0.014,0.03,0.083,0.016,True,2.0763573795514688827738890169
0.011,0.06,0.087,0.021,True,2.0705279614181115104564537504
0.015,0.03,0.081,0.016,True,2.0698038588384480547120842799
0.031,0.04,0.086,0.003,True,2.0688329465087106365969810403
0.015,0.07,0.083,0.017,True,2.0685068532711971949290791948
0.038,0.03,0.081,0.022,False,2.0646337444530081255505336762
0.038,0.03,0.082,0.022,False,2.0646337444530081255505336762
0.038,0.03,0.083,0.022,False,2.0646337444530081255505336762
0.038,0.03,0.084,0.022,False,2.0646337444530081255505336762
0.040,0.04,0.081,0.022,False,2.0633594588823588744884002083
0.040,0.04,0.082,0.022,False,2.0633594588823588744884002083
