StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.07,0.092,0.026,False,2.0066366963880220367646202621
0.040,0.07,0.092,0.023,False,1.9680680320247669130150619024
0.040,0.07,0.092,0.024,False,1.9659416216885762621237964389
0.040,0.07,0.092,0.022,False,1.9616347570090460314772640434
0.040,0.07,0.092,0.027,False,1.9584158190408153568270178311
0.040,0.08,0.092,0.023,False,1.9561904464498596031196884890
0.040,0.07,0.092,0.021,False,1.9556388861006181372927388593
0.040,0.08,0.092,0.024,False,1.9552696789300653794539007933
0.040,0.08,0.092,0.022,False,1.9497618478548073947919018753
0.040,0.08,0.092,0.021,False,1.9449978685778509595591064747
0.040,0.08,0.092,0.027,False,1.9425334574906521475599247865
0.040,0.07,0.092,0.025,False,1.9330211220591549054515846972
0.032,0.03,0.112,0.009,False,1.8705125064335195687507390846
0.040,0.08,0.108,0.002,False,1.8583513136439602211163340598
0.040,0.07,0.093,0.021,False,1.8503616029034175737632808448
0.040,0.08,0.093,0.021,False,1.8368886749067518409806650867
0.039,0.02,0.119,0.008,False,1.8331803328046116667841177689
0.039,0.07,0.093,0.022,False,1.8189628064929927221458266748
0.039,0.06,0.108,0.002,False,1.8148137143453017863551377741
0.040,0.08,0.092,0.026,False,1.8136923405047573138620462686
0.039,0.07,0.093,0.021,False,1.8112757324877514370128773133
0.039,0.07,0.091,0.022,False,1.8059036569383154090769408184
0.039,0.08,0.093,0.022,False,1.8051104160439251558503838354
0.040,0.02,0.118,0.008,False,1.8029556752668267882714366379
0.039,0.07,0.108,0.002,False,1.7996173580810595461258111135
0.039,0.08,0.093,0.021,False,1.7982282587176844407731469979
0.039,0.03,0.119,0.008,False,1.7938265500393361766843561512
0.040,0.08,0.108,0.003,False,1.7890345310284495706010582808
0.039,0.06,0.109,0.002,False,1.7852322940016132564989877637
0.039,0.04,0.119,0.008,False,1.7842928602737286442644181316
0.040,0.07,0.109,0.003,False,1.7833755511229890050092031090
0.039,0.07,0.109,0.002,False,1.7751050809807489091194954824
0.039,0.05,0.119,0.008,False,1.7717330970737509331352893668
0.040,0.07,0.108,0.002,False,1.7669457209145455865928864872
0.040,0.03,0.118,0.008,False,1.7652483505685680958938488286
0.040,0.03,0.119,0.008,False,1.7652483505685680958938488286
0.037,0.02,0.112,0.001,False,1.7635438179112752029216695320
0.040,0.07,0.091,0.022,False,1.7611679806767806773199034757
0.037,0.03,0.112,0.001,False,1.7587935248602575672665371191
0.040,0.04,0.118,0.008,False,1.7550396548203275300581328979
0.040,0.04,0.119,0.008,False,1.7550396548203275300581328979
0.037,0,0.112,0.001,False,1.7537339359474221613006944841
0.040,0.07,0.091,0.021,False,1.7534631878931917021774251376
0.039,0.05,0.118,0.009,False,1.7522467163946375741755926348
0.039,0.05,0.119,0.009,False,1.7522467163946375741755926348
0.033,0.07,0.113,0.005,True,1.7510510588977303078217991853
0.037,0.02,0.111,0.001,False,1.7507228454667771535956579359
0.039,0.07,0.112,0.005,True,1.7497128038809321054050678055
0.037,0.03,0.111,0.001,False,1.7491063029699585266687463292
0.032,0.04,0.112,0.009,False,1.7484987821177687179196035199
0.025,0.10,0.083,0.009,True,1.7482829215747027562083231120
0.033,0.07,0.113,0.006,True,1.7480317063934503875110329056
0.033,0.07,0.114,0.006,True,1.7478695886579228979966146074
0.040,0.08,0.091,0.022,False,1.7477760461667376869840264358
0.039,0.06,0.108,0.003,False,1.7474095196912501577106299842
0.039,0.06,0.109,0.003,False,1.7474095196912501577106299842
0.040,0.08,0.092,0.025,False,1.7445234184627731730654728838
0.040,0.05,0.118,0.008,False,1.7431808823589344203918953111
0.040,0.05,0.119,0.008,False,1.7431808823589344203918953111
0.037,0.04,0.111,0.001,False,1.7431743215297056270310808128
0.039,0.06,0.112,0.001,True,1.7424817939083054788298249400
0.039,0.07,0.112,0.004,True,1.7421811097513038846923022942
0.036,0.03,0.115,0.013,True,1.7408782635140117540643053279
0.039,0.06,0.112,0.002,True,1.7367192192693117269059977360
0.039,0.08,0.108,0.003,False,1.7364098733532157576733683635
0.040,0.08,0.119,0.008,True,1.7354425453133047844277643643
0.039,0.07,0.112,0.001,True,1.7348976495928367513143553272
0.037,0.05,0.111,0.001,False,1.7342543682362851942453220881
0.039,0.07,0.108,0.003,False,1.7342347461377801454705276412
0.039,0.07,0.109,0.003,False,1.7342347461377801454705276412
0.035,0.07,0.112,0.005,True,1.7335707752176237561087838985
0.035,0.05,0.115,0.013,True,1.7332700744002902820714045770
0.039,0.07,0.112,0.003,True,1.7330442126747998194029747271
0.032,0.03,0.112,0.010,False,1.7325240030541002406943296104
0.037,0.01,0.112,0.001,False,1.7305808637825231728329481886
0.039,0.07,0.112,0.002,True,1.7291340396337246070839229016
0.026,0.02,0.148,0.022,False,1.7275539063883563944840397864
0.036,0.06,0.113,0.011,True,1.7272371168775274448878507550
0.036,0.06,0.114,0.011,True,1.7272371168775274448878507550
0.036,0.06,0.115,0.011,True,1.7272371168775274448878507550
0.040,0.06,0.118,0.008,False,1.7270966004417614528981918726
0.032,0.03,0.111,0.009,False,1.7236779738902196339948749460
0.032,0.03,0.110,0.009,False,1.7236774429934580973678144736
0.040,0.05,0.118,0.009,False,1.7222977385898238471022321515
0.040,0.05,0.119,0.009,False,1.7222977385898238471022321515
0.036,0.06,0.113,0.012,True,1.7214111319250321393258829018
0.036,0.06,0.114,0.012,True,1.7214111319250321393258829018
0.036,0.06,0.115,0.012,True,1.7214111319250321393258829018
0.039,0.08,0.114,0.003,True,1.7202069886754099152476353661
0.039,0.08,0.115,0.003,True,1.7202069886754099152476353661
0.040,0.02,0.098,0.024,False,1.7191380839423973678204683094
0.039,0.03,0.112,0.018,True,1.7183666550144228667164076352
0.039,0.07,0.115,0.007,True,1.7181626504193759301134664180
0.039,0.08,0.111,0.005,True,1.7175670436299403760909922167
0.039,0.06,0.117,0.009,False,1.7173586175369717816579844973
0.039,0.06,0.118,0.009,False,1.7173586175369717816579844973
0.037,0,0.111,0.001,False,1.7167732537353645229252640646
0.040,0.03,0.112,0.003,False,1.7158694191083321324154728557
0.039,0.03,0.112,0.019,True,1.7150075104261375797969677516
0.039,0.08,0.112,0.005,True,1.7149617274059238937893393239
0.039,0.08,0.113,0.005,True,1.7149485730494493326579822589
0.039,0.08,0.114,0.005,True,1.7149485730494493326579822589
0.039,0.08,0.115,0.005,True,1.7149485730494493326579822589
0.039,0.07,0.109,0.010,True,1.7148601294877722388387334593
0.036,0.06,0.112,0.013,True,1.7147534646450139387513738699
0.036,0.06,0.113,0.013,True,1.7147534646450139387513738699
0.036,0.06,0.114,0.013,True,1.7147534646450139387513738699
0.036,0.06,0.115,0.013,True,1.7147534646450139387513738699
0.037,0.01,0.111,0.001,False,1.7146204235898028707397997334
0.039,0.05,0.108,0.002,False,1.7144771139237380567499629294
0.039,0.07,0.118,0.001,True,1.7143207605511579303663066886
0.032,0.03,0.144,0.010,True,1.7139461954014066153866541060
0.039,0.08,0.111,0.006,True,1.7123872058597152707131619398
0.039,0.08,0.113,0.004,True,1.7111478726412759335826697050
0.039,0.08,0.114,0.004,True,1.7111478726412759335826697050
0.039,0.08,0.115,0.004,True,1.7111478726412759335826697050
0.040,0.08,0.114,0.003,True,1.7109236109618081015795197037
0.039,0.06,0.110,0.011,True,1.7108633332539926459766707235
0.039,0.08,0.111,0.004,True,1.7106531769095162280689046293
0.039,0.08,0.112,0.004,True,1.7106531769095162280689046293
0.040,0.01,0.098,0.024,False,1.7101876845243389668146203974
