StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.07,0.092,0.026,False,1.9820330878587710799576219023
0.040,0.07,0.092,0.023,False,1.9434644234955159562080635426
0.040,0.07,0.092,0.024,False,1.9413380131593253053167980791
0.040,0.07,0.092,0.022,False,1.9370311484797950746702656836
0.040,0.07,0.092,0.027,False,1.9338122105115644000200194713
0.040,0.08,0.092,0.023,False,1.9316069993042709661352580055
0.040,0.07,0.092,0.021,False,1.9310352775713671804857404995
0.040,0.08,0.092,0.024,False,1.9306862317844767424694703098
0.040,0.08,0.092,0.022,False,1.9251784007092187578074713918
0.040,0.08,0.092,0.021,False,1.9204144214322623225746759912
0.040,0.08,0.092,0.027,False,1.9179500103450635105754943030
0.040,0.07,0.092,0.025,False,1.9084175135299039486445863374
0.032,0.03,0.112,0.009,False,1.8959649951213023741806033380
0.040,0.08,0.108,0.002,False,1.8835896759546725037859919398
0.039,0.02,0.119,0.008,False,1.8586328214923944722139820223
0.040,0.02,0.118,0.008,False,1.8284081639546095937013008913
0.040,0.07,0.093,0.021,False,1.8258784690622859089101796478
0.039,0.03,0.119,0.008,False,1.8192790387271189821142204046
0.040,0.08,0.108,0.003,False,1.8142728933391618532707161608
0.040,0.08,0.093,0.021,False,1.8124055410656201761275638897
0.039,0.04,0.119,0.008,False,1.8097165890872879662983164367
0.039,0.05,0.119,0.008,False,1.7971138077336494102926497729
0.039,0.07,0.093,0.022,False,1.7945062847538622873632179791
0.039,0.06,0.108,0.002,False,1.7907108755665122844804725357
0.040,0.03,0.118,0.008,False,1.7907008392563509013237130820
0.040,0.03,0.119,0.008,False,1.7907008392563509013237130820
0.040,0.08,0.092,0.026,False,1.7891088933591686768776157851
0.037,0.02,0.112,0.001,False,1.7889963065990580083515337854
0.039,0.07,0.093,0.021,False,1.7868192107486210022302686176
0.037,0.03,0.112,0.001,False,1.7842460135480403726964013725
0.039,0.07,0.091,0.022,False,1.7813269229131925254068152040
0.039,0.08,0.093,0.022,False,1.7806538943047947210677751397
0.040,0.04,0.118,0.008,False,1.7804633836338868520920312030
0.040,0.04,0.119,0.008,False,1.7804633836338868520920312030
0.037,0,0.112,0.001,False,1.7791864246352049667305587375
0.039,0.05,0.118,0.009,False,1.7776274270545360513329530409
0.039,0.05,0.119,0.009,False,1.7776274270545360513329530409
0.033,0.07,0.113,0.005,True,1.7763390611455527298504589212
0.039,0.07,0.108,0.002,False,1.7755145193022700442511458751
0.039,0.07,0.112,0.005,True,1.7750008061287545274337275414
0.025,0.10,0.083,0.009,True,1.7741673046635724714801091344
0.032,0.04,0.112,0.009,False,1.7739225109313280399535018250
0.039,0.08,0.093,0.021,False,1.7737717369785540059905383022
0.033,0.07,0.113,0.006,True,1.7733197086412728095396926415
0.033,0.07,0.114,0.006,True,1.7731575909057453200252743433
0.040,0.05,0.118,0.008,False,1.7685615930188328975492557172
0.040,0.05,0.119,0.008,False,1.7685615930188328975492557172
0.039,0.06,0.112,0.001,True,1.7678125003535630076786850582
0.039,0.07,0.112,0.004,True,1.7674691119991263067209620301
0.036,0.03,0.115,0.013,True,1.7663307522017945594941695813
0.039,0.06,0.112,0.002,True,1.7620499257145692557548578542
0.039,0.08,0.108,0.003,False,1.7616482356639280403430262435
0.039,0.06,0.109,0.002,False,1.7611294552228237546243225253
0.040,0.08,0.119,0.008,True,1.7606809076240170670974222443
0.039,0.07,0.112,0.001,True,1.7601856518406591733430150631
0.040,0.07,0.109,0.003,False,1.7592985045740323436929912310
