StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.03,0.115,0.003,False,1.9470160580858262139131680139
0.040,0,0.088,0.008,False,1.9445936196254306764791051758
0.025,0.12,0.156,0.003,False,1.9253394410699809171570449277
0.025,0.12,0.157,0.003,False,1.9253394410699809171570449277
0.034,0,0.113,0.003,False,1.8650980948101323892844196642
0.026,0.12,0.156,0.003,False,1.8595988515318387476320615145
0.040,0,0.101,0.008,False,1.8512609433038466431233700720
0.040,0.03,0.112,0.003,False,1.8495979550074038645801536511
0.040,0.03,0.113,0.003,False,1.8495979550074038645801536511
0.040,0.03,0.114,0.003,False,1.8495979550074038645801536511
0.039,0,0.091,0.008,False,1.8407814576420976055327890278
0.025,0.11,0.156,0.003,False,1.8322853957370214010542315261
0.040,0,0.102,0.008,False,1.8238168090970697440396314873
0.035,0,0.112,0.003,False,1.8187876722729763518853071522
0.035,0,0.113,0.003,False,1.8187876722729763518853071522
0.039,0.02,0.141,0.003,False,1.8120441152166418917388682211
0.039,0.02,0.140,0.003,False,1.8111914409211854556897934352
0.040,0.01,0.119,0.002,False,1.8090303017167770759978850062
0.036,0,0.112,0.003,False,1.7824948405665443631134869166
0.034,0,0.112,0.003,False,1.7597638815070387654805083512
0.039,0.01,0.116,0.033,False,1.7581070227738310389321396399
0.035,0.09,0.155,0.011,False,1.7569432106092562332678284156
0.035,0.10,0.155,0.011,False,1.7553731072758952916060863865
0.040,0,0.106,0.001,False,1.7532195623008602345598432182
0.039,0.01,0.141,0.002,False,1.7405631031996534762886665112
0.039,0.01,0.137,0.002,False,1.7395071645153262814258382091
0.039,0.01,0.138,0.002,False,1.7395071645153262814258382091
0.039,0.01,0.139,0.002,False,1.7395071645153262814258382091
0.039,0.01,0.140,0.002,False,1.7395071645153262814258382091
0.039,0.01,0.119,0.002,False,1.7365672536902913263366121996
0.039,0.02,0.158,0.026,False,1.7354051231553846593296210247
0.033,0.02,0.101,0.024,False,1.7296200529184875602206079734
0.036,0.09,0.155,0.011,False,1.7282336595837065001884934252
0.036,0.10,0.155,0.011,False,1.7262842210928075733575810703
0.035,0,0.112,0.007,False,1.7229756873105592205515590756
0.040,0,0.101,0.002,False,1.7203089375181975387445673371
0.039,0.01,0.116,0.030,False,1.7200148580860585400139964402
0.035,0.02,0.101,0.023,False,1.7194050518997688777201308321
0.040,0.01,0.098,0.024,False,1.7193230824438284601552039614
0.039,0.01,0.116,0.031,False,1.7186624595780616875778766455
0.035,0.02,0.101,0.024,False,1.7166711069881956099325852345
0.039,0.01,0.116,0.032,False,1.7161486540420257873765109954
0.040,0.03,0.096,0.024,False,1.7131819350750694224939539232
0.039,0.02,0.158,0.025,False,1.7123085972864609269037882666
0.040,0,0.143,0.010,False,1.7115405813328927498790672947
0.026,0.12,0.155,0.001,False,1.7112633764920275426091584819
0.026,0.12,0.156,0.001,False,1.7112633764920275426091584819
0.040,0.03,0.096,0.023,False,1.7055790216356195003011239456
0.040,0.02,0.097,0.024,False,1.7037865520858085044762003256
0.040,0.02,0.098,0.024,False,1.7037865520858085044762003256
0.033,0.01,0.101,0.024,False,1.7022583022517060767337060717
0.037,0.09,0.155,0.011,False,1.6997288973594199077287416662
