StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.031,0,0.059,0.004,False,2.2205385788876864749113152089
0.030,0.17,0.048,0.001,True,2.2136000287068813344231333109
0.023,0.12,0.072,0.007,True,2.2022308673755953090176478380
0.031,0.01,0.059,0.004,False,2.1932421704233617085040892587
0.030,0.10,0.052,0.003,False,2.1816394314870850145428812096
0.020,0.12,0.070,0.012,True,2.1789733639866835906775458388
0.030,0.06,0.052,0.003,False,2.1569800905618194568359017943
0.031,0.06,0.059,0.004,False,2.1556511635308439556721844652
0.031,0.02,0.052,0.003,False,2.1388511651343266112883478608
0.030,0.07,0.052,0.003,False,2.1334359059304633681581548728
0.020,0.12,0.072,0.012,True,2.1199527852369159154879253029
0.030,0.11,0.057,0.003,False,2.1180000701263874147686954418
0.030,0.08,0.052,0.003,False,2.1174883624511187298436546487
0.024,0.13,0.072,0.007,True,2.1162417924829792838294708257
0.030,0.10,0.057,0.003,False,2.1068547163282354783648735672
0.031,0.10,0.052,0.003,False,2.1004612858455095743337567311
0.019,0.11,0.073,0.002,True,2.1001028458864634875224673735
0.029,0.12,0.051,0.003,False,2.0984191023513205116605655298
0.030,0.09,0.052,0.003,False,2.0974563693085053875394843598
0.025,0.15,0.071,0.001,True,2.0917305445034383984208732144
0.031,0,0.052,0.003,False,2.0905726438556233361710378612
0.030,0.01,0.054,0.003,False,2.0857910375141289279107847392
0.031,0.06,0.059,0.002,False,2.0851688729116890879676227185
0.030,0.04,0.059,0.004,False,2.0834731160545070589095797454
0.020,0.11,0.075,0.002,True,2.0795856835766085221411168787
0.031,0.01,0.052,0.003,False,2.0785766313951437566086814980
0.024,0.14,0.070,0.002,True,2.0776561520752612443168888177
0.030,0.02,0.054,0.003,False,2.0771687834258910006860127136
0.030,0.03,0.054,0.003,False,2.0764340502609429309085486606
0.031,0.10,0.058,0.001,False,2.0742501760084222972289070692
0.031,0.06,0.052,0.003,False,2.0727460305398348547731433651
0.019,0.12,0.073,0.002,True,2.0721272093836995192386065700
0.019,0.07,0.073,0.002,True,2.0715753025504371912755798130
0.029,0.10,0.057,0.004,False,2.0710484955055755182145136996
0.028,0.20,0.049,0.023,True,2.0639668715343124347188476393
0.020,0.13,0.072,0.012,True,2.0596703622614699317600963280
0.030,0.12,0.051,0.003,False,2.0580343622327666333778629604
0.030,0.17,0.048,0.025,True,2.0574010148506909176815413733
0.030,0.17,0.048,0.027,True,2.0573191331056084126211283268
0.025,0.14,0.072,0.007,True,2.0534435882038502559129710492
0.029,0.11,0.057,0.004,False,2.0513158813365805549024990985
0.025,0.14,0.070,0.001,True,2.0508279800821966089096547305
0.030,0.12,0.056,0.003,False,2.0504191028621627683639693165
0.031,0.07,0.052,0.003,False,2.0501379024242022334357635434
0.031,0.02,0.059,0.004,False,2.0499427383246271331025313792
0.024,0.12,0.071,0.001,True,2.0469165074390044288087203310
0.024,0.13,0.071,0.001,True,2.0448419747288406982237643900
0.021,0.10,0.052,0.001,True,2.0446790439607350881774483840
0.020,0.09,0.075,0.002,True,2.0438685608116462259777482976
0.025,0.13,0.070,0.001,True,2.0428051475921778055081204021
0.031,0.11,0.057,0.003,False,2.0403704574880173273080212474
0.030,0.01,0.053,0.003,False,2.0380592950316848890371779089
0.031,0.03,0.059,0.004,False,2.0374267734450355499221547311
0.029,0.10,0.052,0.003,False,2.0363113335606357922911320718
0.031,0.08,0.052,0.003,False,2.0343370280706492664930791781
0.025,0.13,0.071,0.006,True,2.0342835279539950360811138099
0.019,0.12,0.070,0.011,True,2.0314804752517830195876367160
0.023,0.13,0.070,0.002,True,2.0310424694279424600491864895
0.029,0,0.054,0.003,False,2.0310207557958032082203685805
0.020,0.10,0.072,0.007,True,2.0305252821040410189090259595
0.031,0.10,0.057,0.003,False,2.0296872593756570441266704376
0.025,0.13,0.072,0.006,True,2.0295729363848346322038029322
0.030,0.02,0.053,0.003,False,2.0294370409434469618124058833
0.031,0.07,0.054,0.003,False,2.0279527199420286321936172546
0.029,0.01,0.054,0.003,False,2.0269030696763105669498039769
0.031,0.08,0.054,0.003,False,2.0262218721835217011711451466
0.024,0.14,0.069,0.002,True,2.0261270623795213019245129169
0.030,0.16,0.048,0.027,True,2.0261252503420004585999506921
0.030,0,0.054,0.003,False,2.0254828671405553735916282124
0.024,0.14,0.071,0.001,True,2.0238941120784631117920771502
0.024,0.15,0.071,0.001,True,2.0234460677966503366985145353
0.025,0.14,0.069,0.001,True,2.0208190295800580776122241607
0.033,0.10,0.058,0.027,False,2.0181248219636134040550537943
0.029,0.02,0.054,0.003,False,2.0179375755894061777794810776
0.029,0.06,0.050,0.003,False,2.0174515276449385214980454131
0.032,0.01,0.051,0.003,False,2.0169228955893905718656981215
0.031,0.09,0.052,0.003,False,2.0164720392202863738691043721
0.023,0.14,0.074,0.002,True,2.0152645406968950228054302574
0.030,0.17,0.048,0.028,True,2.0143336941995041056635088185
0.030,0.17,0.048,0.040,True,2.0105319113730869169251165345
0.032,0.02,0.051,0.003,False,2.0099075962898467907562885222
0.031,0.29,0.062,0.004,False,2.0086226932938165727744045725
0.019,0.13,0.070,0.011,True,2.0076735991849510478080300781
0.030,0.17,0.048,0.026,True,2.0073702279016651914356012345
0.020,0.10,0.075,0.002,True,2.0065090622338055207580533204
0.031,0.12,0.056,0.003,False,2.0064466239987129147158546033
0.028,0.12,0.051,0.003,False,2.0055025634523701432447557934
0.030,0.05,0.052,0.004,False,2.0045121978940840542158302819
0.023,0.14,0.074,0.010,True,2.0043343324830688684003720165
0.029,0.12,0.050,0.003,False,2.0032655041640422110359290632
0.030,0.12,0.052,0.003,False,2.0030535824282171501724415753
0.031,0.06,0.054,0.003,False,2.0028332010018703230240635214
0.028,0.14,0.071,0.007,True,1.9993989475690112136397055433
0.024,0.11,0.071,0.001,True,1.9992416483648784901965399548
0.024,0.13,0.070,0.001,True,1.9982130648357741580122299481
0.029,0.07,0.050,0.003,False,1.9981661292307012274905947098
0.019,0.09,0.075,0.002,True,1.9973057151494606381759464072
0.028,0.06,0.050,0.005,True,1.9955104221055862553836846573
0.019,0.10,0.070,0.011,True,1.9942430359796063002954380765
0.019,0.10,0.072,0.007,True,1.9928642777109420141927861813
