StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.013,0.05,0.083,0.016,True,2.3626883618837215392894589132
0.026,0.03,0.086,0.001,True,2.3522381188509019843509357817
0.014,0.06,0.082,0.016,True,2.3190341228871656905130440839
0.027,0.03,0.086,0.001,True,2.2938086533009811085267881890
0.031,0.04,0.086,0.005,True,2.2918578931139656480763630017
0.031,0.04,0.086,0.006,True,2.2864403654635208609169735901
0.013,0.05,0.081,0.015,True,2.2802032629187717888839457895
0.013,0.05,0.082,0.015,True,2.2802032629187717888839457895
0.028,0.03,0.086,0.001,True,2.2708955171982844626702825835
0.016,0.05,0.085,0.017,True,2.2691390611598899481739762799
0.016,0.05,0.086,0.017,True,2.2691390611598899481739762799
0.013,0.05,0.085,0.016,True,2.2625672476316598873588092040
