StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.08,0.237,0.025,False,2.2912046853057936015412523685
0.027,0.08,0.238,0.025,False,2.2912046853057936015412523685
0.027,0.08,0.239,0.025,False,2.2912046853057936015412523685
0.027,0.08,0.240,0.025,False,2.2912046853057936015412523685
0.025,0.02,0.205,0.010,False,2.2617357309634167765774696352
0.025,0.02,0.204,0.010,False,2.2611441626538175565568590597
0.029,0.12,0.235,0.022,False,2.2557386853212908480542745742
0.029,0.12,0.236,0.022,False,2.2557386853212908480542745742
0.029,0.12,0.237,0.022,False,2.2557386853212908480542745742
0.029,0.12,0.238,0.022,False,2.2557386853212908480542745742
0.029,0.12,0.239,0.022,False,2.2557386853212908480542745742
0.026,0.07,0.235,0.025,False,2.2542144615216993782555675383
0.026,0.07,0.236,0.025,False,2.2542144615216993782555675383
0.026,0.07,0.237,0.025,False,2.2542144615216993782555675383
0.026,0.07,0.238,0.025,False,2.2542144615216993782555675383
0.026,0.07,0.239,0.025,False,2.2542144615216993782555675383
0.026,0.07,0.240,0.025,False,2.2542144615216993782555675383
0.025,0.02,0.204,0.009,False,2.2477717138816100372625712487
0.026,0.02,0.203,0.010,False,2.2420401275483392188787220995
0.026,0.02,0.204,0.010,False,2.2417946290769973560682612861
0.026,0.07,0.234,0.025,False,2.2353154465138705299020338539
0.026,0.02,0.203,0.009,False,2.2286658387048344157505859583
