StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.004,0.24,0.132,0.005,False,2.8474753484491034026346687001
0.004,0.24,0.131,0.005,False,2.8474753484491034026346687001
0.004,0.24,0.134,0.005,False,2.8474753484491034026346687001
0.004,0.24,0.133,0.005,False,2.8474753484491034026346687001
0.003,0.23,0.132,0.005,False,2.8136226982737575026484616804
0.003,0.23,0.131,0.005,False,2.8136226982737575026484616804
0.004,0.23,0.132,0.005,False,2.8098309778024828948466292886
0.004,0.23,0.131,0.005,False,2.8098309778024828948466292886
0.005,0.23,0.132,0.005,False,2.7627652181858266512853379697
0.005,0.23,0.131,0.005,False,2.7627652181858266512853379697
0.005,0.24,0.132,0.005,False,2.7548665998843487712669807620
0.005,0.24,0.131,0.005,False,2.7548665998843487712669807620
0.003,0.24,0.131,0.005,False,2.7516781041003511209390057986
0.003,0.24,0.132,0.005,False,2.7516781041003511209390057986
0.022,0.13,0.131,0.012,False,2.7301322760225073137684452573
0.022,0.13,0.132,0.012,False,2.7301322760225073137684452573
0.004,0.25,0.132,0.005,False,2.7203310195772491581250146205
0.004,0.25,0.131,0.005,False,2.7203310195772491581250146205
0.022,0.13,0.132,0.013,False,2.7084772522070557329416373955
0.022,0.13,0.131,0.013,False,2.7084772522070557329416373955
0.003,0.25,0.132,0.005,False,2.6795903629537974916315959183
0.003,0.25,0.131,0.005,False,2.6795903629537974916315959183
0.008,0.24,0.138,0.007,False,2.6560657845603153705791082449
0.008,0.24,0.140,0.007,False,2.6560657845603153705791082449
0.008,0.24,0.139,0.007,False,2.6560657845603153705791082449
0.008,0.24,0.131,0.007,False,2.6481022782332997886198221743
0.008,0.24,0.132,0.007,False,2.6481022782332997886198221743
0.020,0.13,0.138,0.013,False,2.6232138215387965454118601622
0.020,0.13,0.139,0.013,False,2.6232138215387965454118601622
0.020,0.13,0.134,0.013,False,2.6229992926520049669370808002
0.020,0.13,0.136,0.013,False,2.6229992926520049669370808002
0.020,0.13,0.135,0.013,False,2.6229992926520049669370808002
0.020,0.13,0.137,0.013,False,2.6229992926520049669370808002
0.004,0.26,0.131,0.005,False,2.6168750440775212375708304495
0.004,0.26,0.132,0.005,False,2.6168750440775212375708304495
0.021,0.13,0.139,0.012,False,2.6134085412376035049775127058
0.022,0.14,0.133,0.013,False,2.5976305535326389968582842125
0.020,0.13,0.138,0.012,False,2.5966252180780122211284690670
0.020,0.13,0.137,0.012,False,2.5966252180780122211284690670
0.020,0.13,0.135,0.012,False,2.5964088837503440168541803035
0.020,0.13,0.136,0.012,False,2.5964088837503440168541803035
0.003,0.27,0.131,0.005,False,2.5791073806269131623923570629
0.003,0.27,0.132,0.005,False,2.5791073806269131623923570629
0.021,0.13,0.138,0.013,False,2.5770555910757697989884867358
0.021,0.13,0.136,0.013,False,2.5768477306862836164834474307
0.021,0.13,0.134,0.013,False,2.5768477306862836164834474307
0.021,0.13,0.135,0.013,False,2.5768477306862836164834474307
0.021,0.13,0.133,0.013,False,2.5768477306862836164834474307
0.021,0.13,0.137,0.013,False,2.5768477306862836164834474307
0.021,0.14,0.137,0.009,False,2.5610610275018258774688345010
0.021,0.14,0.139,0.009,False,2.5610610275018258774688345010
0.021,0.14,0.138,0.009,False,2.5610610275018258774688345010
0.021,0.14,0.140,0.009,False,2.5610610275018258774688345010
0.020,0.13,0.132,0.012,False,2.5594889043227876274315410298
0.020,0.13,0.131,0.012,False,2.5594889043227876274315410298
0.020,0.13,0.133,0.012,False,2.5594889043227876274315410298
0.023,0.14,0.132,0.013,False,2.5515511529208113262760664533
0.021,0.13,0.138,0.012,False,2.5436058544347686897428194526
0.021,0.13,0.137,0.012,False,2.5436058544347686897428194526
0.021,0.13,0.133,0.012,False,2.5433961886044058814382707460
0.021,0.13,0.135,0.012,False,2.5433961886044058814382707460
0.021,0.13,0.136,0.012,False,2.5433961886044058814382707460
0.021,0.13,0.134,0.012,False,2.5433961886044058814382707460
0.018,0.13,0.140,0.010,False,2.5351871754545461282581047074
