StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0,0.148,0.005,True,2.6746419848573215143667594422
0.025,0,0.148,0.005,True,2.6702132595303073866122959745
0.026,0.01,0.148,0.005,True,2.6694928362794019199785218791
0.025,0.01,0.148,0.005,True,2.6650641626522633269361371714
0.028,0.01,0.148,0.005,True,2.6606753124257143429922598566
0.027,0,0.148,0.005,True,2.6304526858149528418101243205
0.027,0.01,0.148,0.005,True,2.6245537847733143333873648980
0.029,0.03,0.146,0.007,True,2.6166439217059567255338682180
0.029,0.03,0.146,0.005,True,2.6118117475172655730573864602
0.029,0.04,0.146,0.005,True,2.6004541363979310080701108650
0.030,0.04,0.146,0.005,True,2.5560422765574806515808919374
0.024,0,0.148,0.005,True,2.5542488108492965573651586527
0.030,0.04,0.146,0.006,True,2.5457881500922278619344889878
0.024,0,0.150,0.013,True,2.5295085751034059822506837326
0.030,0.04,0.145,0.005,True,2.5276357739325314133015231635
0.026,0.05,0.147,0.016,True,2.5214681849364553341271676874
0.026,0.05,0.148,0.016,True,2.5214681849364553341271676874
0.024,0.01,0.149,0.013,True,2.5206207095790160527179371703
0.024,0.01,0.150,0.013,True,2.5206207095790160527179371703
0.026,0.05,0.150,0.016,True,2.5169662663691168490381573838
0.026,0.05,0.149,0.016,True,2.5169662663691168490381573838
0.025,0.05,0.147,0.015,True,2.5161386197750981734806107551
0.025,0.05,0.149,0.015,True,2.5161386197750981734806107551
0.025,0.05,0.148,0.015,True,2.5161386197750981734806107551
0.025,0.05,0.150,0.015,True,2.5161386197750981734806107551
0.026,0.06,0.148,0.016,True,2.5074012207661021565100822725
0.024,0,0.150,0.014,True,2.5065276395599067753698618739
0.026,0.06,0.149,0.016,True,2.4996001241656261933542441580
0.026,0.06,0.150,0.016,True,2.4996001241656261933542441580
0.024,0.01,0.148,0.014,True,2.4976380075881251820556460513
0.024,0.01,0.149,0.014,True,2.4976380075881251820556460513
0.024,0.01,0.150,0.014,True,2.4976380075881251820556460513
0.024,0.01,0.148,0.005,True,2.4911313471336944026083058799
0.025,0,0.149,0.013,True,2.4771185207745450098291836980
0.025,0.02,0.149,0.013,True,2.4770210138910235271197625361
0.029,0.01,0.148,0.005,True,2.4706228509708509191030488833
0.025,0.01,0.149,0.013,True,2.4682387530135216123453817526
0.025,0.02,0.148,0.014,True,2.4613385681661716055923172029
0.025,0.02,0.149,0.014,True,2.4613385681661716055923172029
0.025,0,0.149,0.014,True,2.4527622876641131194960933124
0.025,0,0.150,0.014,True,2.4527622876641131194960933124
0.025,0.01,0.148,0.014,True,2.4438807534556980582308221067
0.025,0.01,0.150,0.014,True,2.4438807534556980582308221067
0.025,0.01,0.149,0.014,True,2.4438807534556980582308221067
0.026,0.02,0.150,0.016,True,2.4357387124168936850826243001
0.026,0.02,0.149,0.016,True,2.4357387124168936850826243001
0.024,0.03,0.148,0.009,True,2.4344392022157234947575172342
0.026,0.07,0.150,0.005,True,2.4297230761561502475681004459
0.026,0,0.149,0.016,True,2.4251408512743929404274370123
0.026,0,0.150,0.016,True,2.4251408512743929404274370123
0.026,0,0.149,0.013,True,2.4199019758510484527637475492
0.021,0,0.150,0.017,True,2.4168318895518188798605389836
0.026,0.01,0.150,0.016,True,2.4166075688803879882230059814
0.026,0.01,0.149,0.016,True,2.4166075688803879882230059814
0.026,0.24,0.149,0.008,False,2.4115658424752054810563863722
0.026,0.24,0.148,0.008,False,2.4115658424752054810563863722
0.026,0.02,0.149,0.014,True,2.4087527060496303709871728300
0.026,0.02,0.148,0.014,True,2.4087527060496303709871728300
0.026,0.02,0.149,0.005,True,2.4084418066813963450264900584
0.024,0,0.150,0.012,True,2.4011452604844109939341493384
0.026,0,0.148,0.014,True,2.3994395438477954073011498359
0.026,0,0.149,0.014,True,2.3994395438477954073011498359
0.026,0,0.150,0.014,True,2.3932574388946741868523481737
0.026,0.01,0.148,0.014,True,2.3911084490990497486674288475
0.026,0.01,0.149,0.014,True,2.3911084490990497486674288475
0.025,0.02,0.149,0.015,True,2.3902361908033705616510720527
0.025,0.02,0.148,0.015,True,2.3902361908033705616510720527
0.025,0.02,0.150,0.015,True,2.3902361908033705616510720527
0.024,0.01,0.150,0.012,True,2.3891522548048833522176248361
0.026,0.01,0.150,0.014,True,2.3881745329430662190546687038
0.025,0,0.149,0.015,True,2.3810137181234291145185432331
0.025,0,0.150,0.015,True,2.3810137181234291145185432331
0.024,0.01,0.148,0.013,True,2.3804376091664219871595977360
0.026,0.05,0.147,0.015,True,2.3728047017888302591874856460
0.026,0.05,0.148,0.015,True,2.3728047017888302591874856460
0.026,0.05,0.149,0.015,True,2.3728047017888302591874856460
0.026,0.05,0.150,0.015,True,2.3728047017888302591874856460
0.025,0.01,0.148,0.015,True,2.3721304136275193641157560949
0.025,0.01,0.149,0.015,True,2.3721304136275193641157560949
0.025,0.01,0.150,0.015,True,2.3721304136275193641157560949
0.026,0.24,0.149,0.009,False,2.3495585620477118504013761850
0.026,0.24,0.148,0.009,False,2.3495585620477118504013761850
0.027,0,0.150,0.014,True,2.3385832099236152164558506585
0.024,0,0.148,0.014,True,2.3353563309808971244314322338
0.024,0,0.149,0.014,True,2.3353563309808971244314322338
0.026,0.02,0.148,0.015,True,2.3337804583523536914691257454
0.026,0.02,0.149,0.015,True,2.3337804583523536914691257454
0.027,0.01,0.150,0.014,True,2.3327548752320804337149607286
0.026,0,0.148,0.015,True,2.3238211039726357667467978222
0.026,0,0.150,0.015,True,2.3238211039726357667467978222
0.026,0,0.149,0.015,True,2.3238211039726357667467978222
0.030,0,0.148,0.017,True,2.3212815500532098512490721744
0.030,0,0.149,0.017,True,2.3212815500532098512490721744
0.026,0.01,0.148,0.015,True,2.3154882389363954189755609013
0.026,0.01,0.149,0.015,True,2.3154882389363954189755609013
0.026,0.01,0.150,0.015,True,2.3154882389363954189755609013
0.031,0,0.150,0.019,True,2.3119623506089148372654615502
0.030,0.01,0.148,0.020,True,2.3021368739737516356273830413
0.030,0.01,0.149,0.020,True,2.3021368739737516356273830413
0.028,0.03,0.148,0.014,True,2.2963780220532119294297564689
0.031,0.01,0.150,0.019,True,2.2948987260158498138854007772
0.031,0,0.148,0.019,True,2.2836867124036308987610900867
0.025,0,0.148,0.014,True,2.2821810272655875022787664247
0.030,0.01,0.149,0.017,True,2.2744293097415306035936043372
0.030,0.01,0.148,0.017,True,2.2744293097415306035936043372
0.027,0.02,0.148,0.017,True,2.2708595523968541399992440598
0.027,0.02,0.149,0.017,True,2.2708595523968541399992440598
0.027,0.02,0.150,0.017,True,2.2706723100602554569422023212
0.030,0.02,0.149,0.017,True,2.2691611755034651452538998589
0.030,0.02,0.148,0.017,True,2.2691611755034651452538998589
0.035,0.09,0.145,0.003,True,2.2691237656278396385185306403
0.035,0.09,0.144,0.003,True,2.2691237656278396385185306403
0.030,0,0.148,0.018,True,2.2641014844191470803938072956
0.030,0,0.149,0.018,True,2.2641014844191470803938072956
0.027,0,0.148,0.017,True,2.2587373126451946430506099734
0.027,0,0.149,0.017,True,2.2587373126451946430506099734
0.027,0,0.150,0.017,True,2.2587058920547260817277365300
0.035,0.09,0.145,0.002,True,2.2545396472959339919059152903
0.035,0.09,0.146,0.002,True,2.2545396472959339919059152903
0.027,0.01,0.148,0.017,True,2.2505531395579208761896261698
0.027,0.01,0.149,0.017,True,2.2505531395579208761896261698
0.027,0.01,0.150,0.017,True,2.2504415631303037374787084235
0.027,0,0.150,0.015,True,2.2472641260007821720613770880
0.027,0,0.148,0.014,True,2.2442081835761817195430580275
0.027,0,0.149,0.014,True,2.2442081835761817195430580275
0.022,0,0.150,0.021,True,2.2415507453521866280874016524
0.027,0.01,0.150,0.015,True,2.2414340210217527001829712256
0.028,0,0.150,0.017,True,2.2310578674875292154700108268
0.028,0,0.149,0.017,True,2.2310479506177317865106894115
0.028,0,0.148,0.017,True,2.2310479506177317865106894115
0.006,0.16,0.150,0.017,False,2.2296755937511356171520845529
0.028,0,0.148,0.018,True,2.2234889513397966025153003420
0.028,0,0.149,0.018,True,2.2234820842566642917870181164
0.028,0,0.150,0.018,True,2.2234820842566642917870181164
0.028,0.02,0.148,0.017,True,2.2188262691467747050253152887
0.028,0.02,0.149,0.017,True,2.2188262691467747050253152887
0.028,0.02,0.150,0.017,True,2.2186723357237847360037157616
0.028,0.02,0.148,0.018,True,2.2112728940318346695656192133
0.028,0.02,0.149,0.018,True,2.2111055334465009087939367734
0.025,0,0.148,0.015,True,2.2095459829230771453308750772
0.028,0.01,0.148,0.017,True,2.1978640975294312706706174788
0.028,0.01,0.149,0.017,True,2.1978640975294312706706174788
0.028,0.01,0.150,0.017,True,2.1977898519291595520332274590
0.028,0.01,0.148,0.018,True,2.1896548278363153265167708360
0.028,0.01,0.149,0.018,True,2.1895654766784068421605375393
