StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.13,0.063,0.021,False,2.4175075731076849097079032447
0.019,0.12,0.063,0.021,False,2.4166719844144635578536750338
0.019,0.14,0.063,0.021,False,2.3803073045127361744168177242
0.020,0.13,0.063,0.019,False,2.2271986673313309287680058584
0.020,0.15,0.064,0.020,False,2.2025442570406932080640885128
0.019,0.14,0.065,0.021,False,2.1841052874045761241956727747
0.020,0.15,0.064,0.021,False,2.1693094928558564703672538310
0.019,0.14,0.065,0.020,False,2.1234182305457060498188756499
0.019,0.13,0.065,0.021,False,2.1223789000185486787605317986
0.023,0.05,0.062,0.020,False,2.0935364512787927272441696501
0.024,0.04,0.062,0.020,False,2.0843483844870397634407360386
0.019,0.29,0.069,0.022,False,2.0132167297715825611917675503
0.023,0.20,0.068,0.021,False,2.0079806790824545311371893335
0.023,0.04,0.062,0.020,False,1.9714393679396132590353980000
0.024,0.05,0.062,0.020,False,1.9570792387189248105287408190
0.011,0.27,0.063,0.024,False,1.9569141626230421979086560266
0.018,0.29,0.068,0.022,False,1.9486878897482263698169775132
0.018,0.29,0.069,0.022,False,1.9486878897482263698169775132
0.018,0.29,0.070,0.022,False,1.9450502436539841625565181724
0.011,0.29,0.063,0.025,False,1.9314701882474142920700065272
0.025,0,0.061,0.020,False,1.9254453052927163093080973460
0.018,0.29,0.068,0.024,False,1.9241897062155942883299404360
0.024,0.03,0.062,0.020,False,1.9163892961386366075491618272
0.025,0.01,0.061,0.020,False,1.9098394634978535348067061591
0.020,0.29,0.068,0.022,False,1.8976233331906741754497175609
0.015,0.29,0.067,0.021,False,1.8913612794438319152705373289
0.016,0.29,0.062,0.021,False,1.8859527222453476418443563205
0.016,0.29,0.061,0.021,False,1.8834754875565615110552562148
0.011,0.29,0.063,0.024,False,1.8679826233596846261795978028
0.019,0.29,0.068,0.022,False,1.8637707296203524753810741108
0.016,0.29,0.063,0.021,False,1.8622996454222001986665326933
0.023,0.02,0.062,0.020,False,1.8546058845939918379026408652
0.024,0.28,0.069,0.020,False,1.8509331966062318517716092124
0.023,0.03,0.062,0.020,False,1.8394416983857545310341893605
0.023,0.01,0.062,0.020,False,1.8390027734913779854136055583
0.024,0,0.062,0.021,False,1.8317207902427870835431863847
0.018,0.30,0.063,0.020,False,1.8297068203527440539113249749
0.024,0.28,0.069,0.021,False,1.8221625101127167368530716516
0.017,0.29,0.069,0.024,False,1.8198884597200323061822663189
0.024,0,0.062,0.020,False,1.8168967720515005094050663303
0.024,0.01,0.062,0.021,False,1.8162411439533434743834331820
0.023,0.04,0.061,0.020,False,1.8078385772807250868925077310
0.022,0.04,0.062,0.021,False,1.8001906573973705483228727200
0.024,0.01,0.062,0.020,False,1.7989374672699360944929912173
0.024,0.04,0.062,0.021,False,1.7976140178438558809641960589
0.024,0.04,0.062,0.019,False,1.7940210178201354067382621250
0.015,0.30,0.069,0.027,False,1.7901356712056934590098066415
0.023,0.04,0.061,0.021,False,1.7854238589012453261423082579
0.024,0.02,0.062,0.020,False,1.7837496482365000377433030143
0.023,0.04,0.062,0.021,False,1.7817936053345083648728454974
0.009,0.30,0.067,0.025,False,1.7781389525936798903866866137
0.015,0.30,0.068,0.026,False,1.7744128492884882359849558864
0.015,0.30,0.069,0.026,False,1.7744128492884882359849558864
0.018,0.26,0.068,0.025,False,1.7739395029791811086359389533
0.018,0.26,0.069,0.025,False,1.7739395029791811086359389533
0.008,0.29,0.066,0.030,False,1.7737158205164024486635716959
0.017,0.28,0.069,0.024,False,1.7683072385100073887109929418
0.023,0.05,0.062,0.021,False,1.7654723994356479717060872964
0.025,0,0.061,0.019,False,1.7494730712144335746087715604
0.022,0.01,0.062,0.021,False,1.7402379666108301234076207875
0.023,0,0.062,0.020,False,1.7367494927033573130508481109
0.024,0.27,0.069,0.024,False,1.7364321931060894748259380982
0.022,0.17,0.063,0.021,False,1.7320477556362097330737073411
0.022,0,0.062,0.021,False,1.7267498901030976845890096997
0.022,0.02,0.062,0.021,False,1.7229193884844593332407903225
0.008,0.29,0.066,0.029,False,1.7207987046572110457217360584
0.008,0.29,0.067,0.029,False,1.7207987046572110457217360584
0.017,0.30,0.062,0.021,False,1.7137057221289403326518842086
0.018,0.30,0.062,0.020,False,1.7086887582235259997636110205
0.008,0.29,0.065,0.029,False,1.7082908247148778127057615709
0.008,0.29,0.064,0.029,False,1.7082908247148778127057615709
0.022,0.03,0.062,0.021,False,1.7050979448802619928856785124
0.018,0.30,0.061,0.020,False,1.7036373737330837577937433855
0.024,0.03,0.062,0.019,False,1.6948457883133903081479196049
0.023,0.01,0.061,0.020,False,1.6916547286252054609382845964
0.023,0.02,0.061,0.020,False,1.6893387613683361118952157865
0.024,0,0.062,0.019,False,1.6802814123286438678454942764
0.023,0.01,0.061,0.021,False,1.6766833584370472686623198688
0.023,0.02,0.061,0.021,False,1.6723956804938561175140056131
0.024,0.01,0.062,0.019,False,1.6628538341224084838954911831
0.007,0.29,0.067,0.029,False,1.6554711729543518728499914714
0.006,0.26,0.069,0.024,False,1.6502401196041248354007277869
0.024,0.02,0.062,0.019,False,1.6487202863361154962200723837
0.005,0.28,0.069,0.024,False,1.6432968634973138593706664476
0.008,0.29,0.066,0.028,False,1.6284608109843783888937183365
0.006,0.28,0.069,0.024,False,1.6281620797077131464341988531
0.006,0.26,0.068,0.024,False,1.5966097201532790501336612866
0.007,0.27,0.069,0.024,False,1.5784948168849955084544143624
0.007,0.27,0.068,0.024,False,1.5773593788394248578579582786
0.006,0.29,0.069,0.024,False,1.5698443405232048879850578595
0.015,0.30,0.062,0.026,False,1.5668231303763633994859105144
0.006,0.27,0.069,0.024,False,1.5328761835930926099950194487
0.006,0.24,0.066,0.024,False,1.5296054033352592928669095461
0.016,0.30,0.062,0.026,False,1.5225149698406122856226956549
0.006,0.28,0.068,0.024,False,1.5152521829750440199076667254
0.006,0.26,0.067,0.024,False,1.4563867477728576679370267558
0.005,0.28,0.070,0.024,False,1.4501792618974605791725689608
0.006,0.27,0.068,0.024,False,1.4454921035911192049890795189
0.005,0.26,0.069,0.024,False,1.3827958783420988632134990304
0.010,0.09,0.063,0.037,False,1.3620968136011868254956334639
0.010,0.09,0.062,0.037,False,1.3423630774958937921850497019
0.010,0.09,0.064,0.037,False,1.3092012658927209503845291292
0.008,0.08,0.064,0.037,False,1.1336127895189919113468115845
0.010,0.08,0.064,0.037,False,1.0887843253302929921631632606
0.009,0.08,0.064,0.037,False,1.0388144241023025261838378520
