StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0.10,0.176,0.005,False,3.0709950535999426132251278530
0.002,0.10,0.178,0.005,False,3.0251059819660820881524775454
0.002,0.10,0.180,0.005,False,3.0251059819660820881524775454
0.002,0.10,0.177,0.005,False,3.0251059819660820881524775454
0.002,0.10,0.179,0.005,False,3.0251059819660820881524775454
0.002,0.10,0.182,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.184,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.183,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.187,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.181,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.185,0.005,False,2.9446587202939494609145375810
0.002,0.10,0.186,0.005,False,2.9446587202939494609145375810
0.001,0.12,0.185,0.005,False,2.9147596260122343873393188539
0.001,0.12,0.186,0.005,False,2.9147596260122343873393188539
0.001,0.12,0.184,0.005,False,2.9147596260122343873393188539
0.001,0.12,0.187,0.005,False,2.9147596260122343873393188539
0.002,0.12,0.183,0.005,False,2.8982639496817288853386194907
0.002,0.12,0.185,0.005,False,2.8982639496817288853386194907
0.002,0.12,0.186,0.005,False,2.8982639496817288853386194907
0.002,0.12,0.187,0.005,False,2.8982639496817288853386194907
0.002,0.12,0.184,0.005,False,2.8982639496817288853386194907
0.002,0.12,0.200,0.005,False,2.8424882635660604653520920210
0.002,0.12,0.190,0.005,False,2.8231568416780508491951969382
0.002,0.12,0.193,0.005,False,2.8231568416780508491951969382
0.002,0.12,0.194,0.005,False,2.8231568416780508491951969382
0.002,0.12,0.189,0.005,False,2.8231568416780508491951969382
0.002,0.12,0.191,0.005,False,2.8231568416780508491951969382
0.002,0.12,0.192,0.005,False,2.8231568416780508491951969382
0.001,0.12,0.190,0.005,False,2.8163014942942914476176012541
0.001,0.12,0.193,0.005,False,2.8163014942942914476176012541
0.001,0.12,0.189,0.005,False,2.8163014942942914476176012541
0.001,0.12,0.194,0.005,False,2.8163014942942914476176012541
0.001,0.12,0.192,0.005,False,2.8163014942942914476176012541
0.001,0.12,0.191,0.005,False,2.8163014942942914476176012541
0.007,0.07,0.191,0.016,False,2.8149161780768459536720429433
0.007,0.07,0.190,0.016,False,2.8149161780768459536720429433
0.007,0.07,0.189,0.016,False,2.8149161780768459536720429433
0.007,0.07,0.188,0.016,False,2.8149161780768459536720429433
0.006,0.12,0.189,0.016,False,2.7926746825535135987579227765
0.007,0.07,0.187,0.016,False,2.7739822574672935281493275498
0.001,0.12,0.200,0.005,False,2.7681777655058306699797225314
0.007,0.14,0.172,0.013,False,2.7606863369737871540114077801
0.001,0.12,0.195,0.005,False,2.7531616181500965164032306746
0.001,0.12,0.197,0.005,False,2.7531616181500965164032306746
0.001,0.12,0.198,0.005,False,2.7531616181500965164032306746
0.001,0.12,0.196,0.005,False,2.7531616181500965164032306746
0.001,0.12,0.199,0.005,False,2.7531616181500965164032306746
0.007,0.12,0.190,0.016,False,2.7411503274528537173364514919
0.007,0.12,0.191,0.016,False,2.7411503274528537173364514919
0.010,0.09,0.170,0.013,False,2.7370509184817566098398998196
0.010,0.09,0.167,0.013,False,2.7370509184817566098398998196
0.010,0.09,0.168,0.013,False,2.7370509184817566098398998196
0.010,0.09,0.169,0.013,False,2.7370509184817566098398998196
0.007,0.14,0.167,0.013,False,2.7290962405152191741370286958
0.007,0.14,0.168,0.013,False,2.7290962405152191741370286958
0.007,0.14,0.170,0.013,False,2.7290962405152191741370286958
0.007,0.14,0.169,0.013,False,2.7290962405152191741370286958
0.007,0.14,0.171,0.013,False,2.7290962405152191741370286958
0.007,0.14,0.166,0.013,False,2.7290962405152191741370286958
0.007,0.08,0.188,0.016,False,2.7038454392272348471613049683
0.007,0.13,0.172,0.013,False,2.6823649126945790102500213617
0.007,0.13,0.171,0.013,False,2.6823649126945790102500213617
0.018,0.03,0.164,0.011,False,2.6713709028527731119032156376
0.007,0.13,0.171,0.012,False,2.6712280122634144813430264287
0.007,0.13,0.172,0.012,False,2.6712280122634144813430264287
0.007,0.13,0.173,0.012,False,2.6712280122634144813430264287
0.007,0.14,0.172,0.012,False,2.6629635155919695137130818408
0.007,0.14,0.173,0.012,False,2.6629635155919695137130818408
0.019,0.03,0.164,0.018,True,2.6571570737403328187563932454
0.007,0.13,0.166,0.013,False,2.6493646775529149111726532698
0.007,0.13,0.167,0.013,False,2.6493646775529149111726532698
0.007,0.13,0.169,0.013,False,2.6493646775529149111726532698
0.007,0.13,0.170,0.013,False,2.6493646775529149111726532698
0.007,0.13,0.168,0.013,False,2.6493646775529149111726532698
0.007,0.13,0.168,0.012,False,2.6333852675201529656640754123
0.007,0.13,0.167,0.012,False,2.6333852675201529656640754123
0.007,0.13,0.169,0.012,False,2.6333852675201529656640754123
0.007,0.13,0.170,0.012,False,2.6333852675201529656640754123
0.003,0.10,0.179,0.005,False,2.6125623526604619061473373737
0.003,0.10,0.180,0.005,False,2.6125623526604619061473373737
0.003,0.10,0.181,0.005,False,2.6125623526604619061473373737
0.003,0.10,0.182,0.005,False,2.6125623526604619061473373737
0.003,0.10,0.183,0.005,False,2.6125623526604619061473373737
0.003,0.10,0.184,0.005,False,2.6125623526604619061473373737
0.014,0.08,0.181,0.018,True,2.5894566185331736678750019118
0.014,0.08,0.180,0.018,True,2.5781337636974381929132991690
0.007,0.13,0.163,0.017,False,2.5605308434647770726647554312
0.012,0.11,0.164,0.013,False,2.5380000836778268981582509091
0.012,0.12,0.164,0.013,False,2.5379922162608088157269062663
0.009,0.13,0.170,0.013,False,2.5335898028545130047310317862
0.009,0.13,0.171,0.013,False,2.5335898028545130047310317862
0.007,0,0.190,0.017,False,2.5081756799518322650486915179
0.007,0,0.191,0.017,False,2.5080684880377145769105045864
0.019,0.03,0.163,0.018,True,2.5059970564055227492707847267
0.008,0.08,0.162,0.007,False,2.5007662015081585239932489546
0.008,0.08,0.163,0.007,False,2.5007662015081585239932489546
0.018,0.02,0.164,0.011,False,2.4826142855079099606460601572
0.009,0.08,0.164,0.010,False,2.4803802082514457394837335597
0.007,0.07,0.164,0.015,False,2.4706241181026721629369334833
0.007,0.07,0.166,0.015,False,2.4706241181026721629369334833
0.007,0.07,0.165,0.015,False,2.4706241181026721629369334833
0.007,0.08,0.164,0.015,False,2.4631623956232141454997197018
0.007,0.08,0.165,0.015,False,2.4631623956232141454997197018
0.007,0.08,0.166,0.015,False,2.4631623956232141454997197018
0.018,0.02,0.161,0.015,False,2.4477155587473502779010663464
0.006,0.08,0.161,0.017,False,2.4447256244922951331772679875
0.018,0.03,0.161,0.015,False,2.4445235370744425445494145926
0.008,0.08,0.166,0.011,False,2.4351225013845940464223925205
0.018,0.02,0.164,0.016,True,2.4296254610349180597881779322
0.009,0.07,0.164,0.010,False,2.4151442045931947204654438502
0.010,0.08,0.165,0.009,False,2.4112809609631522080788188436
0.008,0.07,0.165,0.015,False,2.4109281235675968709234769713
0.008,0.07,0.166,0.015,False,2.4109281235675968709234769713
0.018,0.03,0.165,0.015,True,2.3968011438446870565868967358
0.019,0.03,0.164,0.014,True,2.3957125393273937667012902740
0.019,0.03,0.165,0.014,True,2.3957125393273937667012902740
0.009,0.08,0.165,0.011,False,2.3938155055844487349895844895
0.018,0.02,0.166,0.015,True,2.3905291809529942470642536526
0.018,0.02,0.165,0.015,True,2.3905291809529942470642536526
