StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.017,0.21,0.068,0.022,False,2.7637470809908548225222364669
0.017,0.21,0.069,0.022,False,2.7637470809908548225222364669
0.020,0.14,0.079,0.023,False,2.7503654468976758810770296466
0.020,0.14,0.080,0.023,False,2.7503654468976758810770296466
0.017,0.21,0.070,0.022,False,2.7330016268757732716278272945
0.019,0.20,0.068,0.020,False,2.7110157199590724103367342302
0.019,0.20,0.067,0.020,False,2.6655995251316160012655452021
0.016,0.19,0.069,0.021,False,2.6639717263385958879584763867
0.019,0.14,0.080,0.021,False,2.6414137663627643036892817736
0.019,0.14,0.078,0.024,False,2.6245234751396946635735493208
0.019,0.20,0.066,0.020,False,2.6130819315612494582562732296
0.020,0.15,0.080,0.022,False,2.6097276583305172122927790442
0.019,0.20,0.065,0.020,False,2.6075524888524829209823661583
0.019,0.14,0.079,0.024,False,2.6072357389077551871059563340
0.019,0.14,0.080,0.024,False,2.6072357389077551871059563340
0.018,0.21,0.069,0.022,False,2.6018853849452597723352412605
0.019,0.20,0.068,0.021,False,2.5982303769347486678794871437
0.020,0.14,0.077,0.024,False,2.5899633350413359944459420676
0.020,0.14,0.078,0.024,False,2.5899633350413359944459420676
0.017,0.21,0.071,0.023,False,2.5512820747258710876790741257
0.017,0.21,0.070,0.023,False,2.5512820747258710876790741257
0.020,0.14,0.078,0.023,False,2.5494057385980769168005063672
0.019,0.13,0.078,0.024,False,2.5477891718466763822663628552
0.021,0.15,0.079,0.022,False,2.5381798595512329710286790686
0.021,0.15,0.080,0.022,False,2.5381798595512329710286790686
0.019,0.13,0.079,0.024,False,2.5350984085120616342865165684
0.019,0.13,0.080,0.024,False,2.5350984085120616342865165684
0.019,0.20,0.069,0.021,False,2.4957379994762563855308582998
0.019,0.20,0.068,0.022,False,2.4866261428117142353651605907
0.020,0.14,0.077,0.023,False,2.4756013206096066134346666131
0.020,0.14,0.079,0.024,False,2.4745371696700587009690252366
0.019,0.17,0.068,0.022,False,2.4635728731084800535394762571
0.019,0.17,0.069,0.022,False,2.4635728731084800535394762571
0.011,0.23,0.070,0.024,False,2.4583858894763491441947810922
0.019,0.20,0.067,0.022,False,2.4412099479842578262939715626
0.019,0.20,0.066,0.022,False,2.4412099479842578262939715626
0.019,0.20,0.065,0.022,False,2.4356805052754912890200644913
0.019,0.18,0.070,0.022,False,2.4185936551203534166657105212
0.019,0.18,0.068,0.022,False,2.4182570424203790039585979009
0.019,0.18,0.069,0.022,False,2.4182570424203790039585979009
0.011,0.21,0.065,0.024,False,2.3974341584968632373212070499
0.019,0.20,0.070,0.022,False,2.3942306006471529484693707972
0.019,0.20,0.069,0.022,False,2.3831404008600873345041187143
0.019,0.20,0.068,0.024,False,2.3640672869932242771641980352
0.017,0.17,0.071,0.023,False,2.3394291961034398334939230328
0.019,0.20,0.067,0.024,False,2.3186510921657678680930090071
0.019,0.20,0.069,0.024,False,2.3123906018798214093576194689
0.019,0.20,0.070,0.024,False,2.3123906018798214093576194689
0.019,0.20,0.071,0.024,False,2.3123906018798214093576194689
0.019,0.20,0.072,0.024,False,2.3123906018798214093576194689
0.019,0.20,0.066,0.024,False,2.3076865352416812585493851130
0.019,0.12,0.078,0.024,False,2.2983154056564893130696005697
0.017,0.18,0.071,0.023,False,2.2961019269835213666289066074
0.017,0.17,0.072,0.022,False,2.2835695535598205482471749631
0.017,0.17,0.071,0.022,False,2.2835695535598205482471749631
0.018,0.17,0.079,0.022,False,2.2786926639897290101908974369
0.018,0.17,0.080,0.022,False,2.2786926639897290101908974369
0.022,0.17,0.080,0.023,False,2.2757007428721901006548574539
0.015,0.21,0.045,0.028,False,2.2504669373004630487471000840
0.017,0.17,0.077,0.022,False,2.2500563882534789232238057570
0.017,0.17,0.079,0.022,False,2.2500563882534789232238057570
0.017,0.17,0.078,0.022,False,2.2500563882534789232238057570
0.017,0.17,0.080,0.022,False,2.2500563882534789232238057570
0.017,0.17,0.076,0.022,False,2.2440203518069597625626257949
0.019,0.20,0.065,0.024,False,2.2414846043830645920452742959
0.018,0.23,0.046,0.025,False,2.2356528912142445665428709035
0.018,0.23,0.047,0.025,False,2.2356528912142445665428709035
0.018,0.17,0.077,0.022,False,2.2251130506562313749053766511
0.018,0.17,0.078,0.022,False,2.2251130506562313749053766511
0.018,0.17,0.076,0.022,False,2.2251130506562313749053766511
0.019,0.12,0.077,0.024,False,2.2249050314375900127758475740
0.019,0.17,0.080,0.022,False,2.2137054310582115805358437280
0.019,0.18,0.072,0.024,False,2.2027350938342469468851157631
0.019,0.18,0.070,0.024,False,2.2027350938342469468851157631
0.019,0.18,0.071,0.024,False,2.2027350938342469468851157631
0.019,0.18,0.069,0.024,False,2.2023984811342725341780031428
0.019,0.18,0.068,0.024,False,2.2023984811342725341780031428
0.019,0.17,0.079,0.022,False,2.2011505381182367847816166270
0.018,0.18,0.076,0.022,False,2.1892048879489901122524244689
0.018,0.18,0.077,0.022,False,2.1892048879489901122524244689
0.017,0.17,0.075,0.022,False,2.1883582719605642253756347478
0.021,0.17,0.078,0.024,False,2.1872650372787230566849199103
0.021,0.21,0.068,0.022,False,2.1853934603153665334673050561
0.021,0.21,0.069,0.022,False,2.1853934603153665334673050561
0.017,0.18,0.071,0.024,False,2.1824974307829653126374708264
0.017,0.18,0.070,0.024,False,2.1824974307829653126374708264
0.017,0.18,0.072,0.024,False,2.1824974307829653126374708264
0.017,0.18,0.069,0.024,False,2.1803668961657398511950799504
0.017,0.18,0.068,0.024,False,2.1803668961657398511950799504
0.018,0.17,0.075,0.022,False,2.1653046515422848776945615845
0.018,0.23,0.048,0.025,False,2.1597991472215390604661591315
0.019,0.19,0.070,0.024,False,2.1515171444711054799019675340
0.019,0.19,0.071,0.024,False,2.1515171444711054799019675340
0.019,0.19,0.072,0.024,False,2.1515171444711054799019675340
0.017,0.22,0.048,0.026,False,2.1430477187223318383626356060
0.021,0.21,0.069,0.024,False,2.1418111949720856396621786960
0.021,0.21,0.068,0.023,False,2.1405847274084392766393722416
0.021,0.21,0.069,0.023,False,2.1405847274084392766393722416
0.021,0.21,0.070,0.022,False,2.1308928651888589147166006695
0.019,0.19,0.069,0.024,False,2.1253636634716113852991791962
0.019,0.20,0.071,0.025,False,2.1208822588150464870459133880
0.019,0.20,0.070,0.025,False,2.1205758401358154670659186547
0.018,0.21,0.043,0.025,False,2.1183236579117585375953606743
0.020,0.17,0.078,0.024,False,2.1017900855341030625585083595
0.019,0.18,0.073,0.025,False,2.0933546326549568836826592263
0.020,0.21,0.070,0.024,False,2.0905499054561611925668236607
0.020,0.21,0.071,0.024,False,2.0905499054561611925668236607
0.019,0.18,0.072,0.025,False,2.0878681535348794215613224682
0.020,0.21,0.070,0.023,False,2.0870278888335842190828639155
