StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.02,0.150,0.004,False,2.9877567473442245460216788805
0.012,0.02,0.149,0.004,False,2.9877567473442245460216788805
0.012,0.02,0.148,0.004,False,2.9449914914183831404081334610
0.016,0.04,0.150,0.016,False,2.8864809454848465739759305514
0.018,0.14,0.143,0.010,False,2.8388568247696606022295723461
0.018,0.14,0.142,0.010,False,2.8388568247696606022295723461
0.018,0.14,0.141,0.010,False,2.8388568247696606022295723461
0.018,0.14,0.147,0.010,False,2.8366185907916782154774289082
0.018,0.14,0.146,0.010,False,2.8366185907916782154774289082
0.018,0.14,0.145,0.010,False,2.8366185907916782154774289082
0.018,0.14,0.144,0.010,False,2.8366185907916782154774289082
0.020,0.15,0.146,0.015,False,2.8084780192145384932167787784
0.020,0.15,0.145,0.015,False,2.8084780192145384932167787784
0.020,0.15,0.144,0.015,False,2.8084780192145384932167787784
0.020,0.15,0.143,0.015,False,2.8084780192145384932167787784
0.020,0.15,0.142,0.015,False,2.8084780192145384932167787784
0.012,0,0.150,0.004,False,2.7766637061181224539162063840
0.014,0.03,0.150,0.027,False,2.7657325676303033882308340956
0.014,0.03,0.148,0.027,False,2.7657325676303033882308340956
0.014,0.03,0.149,0.027,False,2.7657325676303033882308340956
0.012,0.01,0.149,0.004,False,2.7598443801456947412083182806
0.011,0.02,0.149,0.004,False,2.7567670797497431572253288288
0.014,0.02,0.148,0.027,False,2.7488760619104663887691177115
0.014,0.02,0.149,0.027,False,2.7488760619104663887691177115
0.014,0.02,0.150,0.027,False,2.7488760619104663887691177115
0.011,0.02,0.149,0.005,False,2.7381516885286240497004193418
0.012,0.01,0.150,0.004,False,2.7106170444071464626288095436
0.008,0,0.149,0.004,False,2.7104853135720727292322838287
0.009,0.01,0.149,0.004,False,2.7056253993498947798770719064
0.010,0.01,0.149,0.004,False,2.6950028548444663995512795173
0.007,0.17,0.150,0.004,False,2.6896286001336104108344829089
0.007,0.17,0.149,0.004,False,2.6896286001336104108344829089
0.007,0.17,0.148,0.004,False,2.6896286001336104108344829089
0.009,0.02,0.149,0.003,False,2.6705711126984083603590074767
0.011,0.01,0.149,0.004,False,2.6598275963760842221547134158
0.006,0.18,0.150,0.004,False,2.6556492345503385195587145328
0.006,0.18,0.149,0.004,False,2.6556492345503385195587145328
0.006,0.18,0.148,0.004,False,2.6556492345503385195587145328
0.010,0,0.149,0.004,False,2.6549558816124312606500289189
0.009,0,0.149,0.004,False,2.6515063370998620163889576269
0.009,0.01,0.148,0.004,False,2.6441832172605564057480965178
0.022,0.05,0.150,0.021,False,2.6328582845759124736108850489
0.010,0.01,0.148,0.004,False,2.6296295806446493459951552057
0.014,0.02,0.150,0.003,False,2.6238376734786715367154110935
0.013,0.01,0.149,0.004,False,2.6225080147001016137079976768
0.008,0,0.150,0.007,False,2.6175183348753226542772021715
0.004,0.16,0.150,0.004,False,2.6077701878329053643715600961
0.018,0.03,0.148,0.022,False,2.6049207116046739186463410587
0.018,0.03,0.149,0.022,False,2.6049207116046739186463410587
0.018,0.03,0.150,0.022,False,2.6049207116046739186463410587
0.019,0.03,0.150,0.024,False,2.5977527030986110267680416346
0.010,0.01,0.148,0.005,False,2.5949392099986631837698956903
0.011,0.01,0.148,0.004,False,2.5905193234773235469796105721
0.013,0.01,0.150,0.004,False,2.5896420636447926325947373345
0.019,0.03,0.150,0.022,False,2.5875909749635515621183893814
0.009,0.01,0.149,0.005,False,2.5847802493583660898587322543
0.011,0,0.149,0.004,False,2.5793727226054711633057348955
0.014,0.01,0.150,0.003,False,2.5729690920421132155259238077
0.008,0,0.149,0.005,False,2.5686956457078252406796978590
0.017,0.03,0.150,0.024,False,2.5602068930977075374978688477
0.018,0.03,0.150,0.024,False,2.5563576889357259627711150413
0.009,0.01,0.147,0.004,False,2.5560350296706877011099501019
0.019,0.03,0.149,0.022,False,2.5549697042062700534924406936
0.019,0.03,0.148,0.022,False,2.5549697042062700534924406936
0.013,0.02,0.149,0.027,False,2.5545419800127759075961731027
0.013,0.02,0.150,0.027,False,2.5545419800127759075961731027
0.014,0.01,0.149,0.003,False,2.5459866301701396153050272550
0.018,0.08,0.144,0.010,False,2.5243967073379871720562780191
0.018,0.08,0.143,0.010,False,2.5243967073379871720562780191
0.011,0.01,0.149,0.005,False,2.5185943336535295173603827348
0.014,0.01,0.149,0.002,False,2.5058304667712434289814324457
0.016,0.03,0.149,0.022,False,2.4998324971678808923775733498
0.016,0.03,0.150,0.022,False,2.4998324971678808923775733498
0.020,0.03,0.149,0.023,False,2.4973056522873091201869476089
0.020,0.03,0.150,0.023,False,2.4973056522873091201869476089
0.009,0.01,0.149,0.003,False,2.4874521282307085521221245428
0.017,0.03,0.149,0.023,False,2.4866467063654371521270822852
0.011,0.01,0.148,0.019,False,2.4796483720633025910522438329
0.011,0.01,0.147,0.019,False,2.4796483720633025910522438329
0.011,0.01,0.146,0.019,False,2.4796483720633025910522438329
0.011,0.01,0.149,0.019,False,2.4796159626067422615253595476
0.011,0.01,0.150,0.019,False,2.4796159626067422615253595476
0.005,0,0.150,0.003,False,2.4690225113900617572505646200
0.017,0.03,0.150,0.023,False,2.4660510849038940360113697010
0.008,0,0.147,0.003,False,2.4592107209002406541626701681
0.008,0,0.146,0.003,False,2.4592107209002406541626701681
0.022,0.05,0.150,0.022,False,2.4536287883849692589256159776
0.022,0.05,0.149,0.022,False,2.4536287883849692589256159776
0.019,0.03,0.143,0.021,False,2.4503233325097451141631640291
0.021,0.03,0.149,0.023,False,2.4459858195011191264896524212
0.021,0.03,0.150,0.023,False,2.4454279966089934960422312082
0.019,0.04,0.148,0.022,False,2.4295063488294773990167670665
0.019,0.04,0.149,0.022,False,2.4295063488294773990167670665
0.019,0.04,0.150,0.022,False,2.4295063488294773990167670665
0.020,0.04,0.148,0.022,False,2.4229319418270855939922496947
0.020,0.04,0.149,0.022,False,2.4229319418270855939922496947
0.018,0.03,0.145,0.023,False,2.4132668142225480701588783515
0.018,0.03,0.144,0.023,False,2.4132668142225480701588783515
0.021,0.05,0.150,0.022,False,2.4110815748848141079420823358
0.011,0.01,0.150,0.005,False,2.4060127606797288776174221532
0.020,0.03,0.148,0.022,False,2.3970749721321395477310551467
